Category,State/UTs/Cities,2000,2001,Percentage Variation in 2001 over 2000,Percentage Contribution to All-India during 2001
State,Andhra Pradesh,186307,188419,1.1,7.1
State,Arunachal Pradesh,2846,2965,4.2,0.1
State,Assam,50870,53500,5.2,2
State,Bihar,237623,202285,-14.9,7.6
State,Chhattisgarh,NA,50839,NA,NA
State,Goa,3055,2898,-5.1,0.1
State,Gujarat,166519,153251,-8,5.7
State,Haryana,61176,59977,-2,2.2
State,Himachal Pradesh,17108,17217,0.6,0.6
State,Jammu & Kashmir,21177,24423,15.3,0.9
State,Jharkhand,NA,41607,NA,NA
State,Karnataka,163002,160150,-1.7,6
State,Kerala,145890,147522,1.1,5.5
State,Madhya Pradesh,333083,285193,-14.4,10.7
State,Maharashtra,262568,280202,6.7,10.5
State,Manipur,1198,1525,27.3,0.1
State,Meghalaya,1548,1643,6.1,0.1
State,Mizoram,4766,2358,-50.5,0.1
State,Nagaland,1159,1129,-2.6,0
State,Orissa,78206,69741,-10.8,2.6
State,Punjab,36685,39794,8.5,1.5
State,Rajasthan,218987,199980,-8.7,7.5
State,Sikkim,544,411,-24.4,0
State,Tamil Nadu,222498,206590,-7.1,7.7
State,Tripura,4218,3465,-17.9,0.1
State,Uttar Pradesh,301628,314055,4.1,11.8
State,Uttaranchal,NA,12120,NA,NA
State,West Bengal,94254,91422,-3,3.4
State,Total (States),2616915,2614681,-0.1,97.9
Union Territory,A & N Islands,892,671,-24.8,0
Union Territory,Chandigarh,3686,2863,-22.3,0.1
Union Territory,D & N Haveli,796,514,-35.4,0
Union Territory,Daman & Diu,375,343,-8.5,0
Union Territory,Delhi,48123,47020,-2.3,1.8
Union Territory,Lakshadweep,24,16,-33.3,0
Union Territory,Pondicherry,5112,5432,6.3,0.2
Union Territory,Total (UTs),59008,56859,-3.6,2.1
Union Territory,Total (All-India),2675923,2671540,-0.2,100
City,Agra,NA,14236,NA,NA
City,Ahmedabad,16381,14114,-13.8,4.4
City,Allahabad,NA,2316,NA,NA
City,Amritsar,NA,1447,NA,NA
City,Asansol,NA,NA,NA,NA
City,Bangalore,13700,24609,79.6,7.6
City,Bhopal,13267,16190,22,5
City,Chennai,6016,7155,18.9,2.2
City,Coimbatore,4060,3590,-11.6,1.1
City,Delhi (city),42859,41644,-2.8,12.9
City,Dhanbad,NA,NA,NA,NA
City,Faridabad,NA,4265,NA,NA
City,Hyderabad,9597,10557,10,3.3
City,Indore,11427,13771,20.5,4.3
City,Jabalpur,NA,7505,NA,NA
City,Jaipur,12946,12524,-3.3,3.9
City,Jamshedpur,NA,NA,NA,NA
City,Kanpur,9083,9427,3.8,2.9
City,Kochi,6783,7321,7.9,2.3
City,Kolkata,8493,8473,-0.2,2.6
City,Lucknow,7234,7466,3.2,2.3
City,Ludhiana,2207,3941,78.6,1.2
City,Madurai,4112,5141,25,1.6
City,Meerut,NA,3759,NA,NA
City,Mumbai,27114,27339,0.8,8.5
City,Nagpur,9393,9144,-2.7,2.8
City,Nasik,NA,4317,NA,NA
City,Patna,13764,18927,37.5,5.9
City,Pune,11877,12302,3.6,3.8
City,Rajkot,NA,5763,NA,NA
City,Surat,5343,5570,4.2,1.7
City,Vadodara,7047,6478,-8.1,2
City,Varanasi,2712,3170,16.9,1
City,Vijayawada,NA,6068,NA,NA
City,Vishakhapatnam,3238,4069,25.7,1.3
City,Total (Cities),248653,322598,29.7,100
