Category,States/UTs/Cities,No. of Cases Reported (Incest Rape Cases),No. of Victims (Incest Rape Cases) upto 10 Years,No. of Victims (Incest Rape Cases) - 10 - 14 Years,No. of Victims (Incest Rape Cases) - 14 - 18 Years,No. of Victims (Incest Rape Cases) - 18 - 30 Years,No. of Victims (Incest Rape Cases) - 30 - 50 Years,No. of Victims (Incest Rape Cases) above 50 Years,No. of Victims (Incest Rape Cases) - Total Victims,No. of Cases Reported (Other Rape Cases),No. of Victims (Other Rape Cases) upto 10 Years,No. of Victims (Other Rape Cases) - 10 - 14 Years,No. of Victims (Other Rape Cases) - 14 - 18 Years,No. of Victims (Other Rape Cases) - 18 - 30 Years,No. of Victims (Other Rape Cases) - 30 - 50 Years,No. of Victims (Other Rape Cases) above 50 Years,No. of Victims (Other Rape Cases) - Total Victims,No. of Cases Reported (Total Rape Cases),No. of Victims (Total Rape Cases) upto 10 Years,No. of Victims (Total Rape Cases) - 10-14 Years,No. of Victims (Total Rape Cases) - 14 - 18 Years,No. of Victims (Total Rape Cases) - 18 - 30 Years,No. of Victims (Total Rape Cases) - 30 - 50 Years,No. of Victims (Total Rape Cases) above 50 Years,No. of Victims (Total Rape Cases) - Total Victims
State,Andhra Pradesh,4,0,2,0,2,0,0,4,867,57,136,254,326,80,14,867,871,57,138,254,328,80,14,871
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,33,0,0,1,28,4,0,33,33,0,0,1,28,4,0,33
State,Assam,8,0,1,7,0,0,0,8,809,8,72,238,370,119,2,809,817,8,73,245,370,119,2,817
State,Bihar,8,0,2,5,1,0,0,8,880,1,13,193,561,112,0,880,888,1,15,198,562,112,0,888
State,Chhattisgarh,6,0,3,1,1,1,0,6,953,25,188,217,383,136,4,953,959,25,191,218,384,137,4,959
State,Goa,0,0,0,0,0,0,0,0,12,3,7,1,0,1,0,12,12,3,7,1,0,1,0,12
State,Gujarat,2,0,0,2,0,0,0,2,284,15,23,85,125,36,0,284,286,15,23,87,125,36,0,286
State,Haryana,0,0,0,0,0,0,0,0,398,34,62,125,134,40,3,398,398,34,62,125,134,40,3,398
State,Himachal Pradesh,0,0,0,0,0,0,0,0,124,20,15,43,35,9,2,124,124,20,15,43,35,9,2,124
State,Jammu & Kashmir,2,0,0,1,1,0,0,2,167,0,24,40,83,20,0,167,169,0,24,41,84,20,0,169
State,Jharkhand,12,1,3,4,2,2,0,12,555,8,0,0,476,71,0,555,567,9,3,4,478,73,0,567
