Category,States/UTs,For Officers - Sanctioned Strength,For Officers - Built-in Houses Provided by Government,"For Officers - Houses Provided on Lease, Rent/ General Pool by Govt.",Upper Subordinates - Sanctioned Strength,Upper Subordinates - Built-in Houses Provided by Government,"Upper Subordinates - Houses Provided on Lease, Rent/ General Pool by Govt.",Lower Subordinates - Sanctioned Strength,Lower Subordinates - Built-in Houses Provided by Government,"Lower Subordinates - Houses Provided on Lease, Rent/ General Pool by Govt."
State,Andhra Pradesh,569,102,189,8493,1969,4122,74110,23751,32220
State,Arunachal Pradesh,92,81,11,593,373,220,4841,1947,2894
State,Assam,531,NA,NA,6014,NA,NA,49408,NA,NA
State,Bihar,222,130,89,8764,2003,6751,44255,3425,40830
State,Chhattisgarh,140,70,168,1342,148,346,11767,2808,3114
State,Goa,34,8,8,354,134,0,3463,1612,0
State,Gujarat,374,111,23,11488,3280,512,53336,28511,3160
State,Haryana,243,136,14,3970,824,2118,35246,4209,17122
State,Himachal Pradesh,207,30,9,1522,455,3,12335,791,17
State,Jammu & Kashmir,569,73,0,5782,377,0,52686,3292,0
State,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Karnataka,267,139,41,5617,1925,532,51162,22495,4348
State,Kerala,424,73,5,3909,1081,3,41059,7394,93
State,Madhya Pradesh,1137,0,0,14561,3448,0,82561,33383,0
State,Maharashtra,936,0,633,24981,0,9932,124222,0,77919
State,Manipur,202,16,0,1342,92,0,13259,143,0
State,Meghalaya,110,35,75,1298,864,434,12923,1928,10995
State,Mizoram,116,30,3,836,340,48,6708,1480,84
State,Nagaland,106,21,7,606,139,55,10896,398,326
State,Orissa,414,165,77,6050,2130,394,31665,7550,1399
State,Punjab,628,84,27,7107,732,335,63459,5782,2919
State,Rajasthan,740,40,0,8140,1776,0,61615,13335,0
State,Sikkim,67,28,2,355,72,0,3686,203,10
State,Tamil Nadu,884,206,0,9486,2361,0,83901,28594,0
State,Tripura,317,200,0,1728,510,0,17496,1236,0
State,Uttar Pradesh,1590,229,395,14615,6570,1325,150729,42247,10292
State,Uttaranchal,126,15,0,774,264,0,11840,2239,0
State,West Bengal,691,71,38,17036,2662,294,73839,4306,1149
State,Total (States),11736,2093,1814,166763,34529,27424,1182467,243059,208891
Union Territory,A & N Islands,17,7,0,406,364,0,2544,595,0
Union Territory,Chandigarh,17,10,0,486,330,0,3699,1625,0
Union Territory,D & N Haveli,2,0,2,16,0,15,218,0,200
Union Territory,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Delhi,371,168,0,10855,4068,0,45777,6053,0
Union Territory,Lakshadweep,2,2,0,53,41,0,293,172,0
Union Territory,Pondicherry,20,14,1,303,69,0,2001,682,0
Union Territory,Total (UTs),429,201,3,12119,4872,15,54532,9127,200
Total (All-India),Total (All-India),12165,2294,1817,178882,39401,27439,1236999,252186,209091
