Category,States/UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Others,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cognizable Crimes Under IPC
State,Andhra Pradesh,15,13,0,20,0,20,6,0,6,0,0,10,261,552,42,510,32,0,0,0,1,322,0,27,25,4,0,4,133,1425
State,Arunachal Pradesh,1,0,0,6,0,6,0,0,0,18,0,7,25,41,3,38,0,0,0,0,0,20,0,6,0,0,0,0,12,136
State,Assam,3,0,0,4,0,4,0,0,0,0,0,2,63,151,7,144,14,0,4,0,1,11,0,0,0,0,0,0,0,253
State,Bihar,9,16,0,12,0,12,0,0,0,9,0,3,17,68,5,63,136,0,1,0,0,48,4,0,0,3,0,0,250,576
State,Chhattisgarh,34,21,3,62,0,62,13,13,0,3,0,20,231,242,41,201,54,0,0,0,1,178,2,37,5,10,0,1,274,1191
State,Goa,0,7,0,0,0,0,0,0,0,2,0,1,14,21,5,16,7,0,0,0,2,2,0,2,0,0,0,1,8,67
State,Gujarat,37,33,0,9,0,9,34,31,3,3,6,11,140,483,206,277,223,8,7,0,4,582,0,27,0,95,0,6,908,2616
State,Haryana,45,46,11,38,0,38,14,6,8,17,48,36,137,137,33,104,130,29,44,0,1,334,11,28,12,42,0,3,210,1373
State,Himachal Pradesh,0,1,0,7,0,7,3,3,0,0,0,0,22,10,2,8,25,0,0,0,2,22,0,1,0,0,0,0,37,130
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
State,Jharkhand,45,31,1,40,0,40,8,6,2,5,0,0,24,66,0,66,15,14,0,0,0,1,0,15,1,0,0,0,19,285
State,Karnataka,15,3,0,7,0,7,0,0,0,2,2,22,54,91,9,82,20,0,3,0,0,387,0,3,1,48,0,0,35,693
State,Kerala,3,3,0,3,0,3,0,0,0,0,0,0,33,25,3,22,24,0,0,0,3,5,0,0,0,2,0,0,26,127
