Category,States/UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Others,Kidnapping and Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of Others,Dacoity,Prepration and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband & Relatives,Importation of girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes under IPC
State,Andhra Pradesh,15,13,0,15,0,15,6,0,6,0,0,9,208,470,41,429,32,0,0,0,1,305,0,27,25,4,0,4,132,1266
State,Arunachal Pradesh,1,0,0,2,0,2,0,0,0,1,0,4,11,20,1,19,0,0,0,0,0,4,0,1,0,0,0,0,7,51
State,Assam,2,0,0,4,0,4,0,0,0,0,0,2,55,125,5,120,5,0,4,0,1,10,0,0,0,0,0,0,0,208
State,Bihar,8,13,0,11,0,11,0,0,0,9,0,2,15,58,5,53,124,0,1,0,0,46,4,0,0,3,0,0,234,528
State,Chhattisgarh,29,17,3,52,0,52,7,7,0,2,0,10,147,159,26,133,42,0,0,0,1,153,1,31,5,10,0,1,196,866
State,Goa,0,2,0,0,0,0,0,0,0,2,0,1,9,12,3,9,3,0,0,0,1,2,0,2,0,0,0,1,7,42
State,Gujarat,28,22,0,9,0,9,28,26,2,3,1,9,95,274,102,172,124,7,7,0,4,387,0,21,0,72,0,5,617,1713
State,Haryana,32,34,10,33,0,33,11,3,8,15,35,29,100,100,29,71,64,19,21,0,1,251,6,26,7,38,0,1,182,1015
State,Himachal Pradesh,0,1,0,6,0,6,2,2,0,0,0,0,10,9,2,7,16,0,0,0,2,17,0,1,0,0,0,0,21,85
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
State,Jharkhand,100,27,1,40,0,40,8,6,2,4,0,0,18,51,0,51,9,22,0,0,0,1,0,15,1,0,0,0,19,316
State,Karnataka,15,3,0,4,0,4,0,0,0,1,2,18,34,62,7,55,19,0,3,0,0,218,0,3,1,5,0,0,32,420
State,Kerala,3,3,0,3,0,3,0,0,0,0,0,0,25,16,2,14,10,0,0,0,2,4,0,0,0,1,0,0,15,82
State,Madhya Pradesh,142,85,11,118,0,118,11,7,4,5,1,10,220,234,24,210,96,4,5,2,10,847,8,109,40,60,0,4,1125,3147
State,Maharashtra,59,46,3,42,0,42,14,11,3,15,8,41,350,757,60,697,229,5,24,1,16,647,9,46,14,82,0,25,377,2810
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,6,0,0,1,0,1,0,0,0,0,0,1,12,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,12,47
State,Mizoram,0,0,0,1,0,1,0,0,0,0,0,0,6,11,7,4,0,0,0,0,0,0,0,1,0,0,0,0,4,23
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,0,0,0,0,0,1,0,0,0,0,0,0,3,10
State,Orissa,2,3,0,5,0,5,0,0,0,1,0,3,40,50,0,50,17,0,2,0,0,10,1,0,0,0,0,0,21,155
State,Punjab,0,0,0,1,0,1,2,2,0,0,0,0,1,5,0,5,0,0,1,0,0,1,1,2,0,2,0,0,6,22
State,Rajasthan,39,86,1,24,0,24,22,10,12,0,1,7,182,248,59,189,409,1,5,1,7,265,6,79,3,43,0,6,850,2285
State,Sikkim,1,0,0,1,0,1,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,8
State,Tamil Nadu,10,84,0,1,0,1,0,0,0,0,0,0,90,276,15,261,17,0,0,0,0,15,0,2,5,8,0,0,98,606
State,Tripura,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,4,0,0,0,2,3,0,1,0,0,0,0,4,20
State,Uttar Pradesh,15,0,3,10,0,10,1,1,0,0,0,1,1,22,3,19,2,0,1,0,0,7,10,0,1,17,0,0,15,106
State,Uttaranchal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
State,West Bengal,1,0,0,0,0,0,0,0,0,0,0,2,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,24
State,Total (States),510,440,32,383,0,383,112,75,37,58,48,150,1633,2994,391,2603,1222,58,74,4,48,3194,47,368,103,345,0,47,3989,15859
Union Territory,A & N Islands,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,6,13
Union Territory,Chandigarh,0,0,0,0,0,0,1,1,0,0,0,4,2,28,1,27,1,0,0,0,0,9,0,1,0,0,0,0,4,50
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Union Territory,Delhi,20,9,2,16,0,16,9,3,6,1,3,10,48,171,44,127,4,1,9,0,0,29,3,11,1,4,0,2,228,581
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Union Territory,Total (UTs),21,9,2,16,0,16,10,4,6,1,3,14,54,202,46,156,6,1,9,0,0,40,3,12,2,4,0,2,239,650
Total (All-India),Total (All-India),531,449,34,399,0,399,122,79,43,59,51,164,1687,3196,437,2759,1228,59,83,4,48,3234,50,380,105,349,0,49,4228,16509
