Category,States/ UTs,No. of Occasions of Poilce Firing,Civilians Killed,Civilians Injured,Policemen Killed,Policemen Injured
State,Andhra Pradesh,180,126,42,11,114
State,Arunachal Pradesh,2,0,0,0,3
State,Assam,41,28,11,9,16
State,Bihar,48,48,28,7,32
State,Chhattisgarh,7,2,58,2,43
State,Goa,0,0,0,0,0
State,Gujarat,27,5,13,0,8
State,Haryana,3,1,24,0,21
State,Himachal Pradesh,0,0,0,0,0
State,Jammu & Kashmir,338,100,95,26,190
State,Jharkhand,59,13,8,22,36
State,Karnataka,31,6,61,0,62
State,Kerala,12,1,0,0,11
State,Madhya Pradesh,38,21,2,2,23
State,Maharashtra,135,118,63,1,69
State,Manipur,34,15,57,0,0
State,Meghalaya,15,3,1,7,1
State,Mizoram,1,0,0,0,0
State,Nagaland,0,0,0,0,0
State,Orissa,6,0,3,0,14
State,Punjab,0,0,0,0,0
State,Rajasthan,28,10,48,1,176
State,Sikkim,0,0,0,0,0
State,Tamil Nadu,32,13,29,0,178
State,Tripura,28,41,0,23,18
State,Uttar Pradesh,231,202,23,23,172
State,Uttaranchal,1,1,5,0,5
State,West Bengal,97,22,32,2,219
State,Total (States),1394,776,603,136,1411
Union Territory,A & N Islands,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0
Union Territory,Delhi,18,8,10,0,132
Union Territory,Lakshadweep,0,0,0,0,0
Union Territory,Pondicherry,5,0,0,0,5
Union Territory,Total (UTs),23,8,10,0,137
Total (All-India),Total (All-India),1417,784,613,136,1548
