Category,States/ UTs,Number of Victims Killed in Terrorist/ Extremists Operations,Number of Victims Killed in Dacoity Operation or Other Raids,Number of Victims Killed by Riotous Mobs,Number of Victims Killed by Other Criminals,Number of Victims Killed on Border Duties,Number of Victims Killed in Accidents,Number of Victims Killed - Total,Number of Victims Injured in Terrorist/ Extremists Operations,Number of Victims Injured in Dacoity Operation or Other Raids,Number of Victims Injured by Riotous Mobs,Number of Victims Injured by Other Criminals,Number of Victims Injured on Border Duties,Number of Victims Injured in Accidents,Number of Victims Injured - Total
State,Andhra Pradesh,31,4,1,0,0,34,70,45,28,133,8,0,72,286
State,Arunachal Pradesh,0,0,0,0,0,1,1,0,0,7,0,0,0,7
State,Assam,13,12,0,4,0,5,34,41,4,4,0,0,5,54
State,Bihar,10,1,1,2,0,0,14,18,3,13,6,0,0,40
State,Chhattisgarh,8,0,0,0,0,11,19,15,0,0,0,0,4,19
State,Goa,0,0,0,0,0,1,1,0,0,2,0,0,6,8
State,Gujarat,0,0,0,5,0,33,38,0,0,22,19,1,47,89
State,Haryana,0,0,0,1,0,15,16,0,0,9,2,0,15,26
State,Himachal Pradesh,0,0,0,0,0,2,2,0,0,17,0,0,2,19
State,Jammu & Kashmir,129,0,0,9,0,12,150,281,0,47,27,0,27,382
State,Jharkhand,22,2,1,14,0,5,44,33,3,0,0,0,6,42
State,Karnataka,0,1,1,1,0,11,14,0,2,179,10,5,30,226
State,Kerala,0,1,0,0,0,3,4,0,3,253,96,0,25,377
State,Madhya Pradesh,0,0,0,2,0,8,10,0,0,87,50,0,16,153
State,Maharashtra,1,0,1,4,0,63,69,0,48,499,57,0,77,681
State,Manipur,1,1,0,0,0,2,4,1,5,0,0,0,0,6
State,Meghalaya,1,7,0,6,0,0,14,0,5,0,1,0,0,6
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,6,0,0,0,0,5,11,19,8,23,17,0,8,75
State,Punjab,0,0,0,8,0,87,95,0,0,0,0,0,6,6
State,Rajasthan,0,0,0,0,0,26,26,0,4,107,79,0,20,210
State,Sikkim,0,0,0,0,0,2,2,0,0,0,0,0,2,2
State,Tamil Nadu,1,0,1,0,0,32,34,0,25,94,27,0,124,270
State,Tripura,16,0,0,0,0,1,17,18,0,0,0,0,2,20
State,Uttar Pradesh,0,6,0,17,0,34,57,1,13,69,89,0,48,220
State,Uttaranchal,0,0,0,0,0,7,7,0,0,5,0,0,0,5
State,West Bengal,0,0,1,3,0,14,18,0,38,194,24,0,179,435
State,Total (States),239,35,7,76,0,414,771,472,189,1764,512,6,721,3664
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,3,3,0,0,0,3,0,14,17
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,6,0,0,3,0,45,54,13,8,104,64,1,50,240
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,0,7,8,0,0,15
Union Territory,Total (UTs),6,0,0,3,0,48,57,13,8,111,75,1,64,272
Total (All-India),Total (All-India),245,35,7,79,0,462,828,485,197,1875,587,7,785,3936
