Category,States/UTs,Number of Police Personnel - SC,Number of Police Personnel - ST,Number of Police Personnel - Muslim,Number of Police Personnel - Others,Number of Police Personnel - Total
State,Andhra Pradesh,11419,5029,9610,51788,77846
State,Arunachal Pradesh,69,4295,63,971,5398
State,Assam,2459,5061,8061,37764,53345
State,Bihar,5933,2210,3186,34075,45404
State,Chhattisgarh,1279,1902,1133,7898,12212
State,Goa,92,0,67,3498,3657
State,Gujarat,8761,11049,3813,36715,60338
State,Haryana,4585,0,837,26385,31807
State,Himachal Pradesh,2886,754,188,8302,12130
State,Jammu & Kashmir,1613,1722,32588,23114,59037
State,Jharkhand,NA,NA,NA,NA,NA
State,Karnataka,7623,2005,4195,36551,50374
State,Kerala,6544,464,4898,31606,43512
State,Madhya Pradesh,6528,5465,3090,82220,97303
State,Maharashtra,20913,13290,6482,90776,131461
State,Manipur,207,3326,1420,9594,14547
State,Meghalaya,1980,6044,78,342,8444
State,Mizoram,NA,NA,NA,NA,NA
State,Nagaland,371,10446,84,682,11583
State,Orissa,4743,5108,567,24468,34886
State,Punjab,0,0,0,0,0
State,Rajasthan,8955,6918,2311,45203,63387
State,Sikkim,410,1052,3,2585,4050
State,Tamil Nadu,14325,1365,4180,60375,80245
State,Tripura,3700,2600,2000,6591,14891
State,Uttar Pradesh,25232,1201,6663,123137,156233
State,Uttaranchal,2862,368,348,8619,12197
State,West Bengal,10611,3738,6099,63018,83466
State,Total (States),154100,95412,101964,816277,1167753
Union Territory,A & N Islands,0,293,265,2234,2792
Union Territory,Chandigarh,629,2,12,3359,4002
Union Territory,D & N Haveli,26,127,3,76,232
Union Territory,Daman & Diu,NA,NA,NA,NA,NA
Union Territory,Delhi,10059,3346,1251,41794,56450
Union Territory,Lakshadweep,5,185,3,131,324
Union Territory,Pondicherry,368,12,47,1177,1604
Union Territory,Total (UTs),11087,3965,1581,48771,65404
Total (All-India),Total (All-India),165187,99377,103545,865048,1233157
