Category,States/UTs,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Trains - Number,Railways - Running Trains - Value,Railways - Other Railways - Number,Railways - Other Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,Andhra Pradesh,177,59.6,172,63.6,11,2.1,19,3,3,1.6,16,1.4,2,1.5,16,8.2,232,90.6,629,228.7
State,Arunachal Pradesh,26,6.3,0,0,0,0,0,0,0,0,0,0,0,0,18,3.5,40,15.6,84,25.4
State,Assam,191,46.3,136,29.7,0,0,5,0.5,0,0,5,0.5,11,11.3,83,12.4,261,63.2,687,163.4
State,Bihar,326,36.5,826,216.5,0,0,52,9.4,30,4.7,22,4.7,11,13.5,108,23.6,880,216.5,2203,515.9
State,Chhattisgarh,42,7.2,38,7,0,0,9,0.3,9,0.3,0,0,1,0,9,0.7,239,28.1,338,43.2
State,Goa,10,15.3,3,2.8,0,0,0,0,0,0,0,0,0,0,4,0.5,8,1.8,25,20.5
State,Gujarat,181,44.1,113,98.9,5,1.2,52,12.2,51,12.2,1,0,4,1.4,70,88.8,566,158.6,991,405.2
State,Haryana,52,31.8,71,121.4,0,0,8,1.6,5,1.4,3,0.2,2,1.3,54,28.4,210,205,397,389.5
State,Himachal Pradesh,2,0.3,2,3.5,0,0,1,0,0,0,1,0,1,0.6,3,2.7,19,11.5,28,18.6
State,Jammu & Kashmir,65,27.3,3,2.8,0,0,0,0,0,0,0,0,3,13,20,17.3,70,40.9,161,101.2
State,Jharkhand,175,41,337,41.6,0,0,17,3.3,4,2.4,13,0.9,3,13.6,11,20.5,104,8.4,647,128.6
State,Karnataka,248,123.8,57,33.5,0,0,16,4.1,0,0,16,4.1,2,0.8,53,24.5,471,115.3,847,302
State,Kerala,113,28.6,36,20.9,1,0.2,1,3.1,1,3.1,0,0,0,0,41,9.1,325,90.1,517,152
State,Madhya Pradesh,449,66.6,186,85.7,5,0.1,54,32.8,12,1.8,42,31,2,16.9,81,32.2,987,257.7,1764,491.8
State,Maharashtra,444,200.8,296,310.3,1,0.1,57,16.7,27,3.5,30,13.2,9,18.2,184,285.5,1248,701.8,2239,1533.3
State,Manipur,3,3.8,5,2.4,0,0,0,0,0,0,0,0,0,0,0,0,11,17.7,19,23.9
State,Meghalaya,14,9.2,33,7.6,0,0,0,0,0,0,0,0,0,0,6,0.9,72,9.9,125,27.6
State,Mizoram,6,5.6,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,16,0.9,23,8
State,Nagaland,12,4.3,41,14.4,0,0,0,0,0,0,0,0,2,2.1,11,5.6,63,54.4,129,80.9
State,Orissa,255,48.7,268,56.5,0,0,14,0.3,4,0.2,10,0.1,4,0.9,90,20.7,327,132.3,958,259.4
State,Punjab,39,38.1,6,3.8,0,0,3,0.3,1,0,2,0.3,3,11.4,5,0.7,75,61.8,131,116.1
State,Rajasthan,26,3.7,60,83.6,0,0,5,1.4,4,1.4,1,0,0,0,18,3.5,780,307.9,889,400.2
State,Sikkim,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,3,0
State,Tamil Nadu,142,63.9,52,28.2,0,0,11,6.6,0,0,11,6.6,3,0.3,66,71.4,398,138,672,308.3
State,Tripura,35,3.6,3,0.2,0,0,0,0,0,0,0,0,0,0,25,3.2,0,0,63,7
State,Uttar Pradesh,504,159.5,2015,1209.1,0,0,49,6.7,27,1.8,22,4.9,13,19.8,34,80.5,1210,331.2,3825,1806.8
State,Uttaranchal,38,7.6,68,40.3,0,0,2,0,2,0,0,0,0,0,4,0.5,79,17.4,191,65.8
State,West Bengal,106,45.3,129,63,0,0,22,1.4,22,1.4,0,0,6,9.8,57,27.6,340,117.8,660,264.9
State,Total (States),3681,1128.8,4957,2548.5,23,3.7,399,103.9,202,35.9,197,68,82,136.1,1071,772.8,9032,3194.5,19245,7888.3
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,4,0.4
Union Territory,Chandigarh,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,6.8,22,7.3
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.8,2,6.8
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,105,130.4,30,40.1,0,0,11,0.8,4,0.1,7,0.8,0,0,58,59.4,420,432.7,624,663.4
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,2,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3.5
Union Territory,Total (UTs),110,134.2,30,40.1,0,0,11,0.8,4,0.1,7,0.8,0,0,59,59.4,446,446.8,656,681.4
Total (All-India),Total (All-India),3791,1263,4987,2588.6,23,3.7,410,104.7,206,36,204,68.7,82,136.1,1130,832.1,9478,3641.4,19901,8569.7
