Category,States/UTs,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Other - Number,Railways - Other - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,Andhra Pradesh,4257,535.2,74,15.9,110,16.1,943,164.2,296,61.7,647,102.5,16,6.4,2502,201.2,8849,1302.1,16751,2241
State,Arunachal Pradesh,131,40.3,8,5.8,1,0.1,0,0,0,0,0,0,0,0,54,8.2,249,69.6,443,124
State,Assam,2901,199.5,87,12,8,0.3,39,1.5,1,0,38,1.5,23,2.1,967,57.9,1342,108.9,5367,382.2
State,Bihar,4741,251.2,257,116.8,0,0,1432,1970.1,887,102.7,545,1867.4,3,0.2,686,32.1,2582,313.9,9701,2684.3
State,Chhattisgarh,1417,117.4,72,37,2,0.1,179,26.9,167,25.2,12,1.6,8,0.8,299,39.7,2835,291.5,4812,513.3
State,Goa,65,20.3,3,0.5,1,0.2,6,1,3,0.9,3,0.1,1,0.4,64,26,436,133.8,576,182.2
State,Gujarat,3639,957.8,116,62.4,12,28.3,356,60.5,355,60.5,1,0,15,3.2,1343,480,10353,2630.9,15834,4223.1
State,Haryana,1930,731.3,88,23.3,0,0,402,158.7,169,35.8,233,122.9,1,0,684,206.8,3012,1158.2,6117,2278.2
State,Himachal Pradesh,55,16.2,10,13.9,0,0,1,1.3,1,1.3,0,0,1,0.1,45,12.6,488,229.6,600,273.6
State,Jammu & Kashmir,447,203.9,19,17.9,0,0,0,0,0,0,0,0,0,0,193,175.3,1260,199.9,1919,597.1
State,Jharkhand,2377,175.7,110,4.6,0,0,187,13.5,0,0,187,13.5,37,1.3,380,259.9,736,278,3827,733
State,Karnataka,4505,808.1,44,23.9,0,0,457,97.1,0,0,457,97.1,61,21,1322,437.8,6479,1633.1,12868,3021.1
State,Kerala,1657,1338,262,102,4,4.4,198,36.6,159,33.6,39,3,1,3.5,529,150.5,2790,610.6,5441,2245.6
State,Madhya Pradesh,8173,1008.1,538,125.9,45,1.9,1106,120.6,640,86,466,34.5,7,7.8,3117,168.8,7277,1360,20263,2793
State,Maharashtra,7470,2059.7,326,730.8,9,2.2,3037,585.8,1359,258.3,1678,327.4,381,143.2,3821,1678.7,24822,9592.9,39866,14793.2
State,Manipur,42,16.7,3,0.3,0,0,0,0,0,0,0,0,0,0,101,15.7,71,18.9,217,51.6
State,Meghalaya,67,17.9,0,0,0,0,0,0,0,0,0,0,0,0,17,4.6,187,21.4,271,43.9
State,Mizoram,348,28.7,7,1.4,0,0,0,0,0,0,0,0,0,0,237,17.1,286,27.8,878,75.1
State,Nagaland,115,82.4,15,21.8,0,0,0,0,0,0,0,0,0,0,46,16.5,82,17.8,258,138.5
State,Orissa,2191,327.9,95,35.5,0,0,393,47.2,258,28,135,19.2,0,0,616,80.3,2327,400.1,5622,891.1
State,Punjab,994,370.1,44,43.9,3,5.5,41,17.2,10,3.6,31,13.5,4,0.4,342,195.2,1595,1038.6,3023,1670.9
State,Rajasthan,2413,492.8,112,186,0,0,564,69.9,354,52.1,210,17.9,1,0,1253,252.6,12596,2849.2,16939,3850.5
State,Sikkim,27,0.4,17,13.9,0,0,0,0,0,0,0,0,0,0,8,1.7,22,8.2,74,24.2
State,Tamil Nadu,3390,543.4,263,23.1,7,0,256,32.7,0,0,256,32.7,44,3.1,2255,302.2,10494,1315,16709,2219.5
State,Tripura,186,29.3,0,0,0,0,0,0,0,0,0,0,0,0,42,10.6,31,3.3,259,43.1
State,Uttar Pradesh,6383,1020.2,6121,1457.9,0,0,3141,270.5,2165,169.8,976,100.6,1,0.2,808,128.7,10557,1500,27011,4377.5
State,Uttaranchal,598,126.5,72,31.5,0,0,52,4.6,33,3.5,19,1,0,0,169,38.6,528,68.1,1419,269.3
State,West Bengal,5369,724.4,159,37.9,3,0.2,1038,121.2,832,108.9,206,12.3,0,0,1875,180.4,5801,1236.7,14245,2300.8
State,Total (States),65888,12243.2,8922,3145.9,205,59.2,13828,3801,7689,1032,6139,2769,605,193.8,23775,5179.8,118087,28418,231310,53040.9
Union Territory,A & N Islands,18,3.2,0,0,1,0,0,0,0,0,0,0,0,0,6,0.2,40,2.6,65,6
Union Territory,Chandigarh,634,131.8,0,0,0,0,0,0,0,0,0,0,0,0,74,11.5,821,226.3,1529,369.6
Union Territory,D & N Haveli,22,8.7,0,0,3,0.1,0,0,0,0,0,0,0,0,10,0.6,10,1.1,45,10.5
Union Territory,Daman & Diu,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,6,1.6,30,14.2,40,16.2
Union Territory,Delhi,2776,2926.3,0,0,0,0,1430,182.1,296,83.8,1134,98.3,0,0,1402,565.9,13668,5107.7,19276,8782.1
Union Territory,Lakshadweep,6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,10,0.9
Union Territory,Pondicherry,203,27.5,0,0,0,0,0,0,0,0,0,0,0,0,37,5.4,288,36.2,528,69.1
Union Territory,Total (UTs),3663,3098.5,0,0,4,0.1,1430,182.1,296,83.8,1134,98.3,0,0,1535,585.3,14861,5388.4,21493,9254.3
Total (All-India),Total (All-India),69551,15341.7,8922,3145.9,209,59.3,15258,3983.1,7985,1115.8,7273,2867.2,605,193.8,25310,5765.1,132948,33806.3,252803,62295.3
