Crime Head,Number of Cases Reported during - 2001,Number of Cases Reported during - 2002,Percentage Change in 2002 over 2001
Arms Act,154,162,5.2
Narcotic Drugs & Psychotropic Substances Act,52,56,7.7
Gambling Act,763,675,-11.5
Excise Act,613,526,-14.2
Prohibition Act,1007,930,-7.6
Explosive & Explosive Substances Act,3,10,233.3
Immoral Traffic (P) Act,125,49,-60.8
Indian Railways Act,26,81,211.5
Registration of Foreigners Act,3,6,100
Protection of Civil Rights Act - Total,0,5,NA
Protection of Civil Rights Act - i) PCR Act for SCs,0,5,NA
Protection of Civil Rights Act - ii) PCR Act for STs,0,0,NA
Indian Passport Act,10,10,0
Essential Commodities Act,7,3,-57.1
Terrorist & Disruptive Activities Act,0,0,NA
Antiquity & Art Treasure Act,0,0,NA
Dowry Prohibition Act,6,3,-50
Child Marriage Restraint Act,2,2,0
Indecent Representation of Women (P) Act,15,139,826.7
Copyrights Act,11,12,9.1
Sati Prevention Act,0,0,NA
SC/ ST (Prevention of Atrocities) Act - Total,50,38,-24
SC/ ST (Prevention of Atrocities) Act - i) Prevention of Atrocities Act for SCs,43,36,-16.3
SC/ ST (Prevention of Atrocities) Act - ii) Prevention of Atrocities Act for STs,7,2,-71.4
Forest Act,8,0,NA
Other SLL Crimes,5477,6274,14.6
Total Cognizable Crimes under SLL,8332,8981,7.8
