Sr. No. (Col. 1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for Investigation in which - Investigation was Refused (Col. 4),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Found False/ Mistake of Fact or Law Etc. (Col. 5),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Final Report True Submitted (Col. 6),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Sheets were Submitted (Col. 7),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Total (Col. 5 + Col. 6 + Col. 7) = (Col. 8),Percentage of Cases Pending Investigation (Col. 9),Charge Sheeting Rate {(Col. 7)/ (Col. 6 + Col. 7)} × 100 = (Col. 10)
1,Murder - Total,0.1,0.4,3.1,13,66.9,83,16.5,83.7
1,Murder - (i) - Infanticide,0,0.8,5.5,33.1,48,86.6,12.6,59.2
1,Murder - (ii) - Other Murder,0.1,0.4,2.9,11,68.7,82.6,16.9,86.2
2,Rape,0,0,1.4,2.2,84.9,88.6,11.4,97.5
3,Kidnapping & Abduction,0,1,12.6,13.8,58.6,85.1,14,80.9
4,Foeticide,0,1.1,8.6,40.9,17.2,66.7,32.3,29.6
5,Abetment of Suicide,0,0,6.5,0,61.3,67.7,32.3,100
6,Exposure and Abandonment,0,0.9,0.8,65.8,18.1,84.8,14.3,21.6
7,Procuration of Minor Girls,0,0,5.2,12.3,61.9,79.4,20.6,83.5
8,Buying of Girls for Prostitution,0,0,0,0,100,100,0,100
9,Selling of Girls for Prostitution,0,0,0,16.7,66.7,83.3,16.7,80
10,Child Marriage Restraint Act,0,0,7.9,2.4,77.8,88.1,11.9,97
11,Other Crimes,0,0,2.9,4.6,86,93.5,6.4,95
12,Total,0,0.3,4.9,11.3,71.9,88.1,11.5,86.4
