Category,Crime Head,1998,1999,2000,2001,2002,Note of - 1998,Note of - 1999,Note of - 2000
IPC Crimes,Murder,2.1,2.1,2.1,2.1,2.1,NA,NA,NA
IPC Crimes,Attempt to Commit Murder,2.4,2.5,2.4,2.5,2.6,NA,NA,NA
IPC Crimes,C.H. not Amounting Murder,2,1.8,1.8,2,2,NA,NA,NA
IPC Crimes,Rape - Total,1.3,1.3,1.2,1.3,1.3,NA,NA,NA
IPC Crimes,Rape - (i) Custodial Rape,NA,NA,NA,0,0,*,*,*
IPC Crimes,Rape - (ii) Other Rape,NA,NA,NA,1.3,1.3,*,*,*
IPC Crimes,Kidnapping & Abduction - Total,1.3,1.3,1.3,1.4,1.4,NA,NA,NA
IPC Crimes,Kidnapping & Abduction - i) of Women & Girls,1.2,1.2,1.1,1.2,1.3,NA,NA,NA
IPC Crimes,Kidnapping & Abduction - ii) of Others,1.6,1.6,1.6,1.7,1.7,NA,NA,NA
IPC Crimes,Dacoity,3.1,3.3,3.4,4,3.8,NA,NA,NA
IPC Crimes,Preparation & Assembly for Dacoity,4.2,4.8,4.5,4.6,4.4,NA,NA,NA
IPC Crimes,Robbery,1.4,1.4,1.4,1.5,1.5,NA,NA,NA
IPC Crimes,Burglary,0.6,0.6,0.6,0.7,0.7,NA,NA,NA
IPC Crimes,Theft - Total,0.6,0.6,0.6,0.6,0.7,NA,NA,NA
IPC Crimes,Theft - (i) Auto Theft,NA,0.5,0.4,0.5,0.5,*,NA,NA
IPC Crimes,Theft - (ii) Other Theft,NA,0.7,0.7,0.7,0.7,*,NA,NA
IPC Crimes,Riots,4.8,4.9,5.4,5.2,5.4,NA,NA,NA
IPC Crimes,Criminal Breach of Trust,0.9,1,1,1.1,1.1,NA,NA,NA
IPC Crimes,Cheating,0.8,0.9,0.9,1,1,NA,NA,NA
IPC Crimes,Counterfeiting,1.2,1.2,0.9,1.2,1.5,NA,NA,NA
IPC Crimes,Arson,1.1,1.2,1.4,1.3,1.5,NA,NA,NA
IPC Crimes,Hurt,1.9,1.9,1.9,1.8,1.8,NA,NA,NA
IPC Crimes,Dowry Deaths,2.6,2.6,2.6,3,2.7,NA,NA,NA
IPC Crimes,Molestation,1.2,1.3,1.3,1.2,1.3,NA,NA,NA
IPC Crimes,Sexual Harassment,1.3,1.2,1.2,1.3,1.3,NA,NA,NA
IPC Crimes,Cruelty by Husband and Relatives,2.3,2.3,2.3,2.2,2.3,NA,NA,NA
IPC Crimes,Importation of Girls,NA,3,2.4,1.9,1.3,*,NA,NA
IPC Crimes,Causing Death by Negligence,NA,NA,NA,0.9,0.9,*,*,*
IPC Crimes,Other IPC Crimes,1.4,1.3,1.3,1.4,1.4,NA,NA,NA
Total Cognizable Crimes under IPC,Total Cognizable Crimes under IPC,1.5,1.5,1.5,1.5,1.5,NA,NA,NA
SLL Crimes,Arms Act,1.1,1.1,1.1,1.1,1.1,NA,NA,NA
SLL Crimes,Narcotic Drugs & Psychotropic Substances Act,1.2,1.1,1.1,1.1,1.1,NA,NA,NA
SLL Crimes,Gambling Act,2.2,2.2,2.1,2.1,2,NA,NA,NA
SLL Crimes,Excise Act,1.1,1.1,1.1,1.1,1.1,NA,NA,NA
SLL Crimes,Prohibition Act,1,1,1,1,1,NA,NA,NA
SLL Crimes,Explosive & Explosive Substances Act,1.2,1.2,1.3,1.3,1.2,NA,NA,NA
SLL Crimes,Immoral Traffic (P) Act,1.5,1.6,1.5,1.5,1.5,NA,NA,NA
SLL Crimes,Indian Railways Act,1.1,1,1.3,1.1,1.2,NA,NA,NA
SLL Crimes,Registration of Foreigners Act,1.5,1.8,1.8,1.9,2.3,NA,NA,NA
SLL Crimes,Protection of Civil Rights Act - Total,1.8,1.5,1.6,1.7,1.2,NA,NA,NA
SLL Crimes,Protection of Civil Rights Act - (i) PCR Act for SCs,NA,NA,NA,1.7,1.2,*,*,*
SLL Crimes,Protection of Civil Rights Act - (ii) PCR Act for STs,NA,NA,NA,1.1,0.5,*,*,*
SLL Crimes,Indian Passport Act,2.2,1.9,2,1.7,2.1,NA,NA,NA
SLL Crimes,Essential Commodities Act,1.3,1.3,1.3,1.5,1.4,NA,NA,NA
SLL Crimes,Terrorist & Disruptive Activities Act,0,0,3.6,0,2.2,NA,NA,NA
SLL Crimes,Antiquity & Art Treasure Act,1.9,2.9,1.3,1,1.7,NA,NA,NA
SLL Crimes,Dowry Prohibition Act,2.5,2.2,2.3,2.2,2.4,NA,NA,NA
SLL Crimes,Child Marriage Restraint Act,6,3.1,3.6,3.3,4.2,NA,NA,NA
SLL Crimes,Indecent Representation of Women (P) Act,1,1.3,3.6,0.7,1,NA,NA,NA
SLL Crimes,Copyrights Act,1.4,1.5,1.6,1.3,1.4,NA,NA,NA
SLL Crimes,Sati Prevention Act,0,0,0,0,0,NA,NA,NA
SLL Crimes,SC/ ST (Prevention of Atrocities) Act - Total,1.7,1.7,1.8,1.9,1.9,NA,NA,NA
SLL Crimes,SC/ ST (Prevention of Atrocities) Act - (i) Prevention of Attrocities Act for SCs,NA,NA,NA,2,1.9,*,*,*
SLL Crimes,SC/ ST (Prevention of Atrocities) Act - (ii) Prevention of Atrocities Act for STs,NA,NA,NA,1.6,1.6,*,*,*
SLL Crimes,Forest Act,1.9,2.2,2,1.9,1.9,NA,NA,NA
SLL Crimes,Other SLL Crimes,1,1.2,1.1,1.1,1.1,NA,NA,NA
Total Cognizable Crimes under SLL,Total Cognizable Crimes under SLL,1,1.2,1.2,1.2,1.1,NA,NA,NA
