Category,States/UTs/Cities,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs & Psychotropic Substances Act - Incidence,Narcotic Drugs & Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosives & Explosive Substances Act - Incidence,Explosives & Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Indian Railways Act - Incidence,Indian Railways Act - Rate,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate,Protection of Civil Rights Act (Total) - Incidence,Protection of Civil Rights Act (Total) - Rate,PCR Act for SCs - Incidence,PCR Act for SCs - Rate,PCR Act for STs - Incidence,PCR Act for STs - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activities Act - Incidence,Terrorist & Disruptive Activities Act - Rate,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Indecent Representation of Women (P) Act - Incidence,Indecent Representation of Women (P) Act - Rate,Copyrights Act - Incidence,Copyrights Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ ST (Prevention of Atrocities) Act (Total) - Incidence,SC/ ST (Prevention of Atrocities) Act (Total) - Rate,SC/ ST (Prevention of Atrocities ) Act for SCs - Incidence,SC/ ST (Prevention of Atrocities ) Act for SCs - Rate,SC/ ST (Prevention of Atrocities) Act for STs - Incidence,SC/ ST (Prevention of Atrocities) Act for STs - Rate,Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes - Incidence,Other SLL Crimes - Rate,Total Cognizable Crimes under SLL - Incidence,Total Cognizable Crimes under SLL - Rate
State,Andhra Pradesh,341,0.4,518,0.7,42750,55.6,2759,3.6,2229,2.9,524,0.7,871,1.1,173,0.2,2,0,498,0.6,459,0.6,39,0.1,68,0.1,148,0.2,0,0,8,0,460,0.6,6,0,2403,3.1,393,0.5,0,0,964,1.3,830,1.1,134,0.2,29,0,451210,586.6,506354,658.3
State,Arunachal Pradesh,13,1.2,11,1,0,0,0,0,0,0,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,52,4.7
State,Assam,289,1.1,166,0.6,176,0.6,99,0.4,46,0.2,51,0.2,24,0.1,12,0,0,0,0,0,0,0,0,0,7,0,30,0.1,0,0,0,0,64,0.2,1,0,3,0,11,0,0,0,0,0,0,0,0,0,14,0.1,1380,5.1,2373,8.7
State,Bihar,2571,3,292,0.3,148,0.2,1234,1.4,3,0,264,0.3,10,0,145,0.2,3,0,117,0.1,113,0.1,4,0,2,0,206,0.2,0,0,53,0.1,779,0.9,1,0,1,0,7,0,0,0,721,0.8,715,0.8,6,0,83,0.1,2034,2.4,8674,10.2
State,Chhattisgarh,704,3.3,324,1.5,7754,36.4,8391,39.4,2,0,267,1.3,4656,21.9,2495,11.7,3,0,25,0.1,22,0.1,3,0,0,0,81,0.4,0,0,0,0,12,0.1,26,0.1,0,0,71,0.3,0,0,178,0.8,77,0.4,101,0.5,13,0.1,115341,541.4,140343,658.8
State,Goa,4,0.3,29,2.1,1211,87.2,0,0,0,0,1,0.1,25,1.8,0,0,31,2.2,0,0,0,0,0,0,0,0,4,0.3,0,0,0,0,0,0,0,0,0,0,7,0.5,0,0,1,0.1,1,0.1,0,0,2,0.1,677,48.8,1992,143.5
State,Gujarat,368,0.7,107,0.2,6796,13.1,0,0,112253,216.8,75,0.1,57,0.1,1864,3.6,9,0,7,0,6,0,1,0,4,0,131,0.3,0,0,2,0,1,0,38,0.1,4,0,201,0.4,0,0,429,0.8,332,0.6,97,0.2,1,0,34680,67,157027,303.2
State,Haryana,2029,9.4,1410,6.5,7159,33.1,13485,62.3,0,0,48,0.2,32,0.1,1019,4.7,8,0,0,0,0,0,0,0,0,0,102,0.5,0,0,0,0,3,0,1,0,0,0,163,0.8,0,0,32,0.1,32,0.1,0,0,0,0,2424,11.2,27915,129
State,Himachal Pradesh,25,0.4,312,5.1,412,6.7,2921,47.3,0,0,10,0.2,2,0,3,0,8,0.1,10,0.2,10,0.2,0,0,1,0,8,0.1,0,0,0,0,5,0.1,3,0,0,0,40,0.6,0,0,32,0.5,32,0.5,0,0,236,3.8,137,2.2,4165,67.4
State,Jammu & Kashmir,1061,10.2,118,1.1,134,1.3,240,2.3,0,0,312,3,3,0,0,0,6,0.1,0,0,0,0,0,0,1,0,603,5.8,0,0,0,0,0,0,0,0,0,0,8,0.1,0,0,0,0,0,0,0,0,8,0.1,380,3.6,2874,27.5
