Category,States/ UTs/ Cities,Arms Act - 2001,Arms Act - 2002,Arms Act - PVR,Narcotic Drugs & Psychoropic Substances Act - 2001,Narcotic Drugs & Psychoropic Substances Act - 2002,Narcotic Drugs & Psychoropic Substances Act - PVR,Gambling Act - 2001,Gambling Act - 2002,Gambling Act - PVR,Excise Act - 2001,Excise Act - 2002,Excise Act - PVR,Prohibition Act - 2001,Prohibition Act - 2002,Prohibition Act - PVR,Explosive & Explosive Substances Act - 2001,Explosive & Explosive Substances Act - 2002,Explosive & Explosive Substances Act - PVR,Immoral Traffic(P) Act - 2001,Immoral Traffic(P) Act - 2002,Immoral Traffic(P) Act - PVR,Indian Railways Act - 2001,Indian Railways Act - 2002,Indian Railways Act - PVR,Registration of Foreigners Act - 2001,Registration of Foreigners Act - 2002,Registration of Foreigners Act - PVR,Protection of Civil Rights Act (Total) - 2001,Protection of Civil Rights Act (Total) - 2002,Protection of Civil Rights Act (Total) - PVR,PCR Act for SCs - 2001,PCR Act for SCs - 2002,PCR Act for SCs - PVR,PCR Act for STs - 2001,PCR Act for STs - 2002,PCR Act for STs - PVR,Indian Passport Act - 2001,Indian Passport Act - 2002,Indian Passport Act - PVR,Essential Commodities Act - 2001,Essential Commodities Act - 2002,Essential Commodities Act - PVR,Terrorist & Disruptive Activities Act - 2001,Terrorist & Disruptive Activities Act - 2002,Terrorist & Disruptive Activities Act - PVR,Antiquity & Art Treasure Act - 2001,Antiquity & Art Treasure Act - 2002,Antiquity & Art Treasure Act - PVR,Dowry Prohibition Act - 2001,Dowry Prohibition Act - 2002,Dowry Prohibition Act - PVR,Child Marriage Restraint Act - 2001,Child Marriage Restraint Act - 2002,Child Marriage Restraint Act - PVR,Indecent Representation of Women (P) Act - 2001,Indecent Representation of Women (P) Act - 2002,Indecent Representation of Women (P) Act - PVR,Copy Right Act - 2001,Copy Right Act - 2002,Copy Right Act - PVR,Sati Prevention Act - 2001,Sati Prevention Act - 2002,Sati Prevention Act - PVR,SC/ ST(Prevention of Atrocities) Act (Total) - 2001,SC/ ST(Prevention of Atrocities) Act (Total) - 2002,SC/ ST(Prevention of Atrocities) Act (Total) - PVR,SC/ ST (Prev.) of Atrocities Act for SCs - 2001,SC/ ST (Prev.) of Atrocities Act for SCs - 2002,SC/ ST (Prev.) of Atrocities Act for SCs - PVR,SC/ ST (Prev.) of Atrocities Act for STs - 2001,SC/ ST (Prev.) of Atrocities Act for STs - 2002,SC/ ST (Prev.) of Atrocities Act for STs - PVR,Forest Act - 2001,Forest Act - 2002,Forest Act - PVR,Other SLL Crimes - 2001,Other SLL Crimes - 2002,Other SLL Crimes - PVR,Total Cognizable Crimes Under SLL - 2001,Total Cognizable Crimes Under SLL - 2002,Total Cognizable Crimes Under SLL - PVR,Note of - Arms Act - PVR,Note of - Narcotic Drugs & Psychoropic Substances Act - PVR,Note of - Gambling Act - PVR,Note of - Excise Act - PVR,Note of - Prohibition Act - PVR,Note of - Explosive & Explosive Substances Act - PVR,Note of - Immoral Traffic(P) Act - PVR,Note of - Indian Railways Act - PVR,Note of - Registration of Foreigners Act - PVR,Note of - Protection of Civil Rights Act (Total) - PVR,Note of - PCR Act for SCs - PVR,Note of - Indian Passport Act - PVR,Note of - Essential Commodities Act - PVR,Note of - Terrorist & Disruptive Activities Act - PVR,Note of - Antiquity & Art Treasure Act - PVR,Note of - Dowry Prohibition Act - PVR,Note of - Child Marriage Restraint Act - PVR,Note of - Indecent Representation of Women(P)Act - PVR,Note of - Copy Right Act - PVR,Note of - SC/ ST(Prevention of Atrocities)Act (Total) - PVR,Note of - SC/ ST (Prev.) of Atrocities Act for SCs - PVR,Note of - SC/ ST (Prev.) of Atrocities Act for STs - PVR,Note of - Forest Act - PVR,Note of - Other SLL Crimes - PVR
State,Andhra Pradesh,386,341,-11.7,651,518,-20.4,33865,42750,26.2,2871,2759,-3.9,1685,2229,32.3,488,524,7.4,1332,871,-34.6,43,173,302.3,4,2,-50,338,498,47.3,312,459,47.1,26,39,50,67,68,1.5,42,148,252.4,0,0,0,8,8,0,551,460,-16.5,6,6,0,925,2403,159.8,222,393,77,0,0,0,1079,964,-10.7,950,830,-12.6,129,134,3.9,33,29,-12.1,480931,451210,-6.2,525527,506354,-3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Arunachal Pradesh,10,13,30,17,11,-35.3,0,0,0,0,0,0,0,0,0,2,6,200,0,0,0,0,0,0,1,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,-15.4,56,52,-7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Assam,388,289,-25.5,146,166,13.7,103,176,70.9,182,99,-45.6,2,46,2200,75,51,-32,6,24,300,14,12,-14.3,1,0,-100,0,0,0,0,0,0,0,0,0,9,7,-22.2,36,30,-16.7,0,0,0,0,0,0,179,64,-64.2,0,1,NA,10,3,-70,3,11,266.7,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,1192,1380,15.8,2360,2373,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA
State,Bihar,2861,2571,-10.1,225,292,29.8,174,148,-14.9,1285,1234,-4,2,3,50,378,264,-30.2,29,10,-65.5,45,145,222.2,3,3,0,89,117,31.5,81,113,39.5,8,4,-50,1,2,100,244,206,-15.6,0,0,0,0,53,NA,835,779,-6.7,2,1,-50,3,1,-66.7,8,7,-12.5,0,0,0,523,721,37.9,513,715,39.4,10,6,-40,56,83,48.2,1315,2034,54.7,8078,8674,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Chhattisgarh,551,704,27.8,299,324,8.4,6934,7754,11.8,8907,8391,-5.8,0,2,NA,207,267,29,12,4656,38700,7325,2495,-65.9,0,3,NA,3,25,733.3,1,22,2100,2,3,50,0,0,0,87,81,-6.9,0,0,0,0,0,0,13,12,-7.7,0,26,NA,0,0,0,47,71,51.1,0,0,0,170,178,4.7,164,77,-53,6,101,1583.3,16,13,-18.8,103241,115341,11.7,127812,140343,9.8,NA,NA,NA,NA,@,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA
State,Goa,34,4,-88.2,29,29,0,1238,1211,-2.2,0,0,0,0,0,0,3,1,-66.7,28,25,-10.7,0,0,0,4,31,675,0,0,0,0,0,0,0,0,0,0,0,0,3,4,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,-53.3,0,0,0,1,1,0,1,1,0,0,0,0,0,2,NA,596,677,13.6,1951,1992,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
State,Gujarat,245,368,50.2,119,107,-10.1,7850,6796,-13.4,0,0,0,112114,112253,0.1,46,75,63,61,57,-6.6,1874,1864,-0.5,20,9,-55,19,7,-63.2,16,6,-62.5,3,1,-66.7,18,4,-77.8,120,131,9.2,0,0,0,0,2,NA,0,1,NA,11,38,245.5,0,4,NA,174,201,15.5,0,0,0,446,429,-3.8,356,332,-6.7,90,97,7.8,1,1,0,37945,34680,-8.6,161063,157027,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,@,NA,@,NA,NA,NA,NA,NA,NA
State,Haryana,1275,2029,59.1,1322,1410,6.7,5962,7159,20.1,12223,13485,10.3,0,0,0,32,48,50,21,32,52.4,1052,1019,-3.1,5,8,60,1,0,-100,1,0,-100,0,0,0,1,0,-100,131,102,-22.1,0,0,0,0,0,0,0,3,NA,0,1,NA,0,0,0,105,163,55.2,0,0,0,33,32,-3,33,32,-3,0,0,0,0,0,0,2864,2424,-15.4,25027,27915,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,@,NA,NA,NA,NA,NA,NA,NA
State,Himachal Pradesh,20,25,25,229,312,36.2,314,412,31.2,2949,2921,-0.9,0,0,0,8,10,25,1,2,100,1,3,200,8,8,0,4,10,150,4,10,150,0,0,0,0,1,NA,10,8,-20,0,0,0,0,0,0,9,5,-44.4,0,3,NA,0,0,0,18,40,122.2,0,0,0,43,32,-25.6,41,32,-22,2,0,-100,279,236,-15.4,123,137,11.4,4016,4165,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA
State,Jammu & Kashmir,1259,1061,-15.7,111,118,6.3,72,134,86.1,314,240,-23.6,0,0,0,353,312,-11.6,7,3,-57.1,0,0,0,19,6,-68.4,0,0,0,0,0,0,0,0,0,7,1,-85.7,591,603,2,0,0,0,0,0,0,3,0,-100,0,0,0,0,0,0,4,8,100,0,0,0,0,0,0,0,0,0,0,0,0,6,8,33.3,251,380,51.4,2997,2874,-4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
