Category,States/ UTs,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub. Act,I.T.P. Act,Indian Railways Act,Registration of Foreigners Act,P.C.R. Act - Total,P.C.R. Act - For SCs,P.C.R. Act - For STs,Indian Passport Act,Essential Commodities Act,TADA Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copyright Act,Sati Prevention Act,SC/ ST (P) of Atrocities Act - Total,SC/ ST (P) of Atrocities Act - For SCs,SC/ ST (P) of Atrocities Act - For STs,Forest Act,Other SLL Crimes,Total Cog. Crimes under SLL
State,Andhra Pradesh,16.1,7.3,98.5,49.9,55.8,31.4,82.5,82.6,0,7.7,9.2,0,11.6,28.6,NA,25,15.1,NA,97.2,30.7,NA,10,9.9,10.4,8.3,98.2,97.1
State,Arunachal Pradesh,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
State,Assam,27.4,46.5,37.5,59.6,66.7,33.3,14.3,66.7,NA,NA,NA,NA,25,43.8,0,NA,26.3,NA,NA,0,NA,NA,NA,NA,25,16.9,26.4
State,Bihar,26.4,43.4,50,40.1,0,18.4,14.3,31.8,NA,25,25,NA,0,21,NA,NA,30.4,NA,33.3,33.3,NA,23.3,23.5,0,25.8,21.8,29.9
State,Chhattisgarh,42.6,68.3,98.6,95.9,NA,89.6,33.3,100,NA,0,0,0,NA,22.4,NA,NA,59.4,100,NA,41.5,NA,59.7,51.4,64.9,59.5,97.9,97.5
State,Goa,0,87.5,89.3,NA,NA,33.3,82.4,NA,88.9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,92.6,89.5
State,Gujarat,9.7,26.6,30.8,NA,6.4,27.3,0,93.6,50,0,0,0,33.3,9.8,NA,0,0,70,NA,0,NA,3.3,2.1,5.6,0,69,26.5
State,Haryana,42.5,33.4,79.6,43.5,NA,24.4,14.3,88.1,40,0,0,NA,0,27.7,NA,NA,NA,0,NA,14.5,NA,15.8,15.8,NA,NA,22.6,48.4
State,Himachal Pradesh,5.3,22.2,23.3,10.9,NA,0,NA,NA,100,0,0,NA,NA,33.3,NA,NA,0,0,NA,0,NA,25,25,NA,12.2,23.6,12.3
State,Jammu & Kashmir,1.2,8.6,87.1,67.4,NA,21.4,NA,NA,66.7,NA,NA,NA,0,2,5.6,NA,NA,NA,NA,0,NA,NA,NA,NA,0,11.3,17.6
State,Jharkhand,37.6,54.5,39.1,27.8,0,19.6,0,0,NA,NA,NA,NA,NA,21.2,33.3,NA,22.9,NA,NA,33.3,NA,24.7,26.2,11.1,44.4,3.2,21.4
State,Karnataka,3.1,4.2,86.8,36.7,NA,16.7,90.4,18.2,70,0.7,0.8,0,0,1.9,NA,0,1.6,0,0,0,NA,3,2.9,5.7,4.2,56.6,66.1
State,Kerala,15,67.8,92,23.2,44.1,22.5,64.4,100,28.6,0,0,NA,33.3,12.5,NA,NA,0,NA,10,14.7,NA,8.8,7.7,20,NA,90.2,83.9
State,Madhya Pradesh,63.1,55.6,97.7,90.4,0,89.2,100,99.3,NA,15.4,15.4,NA,NA,48.9,NA,NA,46.5,0,NA,61.1,NA,34.1,38.2,27,45.1,98.6,96.1
State,Maharashtra,9.6,14.3,15.7,NA,4.6,12.5,46.1,99.3,83.3,0.8,0.8,NA,78.9,2.1,NA,NA,17.6,25,0,9,NA,0.5,0.6,0,0,28.2,16.6
State,Manipur,0,19.3,100,NA,NA,NA,100,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,51.5
State,Meghalaya,30,10,83.3,NA,NA,25,0,NA,100,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,55.3
State,Mizoram,66.7,100,NA,NA,98.7,NA,NA,NA,100,NA,NA,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,99.2
State,Nagaland,100,97.7,NA,100,100,100,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,98.3
State,Orissa,13.6,10.8,57.3,42.2,0,10,20,NA,NA,0,0,0,NA,8.2,NA,NA,13,NA,NA,NA,NA,10.5,8.6,25,NA,17.8,35.5
State,Punjab,63.4,47.5,83.9,71.2,NA,31.3,11.1,83.8,100,0,0,NA,92.6,37.5,NA,NA,0,NA,100,28.6,NA,0,0,NA,NA,58.2,69.4
State,Rajasthan,74.1,36.4,95.5,87.7,NA,61.1,43.9,97.1,36.4,0,0,0,40,52.9,0,100,NA,0,61.1,62.3,NA,29.8,28.8,33.1,85.3,76.8,82.6
State,Sikkim,75,100,NA,93.8,NA,60,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,91.9
State,Tamil Nadu,54.6,74,99.8,NA,85.1,79.5,99.3,100,100,26.4,26.4,NA,61.5,16.7,NA,NA,12.1,NA,75,88.8,NA,17.4,17.4,NA,NA,96.8,90.5
State,Tripura,14.3,NA,0,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,46.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21.7
State,Uttar Pradesh,63.9,64.1,77.6,81.5,NA,60.2,71.4,98.5,90.5,64.3,64.3,NA,60,42.1,100,NA,64.1,NA,66.7,80.3,NA,42.6,42.6,42.9,80.1,84.7,82.4
State,Uttaranchal,88.3,77.6,97.3,90.3,100,71.4,NA,100,100,NA,NA,NA,100,100,NA,NA,66.7,NA,NA,100,NA,50,50,NA,84,99.2,98.2
State,West Bengal,24.6,15,76,88.4,NA,31.6,62.5,99.9,90.4,NA,NA,NA,0,13.8,NA,33.3,71.4,NA,0,26,NA,0,0,NA,0,99.7,99.5
State,Total (States),59.7,56.2,85.1,71.3,48.1,60.6,92.6,98.6,90,18.6,19.8,0,52.5,20.8,17.2,25,28.9,69.4,96,51.9,0,31.4,30.5,36.7,74.6,95.1,86
Union Territory,A & N Islands,NA,100,100,100,100,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,99.9
Union Territory,Chandigarh,100,41.7,96,95.8,NA,100,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,97.1,94.6
Union Territory,D & N Haveli,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.3
Union Territory,Daman & Diu,0,NA,100,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,42.9
Union Territory,Delhi,50.6,81.8,92.1,74.8,NA,100,55.7,100,100,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,55.6,NA,100,100,NA,NA,89.4,74.4
Union Territory,Lakshadweep,NA,NA,NA,NA,72.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.7
Union Territory,Puducherry,84.6,33.3,95,NA,NA,NA,93.1,NA,NA,10,10,NA,100,81.8,NA,NA,0,NA,NA,100,NA,NA,NA,NA,NA,99.6,97.5
Union Territory,Total (UTs),50.9,79.5,92.4,84.6,95.5,84.6,66.3,100,80,10,10,0,100,88,0,0,0,0,0,68.8,0,100,100,0,0,93.6,81.8
Total (All-India),Total (All-India),59.4,56.6,85.2,72.2,48.1,60.7,92.2,98.6,90,18.5,19.7,0,52.7,21.4,17.2,25,28.8,69.4,96,52.1,0,31.4,30.5,36.7,74.6,95.1,86
