Category,States/ UTs,Arrested & Sent to Courts,Sent to Home after Advice or Admonition,Released on Probation and Placed under Care of - Parents/ Guardians,Released on Probation and Placed under Care of - Fit Instt.,Sent to Special Homes,Dealt with Fine,Acquitted or Otherwise Disposed of,Pending Disposal
State,Andhra Pradesh,2084,140,150,88,69,89,164,1384
State,Arunachal Pradesh,132,69,2,0,0,0,0,61
State,Assam,332,10,123,7,52,35,11,94
State,Bihar,660,136,22,8,162,15,27,290
State,Chhattisgarh,1407,116,131,56,149,32,78,845
State,Goa,68,1,3,0,24,0,3,37
State,Gujarat,3335,385,257,148,114,159,196,2076
State,Haryana,2511,2,4,0,8,55,114,2328
State,Himachal Pradesh,121,0,14,0,0,0,5,102
State,Jammu & Kashmir,3,0,0,0,0,0,0,3
State,Jharkhand,746,189,55,25,161,38,132,146
State,Karnataka,277,39,20,3,26,1,0,188
State,Kerala,234,0,0,7,35,0,0,192
State,Madhya Pradesh,8536,1239,3774,329,515,388,435,1856
State,Maharashtra,5379,296,1036,343,1188,20,144,2352
State,Manipur,0,0,0,0,0,0,0,0
State,Meghalaya,68,0,13,1,10,0,4,40
State,Mizoram,60,6,19,4,17,7,1,6
State,Nagaland,14,8,2,0,0,2,0,2
State,Orissa,192,37,23,26,25,0,8,73
State,Punjab,156,2,0,0,1,1,6,146
State,Rajasthan,1937,158,419,126,339,8,141,746
State,Sikkim,2,0,1,1,0,0,0,0
State,Tamil Nadu,6082,307,5033,56,84,20,169,413
State,Tripura,7,0,0,0,0,0,6,1
State,Uttar Pradesh,96,0,18,0,29,6,4,39
State,Uttaranchal,34,26,0,0,6,0,0,2
State,West Bengal,17,0,5,5,3,0,4,0
State,Total (States),34490,3166,11124,1233,3017,876,1652,13422
Union Territory,A & N Islands,6,0,0,0,0,0,0,6
Union Territory,Chandigarh,75,2,7,0,0,0,4,62
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0
Union Territory,Delhi,1192,63,207,7,362,32,37,484
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0
Union Territory,Puducherry,16,5,0,0,2,0,0,9
Union Territory,Total (UTs),1289,70,214,7,364,32,41,561
Total (All-India),Total (All-India),35779,3236,11338,1240,3381,908,1693,13983
