Category,States/ UTs,Total No. of Persons under Arrest Including those from Previous Year,Number of - Persons Released before Trial,Number of - Persons Charge Sheeted,Number of - Persons under Investigation at the End of the Year,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,526,1,379,146,27.8,8.4
State,Arunachal Pradesh,5,0,1,4,80,0.2
State,Assam,28,12,14,2,7.1,0.1
State,Bihar,132,0,104,28,21.2,1.6
State,Chhattisgarh,1198,0,899,299,25,17.3
State,Goa,51,1,31,19,37.3,1.1
State,Gujarat,804,3,777,24,3,1.4
State,Haryana,264,0,260,4,1.5,0.2
State,Himachal Pradesh,104,3,73,28,26.9,1.6
State,Jammu & Kashmir,24,0,24,0,0,0
State,Jharkhand,138,7,124,7,5.1,0.4
State,Karnataka,125,0,108,17,13.6,1
State,Kerala,403,10,183,210,52.1,12.1
State,Madhya Pradesh,3202,0,3171,31,1,1.8
State,Maharashtra,2187,20,1931,236,10.8,13.6
State,Manipur,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0
State,Orissa,68,0,67,1,1.5,0.1
State,Punjab,236,12,168,56,23.7,3.2
State,Rajasthan,103,0,103,0,0,0
State,Sikkim,11,1,7,3,27.3,0.2
State,Tamil Nadu,174,4,142,28,16.1,1.6
State,Tripura,0,0,0,0,0,0
State,Uttar Pradesh,3968,104,3542,322,8.1,18.6
State,Uttaranchal,59,3,56,0,0,0
State,West Bengal,216,61,76,79,36.6,4.6
State,Total (States),14026,242,12240,1544,11,89.2
Union Territory,A & N Islands,0,0,0,0,0,0
Union Territory,Chandigarh,49,3,43,3,6.1,0.2
Union Territory,D & N Haveli,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0
Union Territory,Delhi,759,5,587,167,22,9.7
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Puducherry,27,0,11,16,59.3,0.9
Union Territory,Total (UTs),835,8,641,186,22.3,10.8
Total (All-India),Total (All-India),14861,250,12881,1730,11.6,100
