Category,States/ UTs,Total No. of Persons under Arrest* Including those from Previous Year,Number of - Persons Released before Trial,Number of - Persons Charge Sheeted,Number of - Persons under Investigation at the End of the Year,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,523979,378,515140,8461,1.6,3.7
State,Arunachal Pradesh,99,22,25,52,52.5,0
State,Assam,13163,1366,2586,9211,70,4.1
State,Bihar,23733,2565,15681,5487,23.1,2.4
State,Chhattisgarh,148088,1,146933,1154,0.8,0.5
State,Goa,2719,4,2453,262,9.6,0.1
State,Gujarat,209962,9,192492,17461,8.3,7.7
State,Haryana,35267,7,33267,1993,5.7,0.9
State,Himachal Pradesh,6499,32,5226,1241,19.1,0.5
State,Jammu & Kashmir,3252,49,2842,361,11.1,0.2
State,Jharkhand,3866,270,2748,848,21.9,0.4
State,Karnataka,44126,3285,38044,2797,6.3,1.2
State,Kerala,56576,902,47907,7767,13.7,3.4
State,Madhya Pradesh,250413,6,249752,655,0.3,0.3
State,Maharashtra,306244,269,248974,57001,18.6,25.1
State,Manipur,1555,761,211,583,37.5,0.3
State,Meghalaya,481,65,92,324,67.4,0.1
State,Mizoram,3302,2,3163,137,4.1,0.1
State,Nagaland,1773,236,489,1048,59.1,0.5
State,Orissa,15033,2,14588,443,2.9,0.2
State,Punjab,40586,259,27445,12882,31.7,5.7
State,Rajasthan,45760,13,45562,185,0.4,0.1
State,Sikkim,74,9,33,32,43.2,0
State,Tamil Nadu,760933,214566,483581,62786,8.3,27.7
State,Tripura,288,22,224,42,14.6,0
State,Uttar Pradesh,611055,2454,601408,7193,1.2,3.2
State,Uttaranchal,45343,121,44810,412,0.9,0.2
State,West Bengal,1344802,5185,1319719,19898,1.5,8.8
State,Total (States),4498971,232860,4045395,220716,4.9,97.3
Union Territory,A & N Islands,5001,0,4704,297,5.9,0.1
Union Territory,Chandigarh,1002,15,793,194,19.4,0.1
Union Territory,D & N Haveli,92,0,64,28,30.4,0
Union Territory,Daman & Diu,49,5,44,0,0,0
Union Territory,Delhi,25636,0,19984,5652,22,2.5
Union Territory,Lakshadweep,7,0,6,1,14.3,0
Union Territory,Pondicherry,1281,0,1246,35,2.7,0
Union Territory,Total (UTs),33068,20,26841,6207,18.8,2.7
Total (All-India),Total (All-India),4532039,232880,4072236,226923,5,100
