Category,States/ UTs/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways Running Trains - Number,Railways Running Trains - Value,Railways Other Railways - Number,Railways Other Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,Andhra Pradesh,6504,1463.5,20,1.3,0,0,2,0,0,0,2,0,5,0.5,1330,290.2,1189,202.3,9050,1957.9
State,Arunachal Pradesh,139,149.8,3,0,0,0,0,0,0,0,0,0,0,0,34,7.6,77,23.7,253,181.1
State,Assam,1548,103.5,50,14.3,1,0,5,0.2,0,0,5,0.2,0,0,628,55.8,374,24.6,2606,198.4
State,Bihar,2087,135.6,18,3.6,0,0,6,0.1,6,0.1,0,0,6,8.6,285,21.3,584,29.1,2986,198.2
State,Chhattisgarh,2814,269.9,0,0,0,0,0,0,0,0,0,0,7,3.4,225,44.8,575,66.3,3621,384.3
State,Goa,126,56,0,0,0,0,0,0,0,0,0,0,2,0,95,41.6,34,7,257,104.6
State,Gujarat,3774,1169.4,5,7.8,2,1.5,0,0,0,0,0,0,33,27.6,930,368.8,1100,293.7,5844,1868.8
State,Haryana,1868,454,91,31,0,0,0,0,0,0,0,0,21,2.5,553,99.1,448,98.7,2981,685.3
State,Himachal Pradesh,328,71.1,0,0,0,0,0,0,0,0,0,0,8,0,163,37.1,208,24.1,707,132.4
State,Jammu & Kashmir,855,216.5,9,1.4,0,0,0,0,0,0,0,0,2,0.1,298,104.5,362,79.6,1526,402.1
State,Jharkhand,1269,100.3,0,0,0,0,10,0.1,0,0,10,0.1,4,0.6,68,5.2,117,1.2,1468,107.4
State,Karnataka,4036,1017.7,0,0,0,0,0,0,0,0,0,0,33,13.7,1149,372.9,837,74.2,6055,1478.6
State,Kerala,2569,803.8,8,4.3,0,0,2,0.1,0,0,2,0.1,12,20.5,766,260.8,1052,275,4409,1364.5
State,Madhya Pradesh,9507,1047.3,36,9.8,0,0,17,0.6,0,0,17,0.6,14,3.2,1020,119.3,2290,372.8,12884,1552.9
