Category,States/ UTs/Cities,"No. of Vehicles Motor Cycles, Scooters - S","No. of Vehicles Motor Cycles, Scooters - R","No. of Vehicles Motor Cycles, Scooters - C",No. of Vehicles Motor Car / Taxi / Jeep - S,No. of Vehicles Motor Car / Taxi / Jeep - R,No. of Vehicles Motor Car / Taxi / Jeep - C,No. of Vehicles Buses - S,No. of Vehicles Buses - R,No. of Vehicles Buses - C,No. of Vehicles Goods Carrying Vehicles (Trucks / Tempos Etc.) - S,No. of Vehicles Goods Carrying Vehicles (Trucks / Tempos Etc.) - R,No. of Vehicles Goods Carrying Vehicles (Trucks / Tempos Etc.) - C,No. of Vehicles Other Motor Vehicles - S,No. of Vehicles Other Motor Vehicles - R,No. of Vehicles Other Motor Vehicles - C,No. of Vehicles Total Motor Vehicles - S,No. of Vehicles Total Motor Vehicles - R,No. of Vehicles Total Motor Vehicles - C
State,Andhra Pradesh,3865,1636,38,366,127,2,6,4,0,17,9,0,478,196,43,4732,1972,83
State,Arunachal Pradesh,49,11,0,1,1,0,0,0,0,0,0,0,0,0,0,50,12,0
State,Assam,497,58,0,210,67,0,0,0,0,0,0,0,49,7,0,756,132,0
State,Bihar,1183,243,16,118,32,7,0,0,0,7,4,0,32,14,0,1340,293,23
State,Chhattisgarh,752,325,0,101,45,0,0,0,0,2,0,0,276,20,0,1131,390,0
State,Goa,124,39,2,8,2,0,0,0,0,2,2,0,0,0,0,134,43,2
State,Gujarat,6131,1770,347,661,370,52,36,4,2,49,26,22,367,116,49,7244,2286,472
State,Haryana,1989,929,80,784,363,33,32,20,2,139,107,15,349,127,9,3293,1546,139
State,Himachal Pradesh,78,31,1,92,48,1,0,0,0,43,29,0,5,2,0,218,110,2
State,Jammu & Kashmir,301,73,5,206,53,2,0,0,0,0,0,0,69,30,2,576,156,9
State,Jharkhand,137,24,0,191,66,0,0,0,0,0,0,0,19,8,0,347,98,0
State,Karnataka,3597,1040,93,351,116,1,4,2,0,47,26,3,334,145,1,4333,1329,98
State,Kerala,1070,440,1,512,170,0,4,2,0,20,5,0,62,14,0,1668,631,1
State,Madhya Pradesh,4291,1266,0,714,379,0,0,0,0,12,8,0,191,98,0,5208,1751,0
State,Maharashtra,7078,2116,597,1855,446,170,15,5,1,220,126,29,103,59,29,9271,2752,826
State,Manipur,107,4,0,13,7,0,0,0,0,0,0,0,4,0,0,124,11,0
State,Meghalaya,41,8,0,61,9,0,0,0,0,1,0,0,5,0,0,108,17,0
State,Mizoram,31,29,0,20,20,0,0,0,0,0,0,0,5,5,0,56,54,0
State,Nagaland,197,46,0,15,4,0,0,0,0,1,1,0,12,7,0,225,58,0
State,Orissa,752,248,94,66,22,4,0,0,0,4,4,2,254,73,3,1076,347,103
State,Punjab,818,327,206,457,169,105,17,9,1,92,56,37,43,24,7,1427,585,356
State,Rajasthan,4482,820,37,665,186,23,38,24,0,46,18,1,36,13,1,5267,1061,62
State,Sikkim,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0
State,Tamil Nadu,4317,3013,1107,166,109,54,2,2,0,36,36,18,60,52,34,4581,3212,1213
State,Tripura,52,6,0,1,1,0,0,0,0,0,0,0,0,0,0,53,7,0
State,Uttar Pradesh,3376,920,21,1162,400,1,34,19,2,34,20,0,114,47,1,4720,1406,25
State,Uttaranchal,269,83,0,80,34,0,0,0,0,2,1,0,18,4,0,369,122,0
State,West Bengal,2049,374,29,392,168,115,1,0,0,17,7,4,122,78,0,2581,627,148
State,Total (States),47633,15879,2674,9271,3417,570,189,91,8,791,485,131,3007,1139,179,60891,21011,3562
Union Territory,A & N Islands,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,5,2,0
Union Territory,Chandigarh,274,131,0,284,149,0,0,0,0,6,4,0,2,2,0,566,286,0
Union Territory,D & N Haveli,10,4,0,4,4,0,0,0,0,0,0,0,1,1,0,15,9,0
Union Territory,Daman & Diu,26,8,5,1,1,0,0,0,0,0,0,0,0,0,0,27,9,5
Union Territory,Delhi,3360,586,257,3626,625,184,18,5,1,113,25,14,571,186,33,7688,1427,489
Union Territory,Lakshadweep,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
