Category,States/ UTs/Cities,Murder - 2002,Murder - 2003,Murder - % Variation,Attempt to Commit Murder - 2002,Attempt to Commit Murder - 2003,Attempt to Commit Murder - % Variation,C.H. not Amounting to Murder - 2002,C.H. not Amounting to Murder - 2003,C.H. not Amounting to Murder - % Variation,Rape Total - 2002,Rape Total - 2003,Rape Total - % Variation,Rape Custodial - 2002,Rape Custodial - 2003,Rape Custodial - % Variation,Rape Other - 2002,Rape Other - 2003,Rape Other - % Variation,Kidnapping & Abduction Total - 2002,Kidnapping & Abduction Total - 2003,Kidnapping & Abduction Total - % Variation,Kidnapping & Abduction of Women & Girls - 2002,Kidnapping & Abduction of Women & Girls - 2003,Kidnapping & Abduction of Women & Girls - % Variation,Kidnapping & Abduction of Others - 2002,Kidnapping & Abduction of Others - 2003,Kidnapping & Abduction of Others - % Variation,Dacoity - 2002,Dacoity - 2003,Dacoity - % Variation,Preparation & Assembly for Dacoity - 2002,Preparation & Assembly for Dacoity - 2003,Preparation & Assembly for Dacoity - % Variation,Robbery - 2002,Robbery - 2003,Robbery - % Variation,Burglary - 2002,Burglary - 2003,Burglary - % Variation,Theft Total - 2002,Theft Total - 2003,Theft Total - % Variation,Theft Auto Theft - 2002,Theft Auto Theft - 2003,Theft Auto Theft - % Variation,Theft Other Theft - 2002,Theft Other Theft - 2003,Theft Other Theft - % Variation,Riots - 2002,Riots - 2003,Riots - % Variation,Criminal Breach of Trust - 2002,Criminal Breach of Trust - 2003,Criminal Breach of Trust - % Variation,Cheating - 2002,Cheating - 2003,Cheating - % Variation,Counterfeiting - 2002,Counterfeiting - 2003,Counterfeiting - % Variation,Arson - 2002,Arson - 2003,Arson - % Variation,Hurt - 2002,Hurt - 2003,Hurt - % Variation,Dowry Deaths - 2002,Dowry Deaths - 2003,Dowry Deaths - % Variation,Molestation - 2002,Molestation - 2003,Molestation - % Variation,Sexual Harassment - 2002,Sexual Harassment - 2003,Sexual Harassment - % Variation,Cruelty by Husband and Relatives - 2002,Cruelty by Husband and Relatives - 2003,Cruelty by Husband and Relatives - % Variation,Importation of Girls - 2002,Importation of Girls - 2003,Importation of Girls - % Variation,Causing Death by Negligence - 2002,Causing Death by Negligence - 2003,Causing Death by Negligence - % Variation,Other IPC Crimes - 2002,Other IPC Crimes - 2003,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2002,Total Cognizable Crimes Under IPC - 2003,Total Cognizable Crimes Under IPC - % Variation,Note of Attempt to Commit Murder - % Variation,Note of C.H. not Amounting to Murder - % Variation,Note of Rape Total - % Variation,Note of Importation of Girls - % Variation,Note of Causing Death by Negligence - % Variation,Note of Cruelty by Husband and Relatives - % Variation,Note of Rape Custodial - % Variation,Note of Rape Other - % Variation,Note of Kidnapping & Abduction of Women & Girls - % Variation,Note of Dacoity - % Variation,Note of Theft Auto Theft - % Variation,Note of Counterfeiting - % Variation,Note of Arson - % Variation,Note of Hurt - % Variation,Note of Dowry Deaths - % Variation,Note of Molestation - % Variation,Note of Sexual Harassment - % Variation
State,Andhra Pradesh,2525,2667,5.6,1644,1678,2.1,165,147,-10.9,1002,946,-5.6,0,0,0,1002,946,-5.6,1302,1485,14.1,854,931,9,448,554,23.7,197,176,-10.7,3,5,66.7,648,660,1.9,7628,9050,18.6,19222,23408,21.8,3544,4521,27.6,15678,18887,20.5,2140,2328,8.8,1050,1099,4.7,6733,7581,12.6,155,318,105.2,991,1049,5.9,39839,41545,4.3,449,466,3.8,3799,4128,8.7,2024,2286,12.9,7018,8167,16.4,0,5,NA,8691,8515,-2,36385,39242,7.9,143610,156951,9.3,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Arunachal Pradesh,61,77,26.2,38,20,-47.4,6,3,-50,38,31,-18.4,0,0,0,38,31,-18.4,57,68,19.3,38,51,34.2,19,17,-10.5,22,37,68.2,0,0,0,96,60,-37.5,249,253,1.6,395,370,-6.3,51,50,-2,344,320,-7,21,7,-66.7,23,28,21.7,29,21,-27.6,5,7,40,20,10,-50,401,427,6.5,0,0,0,68,43,-36.8,2,0,-100,13,14,7.7,0,0,0,0,0,0,684,585,-14.5,2228,2061,-7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Assam,1253,1191,-4.9,479,485,1.3,55,48,-12.7,970,1095,12.9,0,0,0,970,1095,12.9,1595,1628,2.1,1276,1351,5.9,319,277,-13.2,473,471,-0.4,18,26,44.4,607,523,-13.8,2504,2606,4.1,5555,5525,-0.5,496,406,-18.1,5059,5119,1.2,3014,3340,10.8,558,611,9.5,719,894,24.3,57,58,1.8,438,677,54.6,4764,4952,3.9,70,60,-14.3,984,878,-10.8,7,6,-14.3,1694,1808,6.7,0,0,0,1957,2086,6.6,8575,9227,7.6,36346,38195,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Bihar,3712,3771,1.6,3526,3540,0.4,396,298,-24.7,1040,985,-5.3,0,0,0,1040,985,-5.3,2361,2427,2.8,744,674,-9.4,1617,1753,8.4,1289,1221,-5.3,141,120,-14.9,2288,2463,7.6,3188,2986,-6.3,10145,10124,-0.2,1131,1357,20,9014,8767,-2.7,8675,8029,-7.4,1215,1105,-9.1,1811,1947,7.5,72,92,27.8,600,669,11.5,8770,8884,1.3,927,909,-1.9,621,688,10.8,6,11,83.3,1577,1880,19.2,38,37,-2.6,2497,2574,3.1,39145,37503,-4.2,94040,92263,-1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Chhattisgarh,844,776,-8.1,453,513,13.2,24,51,112.5,992,898,-9.5,0,0,0,992,898,-9.5,178,177,-0.6,154,149,-3.2,24,28,16.7,144,140,-2.8,6,14,133.3,326,331,1.5,3731,3621,-2.9,4302,4170,-3.1,889,922,3.7,3413,3248,-4.8,817,703,-14,96,76,-20.8,393,412,4.8,18,24,33.3,235,151,-35.7,4484,3653,-18.5,85,79,-7.1,1483,1481,-0.1,147,105,-28.6,653,601,-8,0,0,0,963,1158,20.2,17576,19315,9.9,37950,38449,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Goa,30,34,13.3,20,25,25,4,6,50,12,31,158.3,0,0,0,12,31,158.3,9,14,55.6,5,13,160,4,1,-75,5,5,0,0,0,0,24,21,-12.5,376,257,-31.6,496,464,-6.5,146,132,-9.6,350,332,-5.1,79,47,-40.5,27,60,122.2,78,106,35.9,3,3,0,25,18,-28,236,198,-16.1,2,2,0,18,19,5.6,6,7,16.7,8,24,200,0,0,0,202,164,-18.8,780,739,-5.3,2440,2244,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Gujarat,1532,1114,-27.3,759,478,-37,13,29,123.1,267,236,-11.6,0,0,0,267,236,-11.6,1015,1044,2.9,807,859,6.4,208,185,-11.1,804,338,-58,12,14,16.7,1098,1267,15.4,5327,5844,9.7,15742,19304,22.6,6195,7201,16.2,9547,12103,26.8,3665,1824,-50.2,1385,1873,35.2,1457,1975,35.6,46,275,497.8,1915,516,-73.1,13531,12611,-6.8,62,54,-12.9,750,722,-3.7,104,92,-11.5,3321,3684,10.9,0,0,0,3258,3536,8.5,50612,46879,-7.4,106675,103709,-2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Haryana,760,702,-7.6,487,446,-8.4,89,76,-14.6,361,353,-2.2,1,0,-100,360,353,-1.9,427,388,-9.1,290,271,-6.6,137,117,-14.6,61,63,3.3,162,190,17.3,330,281,-14.8,3048,2981,-2.2,5962,5591,-6.2,2955,3079,4.2,3007,2512,-16.5,700,639,-8.7,579,586,1.2,933,900,-3.5,32,30,-6.3,199,122,-38.7,4514,4153,-8,256,222,-13.3,454,344,-24.2,1424,1302,-8.6,1565,1618,3.4,0,0,0,955,971,1.7,16854,16654,-1.2,40152,38612,-3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Himachal Pradesh,123,125,1.6,86,74,-14,6,5,-16.7,137,126,-8,0,0,0,137,126,-8,138,113,-18.1,116,96,-17.2,22,17,-22.7,0,8,NA,1,0,-100,18,19,5.6,710,707,-0.4,564,627,11.2,142,218,53.5,422,409,-3.1,646,610,-5.6,75,63,-16,137,130,-5.1,0,3,NA,145,121,-16.6,1476,1385,-6.2,6,6,0,326,250,-23.3,12,18,50,234,221,-5.6,0,0,0,482,463,-3.9,6921,6937,0.2,12243,12011,-1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,@,NA,NA,NA,NA,NA
State,Jammu & Kashmir,1048,929,-11.4,1240,1216,-1.9,31,29,-6.5,192,211,9.9,0,0,0,192,211,9.9,674,712,5.6,596,615,3.2,78,97,24.4,42,23,-45.2,0,0,0,163,154,-5.5,1321,1526,15.5,2020,1949,-3.5,664,576,-13.3,1356,1373,1.3,996,1167,17.2,91,116,27.5,382,408,6.8,20,21,5,386,328,-15,366,310,-15.3,18,10,-44.4,785,875,11.5,368,376,2.2,54,71,31.5,0,0,0,380,378,-0.5,9390,10424,11,19967,21233,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
