States/ UTs,District,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Other,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto theft,Theft - Other theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes Under IPC
Andhra Pradesh,Adilabad,107,65,11,35,0,35,46,16,30,8,0,24,207,284,35,249,98,19,146,1,42,1194,11,141,39,238,0,248,1917,4881
Andhra Pradesh,Anantapur,173,115,9,19,0,19,60,45,15,4,0,17,190,358,90,268,144,33,84,10,40,1873,4,224,45,146,0,306,728,4582
Andhra Pradesh,Chittoor,109,80,1,36,0,36,90,34,56,5,0,18,304,901,142,759,66,47,292,22,27,1049,23,121,173,60,0,522,2678,6624
Andhra Pradesh,Cuddapah,95,7,4,10,0,10,37,28,9,4,0,9,109,199,33,166,74,17,65,8,35,815,5,104,31,60,0,267,1492,3447
Andhra Pradesh,Cyberabad,155,101,4,31,0,31,102,62,40,14,0,56,1041,1489,291,1198,49,67,691,8,45,1203,25,96,78,543,1,787,3719,10305
Andhra Pradesh,East Godavari,73,78,2,18,0,18,59,35,24,4,0,17,569,1162,178,984,79,83,252,21,71,2918,11,150,110,357,0,424,1158,7616
Andhra Pradesh,Guntakal Rly.,4,0,0,1,0,1,1,1,0,0,0,5,0,209,0,209,0,0,0,6,0,9,0,2,0,0,0,2,129,368
Andhra Pradesh,Guntur,210,84,2,46,0,46,95,77,18,16,0,28,316,1173,228,945,124,82,368,12,69,1633,22,228,99,399,0,411,2298,7715
Andhra Pradesh,Hyderabad City,124,132,5,57,0,57,155,64,91,18,1,91,1875,6574,2195,4379,231,158,2093,21,68,4595,42,165,296,1082,0,489,1980,20252
Andhra Pradesh,Karimnagar,153,105,11,88,0,88,89,67,22,12,1,43,261,460,18,442,180,46,376,10,48,2771,53,362,132,602,1,363,1542,7709
