Category,States/ UTs,Total Cognizable Crimes Under SLL - Male,Total Cognizable Crimes Under SLL - Female,Total Cognizable Crimes Under SLL - Total,Percentage of Female to Total
State,Andhra Pradesh,480261,6790,487051,1.4
State,Arunachal Pradesh,17,0,17,0
State,Assam,3439,273,3712,7.4
State,Bihar,12744,298,13042,2.3
State,Chhattisgarh,177560,31577,209137,15.1
State,Goa,3416,248,3664,6.8
State,Gujarat,161993,38289,200282,19.1
State,Haryana,32905,344,33249,1
State,Himachal Pradesh,4891,722,5613,12.9
State,Jammu & Kashmir,3520,115,3635,3.2
State,Jharkhand,3555,184,3739,4.9
State,Karnataka,33510,3150,36660,8.6
State,Kerala,52227,819,53046,1.5
State,Madhya Pradesh,207625,2251,209876,1.1
State,Maharashtra,208741,22365,231106,9.7
State,Manipur,727,53,780,6.8
State,Meghalaya,163,4,167,2.4
State,Mizoram,1226,308,1534,20.1
State,Nagaland,327,21,348,6
State,Orissa,14493,1114,15607,7.1
State,Punjab,28855,1100,29955,3.7
State,Rajasthan,44389,626,45015,1.4
State,Sikkim,34,5,39,12.8
State,Tamil Nadu,584458,71239,655697,10.9
State,Tripura,60,0,60,0
State,Uttar Pradesh,771851,1920,773771,0.2
State,Uttaranchal,53368,753,54121,1.4
State,West Bengal,1267850,4237,1272087,0.3
State,Total (States),4154205,188805,4343010,4.3
Union Territory,A & N Islands,5515,801,6316,12.7
Union Territory,Chandigarh,1319,53,1372,3.9
Union Territory,D & N Haveli,29,5,34,14.7
Union Territory,Daman & Diu,3,0,3,0
Union Territory,Delhi,23066,2742,25808,10.6
Union Territory,Lakshadweep,1,0,1,0
Union Territory,Pondicherry,1665,66,1731,3.8
Union Territory,Total (UTs),31598,3667,35265,10.4
Total (All-India),Total (All-India),4185803,192472,4378275,4.4
