Category,States/ UTs,Total No. of Cases Reported,Upto 10 Years - Male,Upto 10 Years - Female,10 - 15 Years - Male,10 - 15 Years - Female,15 - 18 Years - Male,15 - 18 Years - Female,18 - 30 Years - Male,18 - 30 Years - Female,30- 50 Years - Male,30- 50 Years - Female,Above 50 Years - Male,Above 50 Years - Female,Total - Male,Total - Female,- Grand Total
State,Andhra Pradesh,1485,16,10,34,84,48,181,298,518,139,138,19,0,554,931,1485
State,Arunachal Pradesh,68,0,0,1,8,0,0,16,43,0,0,0,0,17,51,68
State,Assam,1628,0,0,0,0,0,0,182,942,95,408,0,1,277,1351,1628
State,Bihar,2427,1,0,6,1,15,16,1151,597,583,13,52,0,1808,627,2435
State,Chhattisgarh,177,3,1,3,26,1,11,9,100,5,17,1,0,22,155,177
State,Goa,14,0,0,0,4,1,5,0,5,0,0,0,0,1,14,15
State,Gujarat,1044,10,10,7,77,6,158,127,514,63,60,12,4,225,823,1048
State,Haryana,388,1,1,1,6,2,81,79,182,35,10,2,0,120,280,400
State,Himachal Pradesh,113,2,0,1,3,2,15,11,57,11,9,2,1,29,85,114
State,Jammu & Kashmir,712,0,0,0,23,0,15,51,511,45,66,1,0,97,615,712
State,Jharkhand,487,1,2,1,2,1,1,71,96,37,30,0,0,111,131,242
State,Karnataka,531,43,5,24,38,16,101,74,128,68,24,13,1,238,297,535
State,Kerala,189,6,8,5,11,2,0,39,75,30,4,5,4,87,102,189
State,Madhya Pradesh,887,13,15,31,56,28,90,121,416,68,31,18,0,279,608,887
State,Maharashtra,926,22,27,18,86,14,215,131,296,117,24,4,1,306,649,955
State,Manipur,120,0,0,0,6,0,20,18,43,45,2,4,0,67,71,138
State,Meghalaya,49,2,0,1,2,0,3,8,2,29,2,0,0,40,9,49
State,Mizoram,8,0,0,0,3,0,0,3,0,3,0,0,0,6,3,9
State,Nagaland,38,0,0,0,0,0,0,37,2,45,0,5,0,87,2,89
State,Orissa,477,1,0,1,8,0,15,79,343,23,7,0,0,104,373,477
State,Punjab,464,7,4,5,16,7,35,94,279,46,7,5,0,164,341,505
State,Rajasthan,2238,1,2,4,10,2,27,331,1393,138,291,12,27,488,1750,2238
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,879,6,4,3,7,7,13,133,545,102,71,24,7,275,647,922
State,Tripura,146,0,0,0,0,0,0,63,13,33,20,9,8,105,41,146
State,Uttar Pradesh,2208,13,5,32,78,86,365,402,855,180,168,19,8,732,1479,2211
State,Uttaranchal,171,1,1,0,0,0,7,30,124,7,2,0,0,38,134,172
State,West Bengal,902,3,1,2,26,0,38,25,778,6,26,3,0,39,869,908
State,Total (States),18776,152,96,180,581,238,1412,3583,8857,1953,1430,210,62,6316,12438,18754
Union Territory,A & N Islands,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
Union Territory,Chandigarh,32,0,3,1,5,0,7,0,14,3,0,0,0,4,29,33
Union Territory,D & N Haveli,7,0,1,0,0,0,3,2,0,2,0,0,0,4,4,8
Union Territory,Daman & Diu,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Union Territory,Delhi,1156,74,41,33,79,15,96,213,439,46,160,6,2,387,817,1204
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,18,0,1,0,0,0,10,4,1,2,1,0,0,6,13,19
Union Territory,Total (UTs),1216,74,46,34,85,15,117,219,454,53,162,6,2,401,866,1267
Total (All-India),Total (All-India),19992,226,142,214,666,253,1529,3802,9311,2006,1592,216,64,6717,13304,20021
