Category,States/ UTs,Total No. of Persons Under Arrest* Including those from Previous Year,Number of - Persons Released Before Trial,Number of - Persons Charge Sheeted,Number of - Persons under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,495512,303,486943,8266,1.7,3.3
State,Arunachal Pradesh,69,20,25,24,34.8,0
State,Assam,12923,1561,2382,8980,69.5,3.6
State,Bihar,18529,1585,11461,5483,29.6,2.2
State,Chhattisgarh,210292,761,208889,642,0.3,0.3
State,Goa,3926,7,3596,323,8.2,0.1
State,Gujarat,217743,481,204552,12710,5.8,5.1
State,Haryana,35242,9,34595,638,1.8,0.3
State,Himachal Pradesh,6854,55,5424,1375,20.1,0.6
State,Jammu & Kashmir,3996,16,3726,254,6.4,0.1
State,Jharkhand,4587,130,3338,1119,24.4,0.5
State,Karnataka,39457,2451,34752,2254,5.7,0.9
State,Kerala,60813,1900,49998,8915,14.7,3.6
State,Madhya Pradesh,210238,1,209620,617,0.3,0.2
State,Maharashtra,288107,236,226317,61554,21.4,24.8
State,Manipur,1363,666,158,539,39.5,0.2
State,Meghalaya,491,39,70,382,77.8,0.2
State,Mizoram,1671,0,1532,139,8.3,0.1
State,Nagaland,1396,143,320,933,66.8,0.4
State,Orissa,16050,4,15582,464,2.9,0.2
State,Punjab,42837,307,28633,13897,32.4,5.6
State,Rajasthan,45200,25,45035,140,0.3,0.1
State,Sikkim,71,24,14,33,46.5,0
State,Tamil Nadu,716761,186533,443731,86497,12.1,34.8
State,Tripura,102,16,39,47,46.1,0
State,Uttar Pradesh,780964,1766,772575,6623,0.8,2.7
State,Uttaranchal,54533,117,54109,307,0.6,0.1
State,West Bengal,1291985,1565,1271812,18608,1.4,7.5
State,Total (States),4561712,200721,4119228,241763,5.3,97.2
Union Territory,A & N Islands,6613,0,5999,614,9.3,0.2
Union Territory,Chandigarh,1566,15,1397,154,9.8,0.1
Union Territory,D & N Haveli,62,0,43,19,30.6,0
Union Territory,Daman & Diu,3,0,3,0,0,0
Union Territory,Delhi,31460,98,25318,6044,19.2,2.4
Union Territory,Lakshadweep,2,0,1,1,50,0
Union Territory,Pondicherry,1766,0,1700,66,3.7,0
Union Territory,Total (UTs),41472,113,34461,6898,16.6,2.8
Total (All-India),Total (All-India),4603184,200834,4153689,248661,5.4,100
