Category,States/ UTs,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (Prevention) Act,Indian Railways Act,RegistRation of foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - for SCs,Protection of Civil Rights Act - for STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (P) Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev of Atrocities) Act - Total,SC/ST (Prev of Atrocities) Act - for SCs,SC/ST (Prev of Atrocities) Act - for STs,Forest Act,Other SLL Crimes,Total Cognizable Crimes Under SLL
State,Andhra Pradesh,6,9,26,8,69,1,29,0,0,0,0,0,0,1,0,0,0,0,83,3,0,0,0,0,0,596,831
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Bihar,13,0,0,6,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,26
State,Chhattisgarh,11,2,67,23,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,3,1,2,1,14,129
State,Goa,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
State,Gujarat,2,1,103,0,307,1,11,28,1,0,0,0,3,3,0,0,0,0,0,7,0,2,2,0,0,269,738
State,Haryana,57,16,179,234,0,1,3,4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,26,523
State,Himachal Pradesh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,3,1,56,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
State,Karnataka,0,0,40,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,58
State,Kerala,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,28,42
State,Madhya Pradesh,71,8,166,111,0,3,0,62,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,0,4,74,505
State,Maharashtra,8,1,144,0,206,1,1,0,0,0,0,0,4,1,0,0,0,4,0,0,0,1,1,0,0,114,485
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
State,Mizoram,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
State,Nagaland,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
State,Orissa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Punjab,4,1,10,2,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,3,31
State,Rajasthan,18,1,44,48,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,55,179
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,0,12,22,0,526,0,0,2,1,0,0,0,0,0,0,0,0,0,0,8,0,4,4,0,0,3427,4002
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
State,Uttaranchal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26
State,West Bengal,3,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,80
State,Total (States),200,57,860,486,1117,9,47,110,68,0,0,0,10,9,0,0,2,5,83,23,0,19,17,2,7,4691,7803
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,31,5,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Union Territory,Total (UTs),32,5,3,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64
Total (All-India),Total (All-India),232,62,863,508,1117,9,48,110,68,0,0,0,10,9,0,0,2,5,83,23,0,19,17,2,7,4692,7867
