Category,States/ UTs,2002,2003,Percentage Variation in 2003 Over 2002,Percentage Contribution to All-India during 2003
State,Andhra Pradesh,196661,204553,4,8.1
State,Arunachal Pradesh,2613,2446,-6.4,0.1
State,Assam,54588,63979,17.2,2.5
State,Bihar,214448,199132,-7.1,7.9
State,Chhattisgarh,52004,49923,-4,2
State,Goa,2734,2740,0.2,0.1
State,Gujarat,173200,141361,-18.4,5.6
State,Haryana,60867,57406,-5.7,2.3
State,Himachal Pradesh,18214,18091,-0.7,0.7
State,Jammu & Kashmir,24892,29183,17.2,1.2
State,Jharkhand,38827,37709,-2.9,1.5
State,Karnataka,156502,141444,-9.6,5.6
State,Kerala,148925,152429,2.4,6.1
State,Madhya Pradesh,317436,303605,-4.4,12.1
State,Maharashtra,267551,260231,-2.7,10.4
State,Manipur,1431,1502,5,0.1
State,Meghalaya,1544,1604,3.9,0.1
State,Mizoram,3292,3762,14.3,0.1
State,Nagaland,991,821,-17.2,0
State,Orissa,76676,79481,3.7,3.2
State,Punjab,45835,39705,-13.4,1.6
State,Rajasthan,188929,179807,-4.8,7.2
State,Sikkim,276,401,45.3,0
State,Tamil Nadu,217590,198431,-8.8,7.9
State,Tripura,4076,4754,16.6,0.2
State,Uttar Pradesh,261054,160015,-38.7,6.4
State,Uttaranchal,12799,12231,-4.4,0.5
State,West Bengal,97027,112850,16.3,4.5
State,Total (States),2640982,2459596,-6.9,98
Union Territory,A & N Islands,585,853,45.8,0
Union Territory,Chandigarh,2876,2762,-4,0.1
Union Territory,D & N Haveli,465,509,9.5,0
Union Territory,Daman & Diu,313,332,6.1,0
Union Territory,Delhi,44572,40855,-8.3,1.6
Union Territory,Lakshadweep,15,8,-46.7,0
Union Territory,Pondicherry,6735,5977,-11.3,0.2
Union Territory,Total (UTs),55561,51296,-7.7,2
Total (All-India),Total (All-India),2696543,2510892,-6.9,100
