Sr. No.,Crime Head,2003,2004,Percentage Variation in 2004 over 2003,Percentage Share of Arrestees under each Crime during 2004
1,Arms Act,76703,79154,3.2,1.7
2,Narcotic Drugs & Psychotropic Substances Act,31150,32004,2.7,0.7
3,Gambling Act,358122,379306,5.9,8.1
4,Excise Act,147094,151532,3,3.3
5,Prohibition Act,468513,395423,-15.6,8.5
6,Explosive & Explosive Substances Act,4837,5214,7.8,0.1
7,Immoral Traffic (P) Act,11101,11428,2.9,0.2
8,Indian Railways Act,41688,22869,-45.1,0.5
9,Registration of Foreigners Act,2580,1736,-32.7,0
10,Protection of Civil Rights Act - Total,831,558,-32.9,0
10,Protection of Civil Rights Act - i) PCR Act for SCs,768,551,-28.3,0
10,Protection of Civil Rights Act - ii) PCR Act for STs,63,7,-88.9,0
11,Indian Passport Act,1242,1169,-5.9,0
12,Essential Commodities Act,6140,6701,9.1,0.1
13,Terrorist & Disruptive Activities Act,71,75,5.6,0
14,Antiquity & Art Treasure Act,58,104,79.3,0
15,Dowry Prohibition Act,6287,6261,-0.4,0.1
16,Child Marriage Restraint Act,224,335,49.6,0
17,Indecent Representation of Women (P) Act,1066,1700,59.5,0
18,Copyrights Act,6750,8577,27.1,0.2
19,Sati Prevention Act,0,0,NA,NA
20,SC/ ST (Prevention of Atrocities) Act - Total,16087,17208,7,0.4
20,SC/ ST (Prevention of Atrocities) Act - i) Prevention of Atrocities Act for SCs,13983,15412,10.2,0.3
20,SC/ ST (Prevention of Atrocities) Act - ii) Prevention of Atrocities Act for STs,2104,1796,-14.6,0
21,Forest Act,6867,6977,1.6,0.1
22,Other SLL Crimes,3190864,3528598,10.6,75.8
Total Cognizable Crimes under SLL,Total Cognizable Crimes under SLL,4378275,4656929,6.4,100
