Sr. No.,Category,Crime Head,2000,2001,2002,2003,2004,Note of 2000
1,IPC Crimes,Murder,2.1,2.1,2.1,2,2,NA
2,IPC Crimes,Attempt to Commit Murder,2.4,2.5,2.6,2.5,2.4,NA
3,IPC Crimes,C.H. Not Amounting Murder,1.8,2,2,1.9,1.8,NA
4,IPC Crimes,Rape - Total,1.2,1.3,1.3,1.3,1.2,NA
4,IPC Crimes,Rape - i) Custodial Rape,NA,0,0,0,0.5,*
4,IPC Crimes,Rape - ii) Other Rape,NA,1.3,1.3,1.3,1.2,*
5,IPC Crimes,Kidnapping & Abduction - Total,1.3,1.4,1.4,1.3,1.3,NA
5,IPC Crimes,Kidnapping & Abduction - i) of Women & Girls,1.1,1.2,1.3,1.2,1.2,NA
5,IPC Crimes,Kidnapping & Abduction - ii) of Others,1.6,1.7,1.7,1.6,1.5,NA
6,IPC Crimes,Dacoity,3.4,4,3.8,3.6,3.8,NA
7,IPC Crimes,Preparation & Assembly for Dacoity,4.5,4.6,4.4,4.4,4.2,NA
8,IPC Crimes,Robbery,1.4,1.5,1.5,1.5,1.5,NA
9,IPC Crimes,Burglary,0.6,0.7,0.7,0.7,0.7,NA
10,IPC Crimes,Theft - Total,0.6,0.6,0.7,0.7,0.7,NA
10,IPC Crimes,Theft - i) Auto Theft,0.4,0.5,0.5,0.5,0.5,NA
10,IPC Crimes,Theft - ii) Other Theft,0.7,0.7,0.7,0.7,0.8,NA
11,IPC Crimes,Riots,5.4,5.2,5.4,5.7,5.6,NA
12,IPC Crimes,Criminal Breach of Trust,1,1.1,1.1,1.1,1.1,NA
13,IPC Crimes,Cheating,0.9,1,1,0.9,0.9,NA
14,IPC Crimes,Counterfeiting,0.9,1.2,1.5,1.1,1.6,NA
15,IPC Crimes,Arson,1.4,1.3,1.5,1.3,1.4,NA
16,IPC Crimes,Hurt,1.9,1.8,1.8,1.8,1.8,NA
17,IPC Crimes,Dowry Deaths,2.6,3,2.7,2.7,2.6,NA
18,IPC Crimes,Molestation,1.3,1.2,1.3,1.3,1.3,NA
19,IPC Crimes,Sexual Harassment,1.2,1.3,1.3,1.2,1.3,NA
20,IPC Crimes,Cruelty by Husband and Relatives,2.3,2.2,2.3,2.2,2.2,NA
21,IPC Crimes,Importation of Girls,2.4,1.9,1.3,1.2,0.8,NA
22,IPC Crimes,Causing Death by Negligence,NA,0.9,0.9,0.9,0.9,*
23,IPC Crimes,Other IPC Crimes,1.3,1.4,1.4,1.3,1.3,NA
IPC Crimes,IPC Crimes,Total Cognizable Crimes under IPC,1.5,1.5,1.5,1.5,1.5,NA
1,SLL Crimes,Arms Act,1.1,1.1,1.1,1.1,1.1,NA
2,SLL Crimes,Narcotic Drugs & Psychotropic Substances Act,1.1,1.1,1.1,1.1,1.2,NA
3,SLL Crimes,Gambling Act,2.1,2.1,2,2,2,NA
4,SLL Crimes,Excise Act,1.1,1.1,1.1,1.1,1,NA
5,SLL Crimes,Prohibition Act,1,1,1,1,1,NA
6,SLL Crimes,Explosive & Explosive Substances Act,1.3,1.3,1.2,1.3,1.2,NA
7,SLL Crimes,Immoral Traffic (P) Act,1.5,1.5,1.8,2,2,NA
8,SLL Crimes,Indian Railways Act,1.3,1.1,1.2,1,1.1,NA
9,SLL Crimes,Registration of Foreigners Act,1.8,1.9,2.3,2,1.5,NA
10,SLL Crimes,Protection of Civil Rights Act - Total,1.6,1.7,1.2,1.2,1.5,NA
10,SLL Crimes,Protection of Civil Rights Act - i) PCR Act for SCs,NA,1.7,1.2,1.2,1.5,*
10,SLL Crimes,Protection of Civil Rights Act - ii) PCR Act for STs,NA,1.1,0.5,1.7,0.6,*
11,SLL Crimes,Indian Passport Act,2,1.7,2.1,2.2,1.4,NA
12,SLL Crimes,Essential Commodities Act,1.3,1.5,1.4,1.5,1.4,NA
13,SLL Crimes,Terrorist & Disruptive Activities Act,3.6,0,2.2,0.8,1.1,NA
14,SLL Crimes,Antiquity & Art Treasure Act,1.3,1,1.7,1.6,1.2,NA
15,SLL Crimes,Dowry Prohibition Act,2.3,2.2,2.4,2.3,1.7,NA
16,SLL Crimes,Child Marriage Restraint Act,3.6,3.3,4.2,3.6,3.6,NA
17,SLL Crimes,Indecent Representation of Women (P) Act,3.6,0.7,1,1,1.2,NA
18,SLL Crimes,Copyrights Act,1.6,1.3,1.4,1.3,1.4,NA
19,SLL Crimes,Sati Prevention Act,0,0,0,0,0,NA
20,SLL Crimes,SC/ ST (Prevention of Atrocities) Act - Total,1.8,1.9,1.9,1.7,1.7,NA
20,SLL Crimes,SC/ ST (Prevention of Atrocities) Act - i) Prevention of Attrocities Act for SCs,NA,2,1.9,1.7,1.7,*
20,SLL Crimes,SC/ ST (Prevention of Atrocities) Act - ii) Prevention of Atrocities Act for STs,NA,1.6,1.6,1.6,1.5,*
21,SLL Crimes,Forest Act,2,1.9,1.9,1.9,1.8,NA
22,SLL Crimes,Other SLL Crimes,1.1,1.1,1.1,1.1,1.1,NA
SLL Crimes,SLL Crimes,Total Cognizable Crimes under SLL,1.2,1.2,1.1,1.2,1.1,NA
