Sr. No.,Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Trains - Number,Railways - Running Trains - Value,Railways - Other Railways - Number,Railways - Other Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,6249,1594.3,23,16.4,0,0,19,0.4,0,0,19,0.4,25,1.1,1083,298.7,1058,252.8,8457,2163.8
2,State,Arunachal Pradesh,94,28.9,1,0.6,0,0,0,0,0,0,0,0,0,0,44,13.4,76,24.5,215,67.5
3,State,Assam,1485,168.5,20,9.9,1,0.1,4,0.6,0,0,4,0.6,0,0,333,197.2,701,86,2544,462.2
4,State,Bihar,2246,176.1,13,0.4,0,0,46,29.5,3,0.5,43,29,0,0,117,24.1,753,18.4,3175,248.5
5,State,Chhattisgarh,2855,268.6,4,0.8,0,0,0,0,0,0,0,0,3,0,375,52.2,483,84.2,3720,405.8
6,State,Goa,129,99.7,0,0,0,0,0,0,0,0,0,0,1,0,72,30.9,59,12.3,261,142.9
7,State,Gujarat,3705,1453.7,1,0.1,0,0,0,0,0,0,0,0,15,0,1039,394.2,1068,265.8,5828,2113.8
8,State,Haryana,1894,474,0,0,0,0,2,0,0,0,2,0,26,2.7,478,105.6,386,88.4,2786,670.7
9,State,Himachal Pradesh,332,121.4,0,0,0,0,0,0,0,0,0,0,14,0.7,165,47.5,255,38.7,766,208.3
10,State,Jammu & Kashmir,904,221.8,5,2.5,0,0,0,0,0,0,0,0,8,0.2,260,49.5,243,73.8,1420,347.9
11,State,Jharkhand,1290,74.2,0,0,0,0,0,0,0,0,0,0,1,0,59,6.6,69,22.1,1419,102.9
12,State,Karnataka,3821,1000.8,0,0,0,0,5,0.3,0,0,5,0.3,26,5.2,1123,376.1,1118,360.1,6093,1742.5
13,State,Kerala,2379,901.1,4,0.4,0,0,3,0,0,0,3,0,69,14.4,825,277.7,1300,326.3,4580,1519.9
14,State,Madhya Pradesh,9524,1144.5,10,1.8,0,0,4,0.6,0,0,4,0.6,10,4.1,1336,197.5,1424,106.5,12308,1455.1
15,State,Maharashtra,8869,2951.7,39,11,0,0,1,0,0,0,1,0,78,29.1,3086,980.8,2586,1473.9,14659,5446.4
16,State,Manipur,16,5.1,0,0,0,0,0,0,0,0,0,0,0,0,44,21.3,6,1.2,66,27.6
17,State,Meghalaya,112,9.1,0,0,0,0,0,0,0,0,0,0,0,0,29,10.4,1,0.5,142,19.9
18,State,Mizoram,120,5.8,0,0,0,0,0,0,0,0,0,0,0,0,30,0.8,100,1,250,7.6
19,State,Nagaland,44,10.3,0,0,0,0,0,0,0,0,0,0,0,0,11,1.2,15,1,70,12.5
20,State,Orissa,1928,341.1,1,2,0,0,1,0,0,0,1,0,9,10.7,442,73.7,611,100.6,2992,528.1
21,State,Punjab,879,424.6,0,0,0,0,0,0,0,0,0,0,28,9.3,450,279.3,409,203.1,1766,916.2
22,State,Rajasthan,3405,652.8,0,0,0,0,1,0,0,0,1,0,11,1,1364,324.6,1130,111.5,5911,1089.9
23,State,Sikkim,38,6.5,0,0,0,0,0,0,0,0,0,0,0,0,14,3,12,1,64,10.5
24,State,Tamil Nadu,2763,764.6,4,0.4,0,0,4,0.2,0,0,4,0.2,5,0.6,569,352.3,802,130.4,4147,1248.4
25,State,Tripura,132,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34.7,166,49.2
26,State,Uttar Pradesh,3878,1248.4,17,1.8,0,0,1,0.1,0,0,1,0.1,0,0,327,89.6,1076,393.5,5299,1733.3
27,State,Uttarakhand,339,100.6,0,0,0,0,0,0,0,0,0,0,0,0,136,20.6,91,25.5,566,146.7
28,State,West Bengal,341,73.6,0,0,0,0,0,0,0,0,0,0,0,0,31,10.9,175,37.6,547,122
State,State,Total (States),59771,14336.2,142,47.8,1,0.1,91,31.8,3,0.5,88,31.2,329,79.2,13842,4239.7,16041,4275.4,90217,23010.1
29,Union Territory,A & N Islands,47,22,0,0,1,0.8,0,0,0,0,0,0,1,0,15,6.2,5,3.2,69,32.1
30,Union Territory,Chandigarh,122,71.8,0,0,0,0,0,0,0,0,0,0,1,0,62,42.5,1,0.1,186,114.4
31,Union Territory,D & N Haveli,7,4.1,0,0,0,0,0,0,0,0,0,0,1,3.2,9,2.9,3,0.3,20,10.4
32,Union Territory,Daman & Diu,13,4.9,0,0,0,0,0,0,0,0,0,0,1,0,21,20,0,0,35,24.9
33,Union Territory,Delhi,1301,952.3,0,0,0,0,3,0.1,0,0,3,0.1,0,0,293,196.9,278,182.7,1875,1332
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
35,Union Territory,Puducherry,56,19.7,0,0,0,0,0,0,0,0,0,0,0,0,21,7.3,9,1.3,86,28.3
Union Territory,Union Territory,Total (UTs),1546,1074.8,0,0,1,0.8,3,0.1,0,0,3,0.1,4,3.2,421,275.7,298,187.5,2273,1542
Total (All-India),Total (All-India),Total (All-India),61317,15411,142,47.8,2,0.9,94,31.8,3,0.5,91,31.3,333,82.3,14263,4515.4,16339,4462.9,92490,24552.1
36,City,Agra,148,37.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4.5,168,41.6
37,City,Ahmedabad,471,269.1,0,0,0,0,0,0,0,0,0,0,3,0,221,130.2,236,90.1,931,489.4
38,City,Allahabad,68,46.3,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,29,1.8,100,48.6
39,City,Amritsar,102,38.5,0,0,0,0,0,0,0,0,0,0,2,0,5,13.1,6,10.7,115,62.3
40,City,Asansol,10,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.3,19,0.8
41,City,Bangalore,1316,478.2,0,0,0,0,0,0,0,0,0,0,2,0,326,171.3,230,132.3,1874,781.9
42,City,Bhopal,800,108.4,0,0,0,0,0,0,0,0,0,0,0,0,82,17.9,0,0,882,126.4
43,City,Chennai,323,169.8,0,0,0,0,0,0,0,0,0,0,2,0.6,45,61.2,60,4.8,430,236.4
44,City,Coimbatore,101,23.5,0,0,0,0,0,0,0,0,0,0,0,0,41,26.3,6,0.2,148,50
45,City,Delhi (City),1099,804.4,0,0,0,0,3,0.1,0,0,3,0.1,0,0,268,180.1,216,142.1,1586,1126.7
46,City,Dhanbad,79,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,80,16.3
47,City,Faridabad,96,20.1,0,0,0,0,0,0,0,0,0,0,2,0.4,69,10.8,16,2.7,183,33.9
48,City,Hyderabad,1060,616.4,0,0,0,0,0,0,0,0,0,0,0,0,294,93.9,5,3.1,1359,713.4
49,City,Indore,581,119.2,0,0,0,0,0,0,0,0,0,0,0,0,104,11.3,42,6.7,727,137.2
50,City,Jabalpur,434,86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,86.5
51,City,Jaipur,444,92.9,0,0,0,0,0,0,0,0,0,0,1,0,208,66.3,42,13.3,695,172.5
52,City,Jamshedpur,131,30.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,30.2
53,City,Kanpur,144,141.7,0,0,0,0,0,0,0,0,0,0,0,0,17,4.9,0,0,161,146.6
54,City,Kochi,201,189.4,0,0,0,0,0,0,0,0,0,0,0,0,49,10.5,57,25.9,307,225.9
55,City,Kolkata,84,48.7,0,0,0,0,0,0,0,0,0,0,0,0,15,8.6,41,23.8,140,81.1
56,City,Lucknow,381,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,11.2,432,67.2
57,City,Ludhiana,72,26.5,0,0,0,0,0,0,0,0,0,0,2,0,58,28.1,8,1,140,55.6
58,City,Madurai,36,31.7,0,0,0,0,0,0,0,0,0,0,0,0,24,2.4,19,4.6,79,38.8
59,City,Meerut,84,19,0,0,0,0,0,0,0,0,0,0,0,0,18,6.3,2,0.1,104,25.3
60,City,Mumbai,1438,1345,0,0,0,0,0,0,0,0,0,0,3,0.7,957,129.6,580,960.8,2978,2436.1
61,City,Nagpur,796,175.3,0,0,0,0,0,0,0,0,0,0,7,0.1,231,86.1,73,2.1,1107,263.6
62,City,Nasik,217,80.5,0,0,0,0,0,0,0,0,0,0,0,0,59,20.4,74,18.1,350,118.9
63,City,Patna,135,0.9,0,0,0,0,0,0,0,0,0,0,0,0,21,2,354,1.3,510,4.2
64,City,Pune,562,154.7,0,0,0,0,0,0,0,0,0,0,4,2,237,145.3,40,4.2,843,306.1
65,City,Rajkot,202,48.7,0,0,0,0,0,0,0,0,0,0,1,0,83,62.1,46,23.1,332,134
66,City,Surat,242,213.6,0,0,0,0,0,0,0,0,0,0,1,0,9,1.6,65,9.7,317,224.9
67,City,Vadodara,416,263.7,0,0,0,0,0,0,0,0,0,0,2,0,45,21.4,25,8.4,488,293.6
68,City,Varanasi,55,7.9,0,0,0,0,0,0,0,0,0,0,0,0,8,0.1,25,4.6,88,12.6
69,City,Vijayawada,305,55.5,3,0.1,0,0,0,0,0,0,0,0,3,0.5,115,19.3,129,33.5,555,108.8
70,City,Vishakhapatnam,209,33.3,0,0,0,0,0,0,0,0,0,0,0,0,104,14.9,20,5.5,333,53.6
