Sr. No.,Category,States/ UTs/ Cities,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India Total,Population (In Lakhs)**,Rate of Total Cognizable Crimes,Rank of * Criminality
1,State,Andhra Pradesh,452858,10.8,788.5,574.3,6
2,State,Arunachal Pradesh,101,0,11.4,8.8,30
3,State,Assam,2987,0.1,282.1,10.6,27
4,State,Bihar,9213,0.2,883.1,10.4,29
5,State,Chhattisgarh,143472,3.4,221.5,647.6,5
6,State,Goa,4770,0.1,14.7,325.6,8
7,State,Gujarat,167644,4,534.6,313.6,9
8,State,Haryana,25167,0.6,224.2,112.3,15
9,State,Himachal Pradesh,4703,0.1,63.2,74.5,19
10,State,Jammu & Kashmir,2638,0.1,110.4,23.9,24
11,State,Jharkhand,1729,0,284.5,6.1,32
12,State,Karnataka,15378,0.4,550.4,27.9,22
13,State,Kerala,52110,1.2,329.8,158,13
14,State,Madhya Pradesh,201118,4.8,646.7,311,10
15,State,Maharashtra,169317,4,1017.5,166.4,11
16,State,Manipur,452,0,25.1,18,26
17,State,Meghalaya,125,0,24.2,5.2,34
18,State,Mizoram,776,0,9.4,82.9,18
19,State,Nagaland,482,0,21,23,25
20,State,Orissa,13775,0.3,382.9,36,21
21,State,Punjab,24294,0.6,254.4,95.5,17
22,State,Rajasthan,31302,0.7,605.1,51.7,20
23,State,Sikkim,156,0,5.7,27.5,23
24,State,Tamil Nadu,636211,15.2,642.3,990.5,3
25,State,Tripura,110,0,33.4,3.3,35
26,State,Uttar Pradesh,857586,20.4,1779.4,481.9,7
27,State,Uttarakhand,65390,1.6,89.7,728.7,4
28,State,West Bengal,1278298,30.5,839.5,1522.6,2
State,State,Total (States),4162162,99.2,10674.76,389.9,NA
29,Union Territory,A & N Islands,7028,0.2,3.8,1854.4,1
30,Union Territory,Chandigarh,1030,0,9.8,105.5,16
31,Union Territory,D & N Haveli,25,0,2.4,10.5,28
32,Union Territory,Daman & Diu,10,0,1.7,5.8,33
33,Union Territory,Delhi,25136,0.6,152.8,164.5,12
34,Union Territory,Lakshadweep,5,0,0.6,7.8,31
35,Union Territory,Puducherry,1370,0,10.2,134.7,14
Union Territory,Union Territory,Total (UTs),34604,0.8,181.24,190.9,NA
Total (All-India),Total (All-India),Total (All-India),4196766,100,10856,386.6,NA
36,City,Agra,27581,1.5,13.2,2087.9,5
37,City,Ahmedabad,11458,0.6,45.2,253.6,19
38,City,Allahabad,9286,0.5,10.5,884.4,11
39,City,Amritsar,1235,0.1,10.1,122.2,28
40,City,Asansol,88,0,10.9,8.1,35
41,City,Bangalore,2460,0.1,56.9,43.3,30
42,City,Bhopal,2985,0.2,14.6,205.2,23
43,City,Chennai,83957,4.5,64.3,1306.7,9
44,City,Coimbatore,6060,0.3,14.5,419.1,15
45,City,Delhi (City),23611,1.3,127.9,184.6,25
46,City,Dhanbad,147,0,10.6,13.8,33
47,City,Faridabad,3033,0.2,10.6,287.5,17
48,City,Hyderabad,51528,2.7,55.3,931.1,10
49,City,Indore,3581,0.2,16.4,218.5,22
50,City,Jabalpur,7332,0.4,11.2,656.4,13
51,City,Jaipur,2937,0.2,23.2,126.4,27
52,City,Jamshedpur,152,0,11,13.8,34
53,City,Kanpur,102886,5.5,26.9,3824.8,3
54,City,Kochi,3178,0.2,13.6,234.5,21
55,City,Kolkata,1272013,67.6,132.2,9624.1,1
56,City,Lucknow,45228,2.4,22.7,1995.1,6
57,City,Ludhiana,992,0.1,14,71.1,29
58,City,Madurai,31644,1.7,12,2648,4
59,City,Meerut,15601,0.8,11.7,1336.8,8
60,City,Mumbai,6345,0.3,163.7,38.8,31
61,City,Nagpur,5590,0.3,21.2,263.3,18
62,City,Nasik,1595,0.1,11.5,138.5,26
63,City,Patna,564,0,17.1,33,32
64,City,Pune,7285,0.4,37.6,194,24
65,City,Rajkot,2474,0.1,10,246.9,20
66,City,Surat,23601,1.3,28.1,839.6,12
67,City,Vadodara,7995,0.4,14.9,535.9,14
68,City,Varanasi,19674,1,12.1,1623.3,7
69,City,Vijayawada,91637,4.9,10.1,9064,2
70,City,Vishakhapatnam,5191,0.3,13.3,390.6,16
Total (Cities),Total (Cities),Total (Cities),1880924,100,1078.8,1743.5,NA
