Sr. No.,Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Trains - Number,Railways - Running Trains - Value,Railways - Other Railways - Number,Railways - Other Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,257,86.3,126,55.3,2,0.1,21,0.4,1,0.1,20,0.2,0,0,18,7.4,172,77.3,596,226.7
2,State,Arunachal Pradesh,12,1.6,4,4.8,0,0,0,0,0,0,0,0,0,0,7,1.5,22,1.6,45,9.5
3,State,Assam,131,24,123,33.3,0,0,6,1.3,3,0.5,3,0.8,0,0,81,23.5,164,44.2,505,126.2
4,State,Bihar,282,60.6,1396,558.9,0,0,79,22.2,44,12.3,35,9.9,25,91.2,120,20.5,1084,244.4,2986,997.9
5,State,Chhattisgarh,59,9.8,33,14.6,0,0,13,0.3,0,0,13,0.3,1,0.1,10,0.9,247,48.1,363,73.7
6,State,Goa,6,2.4,1,5.4,2,0.1,0,0,0,0,0,0,1,1.2,3,0.8,5,1,18,11
7,State,Gujarat,227,88.3,114,289,0,0,109,13.8,109,13.8,0,0,3,7,83,108.7,600,512.9,1136,1019.7
8,State,Haryana,35,19.7,41,85.9,4,7.2,3,0.5,1,0,2,0.5,4,5.1,33,32.5,124,230,244,380.9
9,State,Himachal Pradesh,6,2.3,2,9.3,0,0,0,0,0,0,0,0,1,0,1,0.1,15,6.9,25,18.7
10,State,Jammu & Kashmir,32,13.1,1,0.5,0,0,0,0,0,0,0,0,3,7.1,2,1.9,91,63.8,129,86.5
11,State,Jharkhand,367,55.9,230,90.2,0,0,33,0,16,0,17,0,18,28.6,17,24.9,115,126.6,780,326.2
12,State,Karnataka,178,93.8,40,131.8,0,0,6,0.6,6,0.6,0,0,6,13.9,38,26,756,236.7,1024,502.8
13,State,Kerala,161,48.5,43,32.3,0,0,8,3.8,2,0.2,6,3.6,16,1.7,45,3.6,366,91.2,639,181.1
14,State,Madhya Pradesh,171,62.2,200,194.5,1,0.1,45,9.2,21,5.1,24,4.1,2,1,40,12,1067,438.8,1526,717.7
15,State,Maharashtra,346,121.5,269,309.7,0,0,47,10.2,24,8.9,23,1.2,1,6.5,143,254.6,1423,975.7,2229,1678.2
16,State,Manipur,0,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,3,2
17,State,Meghalaya,13,3.3,17,2.5,0,0,0,0,0,0,0,0,0,0,40,2.6,11,0.4,81,8.7
18,State,Mizoram,3,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,6,0.3
19,State,Nagaland,48,2.7,5,0.9,0,0,0,0,0,0,0,0,0,0,27,21.5,37,1.9,117,27.1
20,State,Orissa,145,41.6,210,39.3,0,0,14,7.6,5,2.8,9,4.8,0,0,81,16.8,502,139.8,952,245.1
21,State,Punjab,6,15.3,6,14.8,0,0,1,7.4,0,0,1,7.4,5,24.8,7,7.1,61,115.3,86,184.7
22,State,Rajasthan,26,5.3,87,154.3,0,0,3,0.1,3,0.1,0,0,3,6.4,13,12.3,541,220.7,673,399.2
23,State,Sikkim,2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,5,1.3
24,State,Tamil Nadu,157,70.9,35,43.8,0,0,8,1,2,0.7,6,0.4,4,2,29,11.5,231,78.4,464,207.6
25,State,Tripura,29,4.5,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,15,3.5,46,8.2
26,State,Uttar Pradesh,294,551.6,1312,931.4,3,2,40,10.4,25,6,15,4.4,6,10.7,55,13.1,896,347.4,2606,1866.6
27,State,Uttarakhand,28,8.9,54,36.3,0,0,0,0,0,0,0,0,1,4,2,0.4,80,14.5,165,64.1
28,State,West Bengal,102,40.7,55,46.7,0,0,24,2.1,21,1.6,3,0.5,2,8.9,66,27.7,286,116.7,535,242.9
State,State,Total (States),3123,1436.3,4408,3087,12,9.4,460,90.9,283,52.8,177,38.1,102,220.3,961,631.9,8918,4138.7,17984,9614.5
29,Union Territory,A & N Islands,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,3,0.6
30,Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.1,6,2.1
31,Union Territory,D & N Haveli,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2,0,0,2,4.2
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
33,Union Territory,Delhi,95,92.8,6,1.5,0,0,4,0.3,0,0,4,0.3,0,0,38,20.2,318,4362.8,461,4477.6
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Union Territory,Union Territory,Total (UTs),97,95.9,6,1.5,0,0,4,0.3,0,0,4,0.3,0,0,41,22.8,326,4365,474,4485.6
Total (All-India),Total (All-India),Total (All-India),3220,1532.2,4414,3088.5,12,9.4,464,91.2,283,52.8,181,38.4,102,220.3,1002,654.8,9244,8503.7,18458,14100.1
36,City,Agra,13,3.3,21,14.8,0,0,0,0,0,0,0,0,0,0,0,0,16,3,50,21.1
37,City,Ahmedabad,32,6.1,9,1.7,0,0,0,0,0,0,0,0,0,0,43,21.5,187,35.6,271,64.9
38,City,Allahabad,1,0.2,10,42.2,0,0,0,0,0,0,0,0,0,0,0,0,10,1.5,21,43.9
39,City,Amritsar,2,3.4,1,1,0,0,0,0,0,0,0,0,1,17,0,0,2,2.8,6,24.1
40,City,Asansol,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.1,4,0.2,7,0.3
41,City,Bangalore,65,53.2,5,4.2,0,0,0,0,0,0,0,0,1,0.1,11,11.5,373,44.1,455,113.1
42,City,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,13.1,96,13.1
43,City,Chennai,18,19.4,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9,26,4.4,47,24.7
44,City,Coimbatore,6,1.4,0,0,0,0,0,0,0,0,0,0,0,0,6,3.5,5,2,17,6.9
45,City,Delhi (City),82,80.1,6,1.5,0,0,4,0.3,0,0,4,0.3,0,0,34,18,277,3814.3,403,3914.2
46,City,Dhanbad,4,1.9,20,7.5,0,0,0,0,0,0,0,0,0,0,2,1,1,0.3,27,10.6
47,City,Faridabad,1,0.3,2,0.6,0,0,0,0,0,0,0,0,0,0,2,12.4,3,3.9,8,17.2
48,City,Hyderabad,12,17.7,0,0,0,0,0,0,0,0,0,0,0,0,7,2.1,52,48.5,71,68.3
49,City,Indore,61,11.6,22,0.7,0,0,0,0,0,0,0,0,0,0,6,2.5,11,2.7,100,17.4
50,City,Jabalpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,38.4,71,38.4
51,City,Jaipur,4,1.8,0,0,0,0,0,0,0,0,0,0,0,0,5,6.5,33,14.5,42,22.7
52,City,Jamshedpur,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2
53,City,Kanpur,15,3.2,5,17.2,0,0,0,0,0,0,0,0,0,0,1,0.3,41,40.8,62,61.4
54,City,Kochi,21,1.8,0,0,0,0,0,0,0,0,0,0,0,0,16,1.7,19,2.1,56,5.7
55,City,Kolkata,14,10,0,0,0,0,0,0,0,0,0,0,0,0,12,8.6,91,64.9,117,83.5
56,City,Lucknow,12,1.4,39,16.4,0,0,0,0,0,0,0,0,1,3.4,0,0,37,11,89,32.2
57,City,Ludhiana,3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5,4,8.9,8,13.9
58,City,Madurai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8.8,18,8.8
59,City,Meerut,17,7,30,23.9,0,0,0,0,0,0,0,0,0,0,2,1.2,15,4.2,64,36.3
60,City,Mumbai,29,39.2,12,40.4,0,0,0,0,0,0,0,0,1,6.5,38,165.5,222,585.8,302,837.4
61,City,Nagpur,13,2.7,0,0,0,0,0,0,0,0,0,0,0,0,14,3.8,151,45.8,178,52.3
62,City,Nasik,1,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4.1,17,4.3
