Sr. No.,Category,States/ UTs,Total Cognizable Crimes under IPC - Male,Total Cognizable Crimes under IPC - Female,Total Cognizable Crimes under IPC - Total,Percentage of Females to Total
1,State,Andhra Pradesh,198738,16025,214763,7.5
2,State,Arunachal Pradesh,2740,48,2788,1.7
3,State,Assam,64900,1862,66762,2.8
4,State,Bihar,218140,2526,220666,1.1
5,State,Chhattisgarh,53868,2691,56559,4.8
6,State,Goa,2180,196,2376,8.2
7,State,Gujarat,130579,12287,142866,8.6
8,State,Haryana,51906,2640,54546,4.8
9,State,Himachal Pradesh,15946,2222,18168,12.2
10,State,Jammu & Kashmir,25854,2434,28288,8.6
11,State,Jharkhand,35659,2050,37709,5.4
12,State,Karnataka,130666,9119,139785,6.5
13,State,Kerala,146718,5375,152093,3.5
14,State,Madhya Pradesh,306715,15363,322078,4.8
15,State,Maharashtra,245977,23735,269712,8.8
16,State,Manipur,1461,105,1566,6.7
17,State,Meghalaya,1489,12,1501,0.8
18,State,Mizoram,1176,248,1424,17.4
19,State,Nagaland,800,16,816,2
20,State,Orissa,73658,3400,77058,4.4
21,State,Punjab,34244,2730,36974,7.4
22,State,Rajasthan,180845,13702,194547,7
23,State,Sikkim,859,55,914,6
24,State,Tamil Nadu,190305,15697,206002,7.6
25,State,Tripura,3874,338,4212,8
26,State,Uttar Pradesh,213622,5691,219313,2.6
27,State,Uttarakhand,13987,631,14618,4.3
28,State,West Bengal,104202,10326,114528,9
State,State,Total (States),2451108,151524,2602632,5.8
29,Union Territory,A & N Islands,754,74,828,8.9
30,Union Territory,Chandigarh,2375,76,2451,3.1
31,Union Territory,D & N Haveli,623,34,657,5.2
32,Union Territory,Daman & Diu,287,7,294,2.4
33,Union Territory,Delhi,45919,1983,47902,4.1
34,Union Territory,Lakshadweep,31,0,31,0
35,Union Territory,Puducherry,5844,271,6115,4.4
Union Territory,Union Territory,Total (UTs),55833,2445,58278,4.2
Total (All-India),Total (All-India),Total (All-India),2506941,153969,2660910,5.8
