Sr. No.,Category,States/ UTs,Total Cognizable Crimes under SLL - Male,Total Cognizable Crimes under SLL - Female,Total Cognizable Crimes under SLL - Total,Percentage of Females to Total
1,State,Andhra Pradesh,462409,8268,470677,1.8
2,State,Arunachal Pradesh,80,0,80,0
3,State,Assam,2982,71,3053,2.3
4,State,Bihar,13743,250,13993,1.8
5,State,Chhattisgarh,151948,6613,158561,4.2
6,State,Goa,4945,267,5212,5.1
7,State,Gujarat,170816,43012,213828,20.1
8,State,Haryana,30002,343,30345,1.1
9,State,Himachal Pradesh,4944,607,5551,10.9
10,State,Jammu & Kashmir,2733,51,2784,1.8
11,State,Jharkhand,3555,184,3739,4.9
12,State,Karnataka,32951,3027,35978,8.4
13,State,Kerala,68052,952,69004,1.4
14,State,Madhya Pradesh,241087,1970,243057,0.8
15,State,Maharashtra,192653,21043,213696,9.8
16,State,Manipur,618,62,680,9.1
17,State,Meghalaya,170,3,173,1.7
18,State,Mizoram,602,146,748,19.5
19,State,Nagaland,403,20,423,4.7
20,State,Orissa,16767,1027,17794,5.8
21,State,Punjab,26383,1109,27492,4
22,State,Rajasthan,42705,668,43373,1.5
23,State,Sikkim,49,0,49,0
24,State,Tamil Nadu,608979,47412,656391,7.2
25,State,Tripura,105,0,105,0
26,State,Uttar Pradesh,890094,2646,892740,0.3
27,State,Uttarakhand,67163,229,67392,0.3
28,State,West Bengal,1433951,5624,1439575,0.4
State,State,Total (States),4470889,145604,4616493,3.2
29,Union Territory,A & N Islands,6556,842,7398,11.4
30,Union Territory,Chandigarh,1282,52,1334,3.9
31,Union Territory,D & N Haveli,36,3,39,7.7
32,Union Territory,Daman & Diu,25,3,28,10.7
33,Union Territory,Delhi,26962,2892,29854,9.7
34,Union Territory,Lakshadweep,2,0,2,0
35,Union Territory,Puducherry,1769,12,1781,0.7
Union Territory,Union Territory,Total (UTs),36632,3804,40436,9.4
Total (All-India),Total (All-India),Total (All-India),4507521,149408,4656929,3.2
