Sr. No.,Category,States/ UTs,Number of Cases in which Property was - Stolen,Number of Cases in which Property was - Recovered,Value of Property (Rs. In Lakh) - Stolen,Value of Property (Rs. In Lakh) - Recovered
1,State,Andhra Pradesh,141,83,15.7,7.7
2,State,Arunachal Pradesh,2,1,0.5,0.3
3,State,Assam,194,29,6.1,1.9
4,State,Bihar,1996,16,200.7,28.6
5,State,Chhattisgarh,3,1,2.4,2
6,State,Goa,2,0,0.4,0
7,State,Gujarat,1,0,0,0
8,State,Haryana,26,21,4.2,3.8
9,State,Himachal Pradesh,9,1,6,2
10,State,Jammu & Kashmir,0,0,0,0
11,State,Jharkhand,12,3,0.3,0.1
12,State,Karnataka,19,10,1.6,0.9
13,State,Kerala,10,4,4.2,2.6
14,State,Madhya Pradesh,111,47,8.6,4
15,State,Maharashtra,7,5,3.1,2.9
16,State,Manipur,2,1,0,0
17,State,Meghalaya,2,0,0.3,0
18,State,Mizoram,0,0,0,0
19,State,Nagaland,0,0,0,0
20,State,Orissa,0,0,0,0
21,State,Punjab,20,7,3.5,0.7
22,State,Rajasthan,51,18,22,20.5
23,State,Sikkim,0,0,0,0
24,State,Tamil Nadu,44,28,163.7,160.2
25,State,Tripura,0,0,0,0
26,State,Uttar Pradesh,13,4,130.4,126.9
27,State,Uttarakhand,3,0,0.3,0
28,State,West Bengal,242,34,17.3,3.1
State,State,Total (States),2910,313,591.5,368
29,Union Territory,A & N Islands,1,0,0,0
30,Union Territory,Chandigarh,1,1,0,0
31,Union Territory,D & N Haveli,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0
33,Union Territory,Delhi,1,1,0,0
34,Union Territory,Lakshadweep,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0
Union Territory,Union Territory,Total (UTs),3,2,0,0
Total (All-India),Total (All-India),Total (All-India),2913,315,591.5,368
