Category (Col. 1),States/ UTs (Col. 2),Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub. Act,I.T.P. Act,Indian Railways Act,Registration of Foreigners Act,P.C.R. Act - Total,P.C.R. Act - For SCs,P.C.R. Act - For STs,Indian Passport Act,Essential Commodities,TADA,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copyright Act,Sati Prevention Act,SC/ ST (P) of Atrocities Act NA Total,SC/ ST (P) of Atrocities Act NA For SCs,SC/ ST (P) of Atrocities Act NA For STs,Forest Act,Other SLL Crimes,Total Cog. Crimes under SLL
State,Andhra Pradesh,35.8,13.3,96.9,20.3,28.6,7.9,36.7,36.4,0,15.1,15.6,0,2.7,18.2,NA,12.5,15,0,92.6,24,NA,10.4,10,16.4,50,97.9,96.3
State,Arunachal Pradesh,50,NA,NA,NA,NA,33.3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,44.4
State,Assam,24.9,52.8,20.9,46.4,22.2,23.7,30,50,NA,0,NA,0,66.7,22.7,5.1,NA,14.1,NA,33.3,28.6,NA,NA,NA,NA,42.9,36.1,34
State,Bihar,28.6,38.6,53.7,37.6,NA,14.3,71.4,93.1,0,18.6,18.6,NA,NA,24.1,NA,NA,16.4,0,NA,0,NA,17.1,17.3,0,22.7,23,27.9
State,Chhattisgarh,35.6,51.2,90.5,85.5,NA,89.4,NA,100,NA,NA,NA,NA,NA,35.7,NA,NA,27.3,100,NA,56.4,NA,22.6,24.8,20,50,99.8,97.6
State,Goa,0,75,58.3,NA,NA,0,90.5,NA,94.7,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,99.2,90.3
State,Gujarat,7.6,39.8,26.3,NA,7.6,40.6,0,93.3,0,8.3,8.3,NA,66.7,15.2,NA,NA,0,69.2,0,0,NA,3.8,3,5.8,NA,61.1,25.7
State,Haryana,48.5,40.6,80.5,50.3,NA,12.5,6.7,85.8,33.3,NA,NA,NA,0,17.2,NA,NA,0,NA,NA,26.9,NA,10.5,0,100,NA,30.5,56.4
State,Himachal Pradesh,11.1,34.9,20.7,15.5,NA,0,50,0,77.8,0,0,NA,NA,0,NA,NA,0,0,NA,0,NA,5.6,5.9,0,6.2,22.7,16.6
State,Jammu & Kashmir,0.6,5.5,74,59.4,NA,16.7,0,NA,80,100,100,NA,70,0.7,0,NA,NA,NA,NA,33.3,NA,NA,NA,NA,0,24.3,20.1
State,Jharkhand,44.8,68.3,69.2,36.3,50,26.2,50,NA,NA,NA,NA,NA,NA,15.6,36.4,NA,25.9,NA,NA,40,NA,21.8,23.7,17.6,40.6,21.6,38.9
State,Karnataka,9.5,9.8,82.8,33.8,NA,5,90.9,30.8,84.6,1,1,0,25,3.7,0,0,3.7,0,NA,1.7,NA,2.5,2.7,1.1,9.6,54.7,62.8
State,Kerala,19,61.7,94.3,NA,43.5,16.9,79.5,0,0,NA,NA,NA,11.1,20.7,NA,NA,0,0,51.7,22.3,NA,3.8,3.9,0,NA,86.9,79
State,Madhya Pradesh,45.4,57,95.4,94,0,49,20,96.5,NA,11.8,13.3,0,NA,37.7,NA,NA,43.3,0,NA,43.7,NA,28,27,29.5,49.2,99.1,94.9
State,Maharashtra,11.1,34.9,14.7,NA,8.7,13.3,9.8,85.7,0,1.5,1.5,NA,95.5,3.6,NA,0,11.1,20,0,5.9,NA,2.7,1.7,7.3,13.6,42.1,15.4
State,Manipur,0,30.8,100,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7,47.7
State,Meghalaya,33.3,NA,66.7,100,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,20,72.8
State,Mizoram,50,71.4,100,NA,NA,NA,50,NA,NA,NA,NA,NA,66.7,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,63.5
State,Nagaland,100,99.7,100,74.4,100,100,100,100,100,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.7,97.8
State,Orissa,14.5,26.9,64.8,29,0,14.5,18.2,0,0,NA,NA,NA,NA,12.2,NA,NA,10.9,NA,NA,0,NA,13.3,13.6,12,0,33,28.9
State,Punjab,70.8,53.3,85.5,73.7,66.7,83.3,42.9,80.2,100,NA,NA,NA,96.6,45.2,NA,NA,NA,100,66.7,67.4,NA,0,0,NA,NA,50.6,72.7
State,Rajasthan,79.4,47.5,97.2,86.8,NA,71.6,59.7,97.7,0,NA,NA,NA,82.6,36.5,0,0,NA,25,73,62.2,NA,30,29.6,31.3,88.3,81.3,85.7
State,Sikkim,NA,33.3,NA,0,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5
