Category (Col. 1),States/ UTs (Col. 2),Total No. of Cases for Trial Including Pending Cases (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases - Compounded or Withdrawn (Col. 5),No. of Cases - in which Trials were Completed - Convicted (Col. 6),No. of Cases - in which Trials were Completed - Acquitted or Discharged (Col. 7),No. of Cases - in which Trials were Completed - Total {(Col. 6) + (Col. 7)} = (Col. 8),No. of Cases - Pending Trial (Col. 9),Pendency Percentage (Col. 10),Percentage of Pendency to All-India Total (Col. 11),Conviction Rate (Col. 12) = {(Col. 6)/ (Col. 8) × 100}
State,Andhra Pradesh,322070,10,28410,29496,53041,82537,211123,65.6,3.7,35.7
State,Arunachal Pradesh,13057,0,54,269,168,437,12566,96.2,0.2,61.6
State,Assam,93791,0,2440,3518,15752,19270,72081,76.9,1.3,18.3
State,Bihar,434401,0,4224,6541,34002,40543,389634,89.7,6.9,16.1
State,Chhattisgarh,163759,1,17674,10387,8623,19010,127075,77.6,2.3,54.6
State,Goa,6952,1,68,319,962,1281,5603,80.6,0.1,24.9
State,Gujarat,685896,0,4497,7782,30588,38370,643029,93.8,11.4,20.3
State,Haryana,141851,0,435,11787,18372,30159,111257,78.4,2,39.1
State,Himachal Pradesh,50676,7,1582,1504,6325,7829,41265,81.4,0.7,19.2
State,Jammu & Kashmir,66375,0,1844,4126,5578,9704,54827,82.6,1,42.5
State,Jharkhand,98660,332,939,3527,15242,18769,78952,80,1.4,18.8
State,Karnataka,271159,62,9444,19466,46094,65560,196155,72.3,3.5,29.7
State,Kerala,350672,141,11323,30280,31715,61995,277354,79.1,4.9,48.8
State,Madhya Pradesh,724587,4,47682,55945,58737,114682,562223,77.6,10,48.8
State,Maharashtra,1100382,33,12400,9092,57244,66336,1021646,92.8,18.1,13.7
State,Manipur,2721,0,3,92,22,114,2604,95.7,0,80.7
State,Meghalaya,7656,0,27,154,246,400,7229,94.4,0.1,38.5
State,Mizoram,4306,0,3,2386,683,3069,1234,28.7,0,77.7
State,Nagaland,4342,0,4,1826,43,1869,2469,56.9,0,97.7
State,Orissa,260490,3,192,5892,24672,30564,229734,88.2,4.1,19.3
State,Punjab,75604,0,596,4724,7472,12196,62812,83.1,1.1,38.7
State,Rajasthan,469123,29,18312,40317,29452,69769,381042,81.2,6.8,57.8
State,Sikkim,351,0,31,58,68,126,194,55.3,0,46
State,Tamil Nadu,335619,10,1775,95960,46874,142834,191010,56.9,3.4,67.2
State,Tripura,7691,0,0,343,1487,1830,5861,76.2,0.1,18.7
State,Uttar Pradesh,504933,12,9466,46558,35387,81945,413522,81.9,7.3,56.8
State,Uttarakhand,21110,0,346,2506,1091,3597,17167,81.3,0.3,69.7
State,West Bengal,365650,0,967,2548,13385,15933,348750,95.4,6.2,16
State,Total (States),6583884,645,174738,397403,543325,940728,5468418,83.1,97,42.2
Union Territory,A & N Islands,3741,0,0,151,143,294,3447,92.1,0.1,51.4
Union Territory,Chandigarh,6505,0,0,623,494,1117,5388,82.8,0.1,55.8
Union Territory,D & N Haveli,1772,0,28,10,189,199,1545,87.2,0,5
Union Territory,Daman & Diu,708,0,17,12,86,98,593,83.8,0,12.2
Union Territory,Delhi,165167,0,0,5618,5677,11295,153872,93.2,2.7,49.7
Union Territory,Lakshadweep,50,0,2,3,0,3,45,90,0,100
Union Territory,Puducherry,6886,0,226,2801,776,3577,3083,44.8,0.1,78.3
Union Territory,Total (UTs),184829,0,273,9218,7365,16583,167973,90.9,3,55.6
Total (All-India),Total (All-India),6768713,645,175011,406621,550690,957311,5636391,83.3,100,42.5
