Sr. No.,Category,States/ UTs,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Total IPC Crimes against Property,Percentage Share,Crime Rate,Percentage to Total IPC Cog. Crimes
1,State,Andhra Pradesh,199,2,596,8457,23578,32832,8.38,41.64,20.68
2,State,Arunachal Pradesh,30,2,45,215,388,680,0.17,59.44,30.14
3,State,Assam,360,31,505,2544,5866,9306,2.38,32.99,22.88
4,State,Bihar,1319,145,2986,3175,11113,18738,4.78,21.22,17.34
5,State,Chhattisgarh,106,8,363,3720,5014,9211,2.35,41.58,21.97
6,State,Goa,5,0,18,261,503,787,0.2,53.72,37
7,State,Gujarat,360,15,1136,5828,18551,25890,6.61,48.43,24.55
8,State,Haryana,52,145,244,2786,6558,9785,2.5,43.64,25.03
9,State,Himachal Pradesh,1,0,25,766,643,1435,0.37,22.72,11.64
10,State,Jammu & Kashmir,28,0,129,1420,1939,3516,0.9,31.84,16.59
11,State,Jharkhand,580,55,780,1419,4374,7208,1.84,25.34,22.93
12,State,Karnataka,177,109,1024,6093,16093,23496,6,42.69,20.53
13,State,Kerala,129,15,639,4580,5240,10603,2.71,32.15,10.19
14,State,Madhya Pradesh,147,134,1526,12308,22586,36701,9.37,56.76,18.64
15,State,Maharashtra,629,315,2229,14659,43952,61784,15.78,60.72,35.04
16,State,Manipur,2,2,3,66,244,317,0.08,12.63,12.5
17,State,Meghalaya,91,2,81,142,418,734,0.19,30.32,41.78
18,State,Mizoram,10,0,6,250,610,876,0.22,93.59,57.82
19,State,Nagaland,14,0,117,70,255,456,0.12,21.76,46.34
20,State,Orissa,238,0,952,2992,5967,10149,2.59,26.5,20.82
21,State,Punjab,17,79,86,1766,2587,4535,1.16,17.82,17.69
22,State,Rajasthan,58,46,673,5911,18842,25530,6.52,42.19,16.49
23,State,Sikkim,0,0,5,64,73,142,0.04,25,22.5
24,State,Tamil Nadu,72,54,464,4147,17530,22267,5.69,34.67,13.37
25,State,Tripura,27,2,46,166,260,501,0.13,14.99,16.26
26,State,Uttar Pradesh,378,98,2606,5299,22524,30905,7.89,17.37,23.74
27,State,Uttarakhand,37,1,165,566,1597,2366,0.6,26.37,27.4
28,State,West Bengal,212,943,535,547,14465,16702,4.26,19.89,24.08
State,State,Total (States),5278,2203,17984,90217,251770,367452,93.82,34.42,20.77
29,Union Territory,A & N Islands,0,0,3,69,103,175,0.04,46.17,23.4
30,Union Territory,Chandigarh,0,2,6,186,1459,1653,0.42,169.36,57.22
31,Union Territory,D & N Haveli,3,0,2,20,53,78,0.02,32.77,19.07
32,Union Territory,Daman & Diu,0,0,1,35,27,63,0.02,36.84,31.82
33,Union Territory,Delhi,30,135,461,1875,18994,21495,5.49,140.68,40.09
34,Union Territory,Lakshadweep,0,0,0,2,5,7,0,10.94,10
35,Union Territory,Puducherry,0,0,1,86,634,721,0.18,70.89,15.61
Union Territory,Union Territory,Total (UTs),33,137,474,2273,21275,24192,6.18,133.48,38.67
Total (All-India),Total (All-India),Total (All-India),5311,2340,18458,92490,273045,391644,100,36.08,21.38
