Sr. No.,Category,States/ UTs,Riots,Arson,Total Crimes against Public,Percentage Share to All India,Crime Rate Crime against Public,Percentage to Total Cog. Crimes under IPC
1,State,Andhra Pradesh,2140,991,3131,3.88,4.07,2.18
2,State,Arunachal Pradesh,21,20,41,0.05,3.68,1.84
3,State,Assam,3014,438,3452,4.27,12.67,9.5
4,State,Bihar,8675,600,9275,11.48,10.89,9.86
5,State,Chhattisgarh,817,235,1052,1.3,4.94,2.77
6,State,Goa,79,25,104,0.13,7.49,4.26
7,State,Gujarat,3665,1915,5580,6.91,10.77,5.23
8,State,Haryana,700,199,899,1.11,4.15,2.24
9,State,Himachal Pradesh,646,145,791,0.98,12.8,6.46
10,State,Jammu & Kashmir,996,386,1382,1.71,13.24,6.92
11,State,Jharkhand,2281,167,2448,3.03,8.89,7.79
12,State,Karnataka,6838,437,7275,9.01,13.55,6.4
13,State,Kerala,8090,452,8542,10.58,26.47,8.2
14,State,Madhya Pradesh,3178,1053,4231,5.24,6.82,2.21
15,State,Maharashtra,6360,1269,7629,9.45,7.72,4.61
16,State,Manipur,64,48,112,0.14,4.58,4.33
17,State,Meghalaya,9,23,32,0.04,1.36,1.92
18,State,Mizoram,1,27,28,0.03,3.08,0.99
19,State,Nagaland,5,6,11,0.01,0.54,0.99
20,State,Orissa,1598,405,2003,2.48,5.36,4.2
21,State,Punjab,2,68,70,0.09,0.28,0.24
22,State,Rajasthan,7178,1130,8308,10.29,14.29,5.49
23,State,Sikkim,15,2,17,0.02,3.07,3.51
24,State,Tamil Nadu,4252,850,5102,6.32,8.11,3.06
25,State,Tripura,180,40,220,0.27,6.78,7.15
26,State,Uttar Pradesh,4878,643,5521,6.84,3.23,3.78
27,State,Uttarakhand,342,40,382,0.47,4.4,4.79
28,State,West Bengal,2461,114,2575,3.19,3.15,4.37
State,State,Total (States),68485,11728,80213,99.32,7.76,4.66
29,Union Territory,A & N Islands,11,2,13,0.02,3.56,2.14
30,Union Territory,Chandigarh,78,5,83,0.1,8.91,2.18
31,Union Territory,D & N Haveli,5,2,7,0.01,3.07,2.01
32,Union Territory,Daman & Diu,16,2,18,0.02,10.98,6.9
33,Union Territory,Delhi,139,57,196,0.24,1.36,0.4
34,Union Territory,Lakshadweep,18,2,20,0.02,32.26,37.74
35,Union Territory,Puducherry,193,22,215,0.27,21.7,4.85
Union Territory,Union Territory,Total (UTs),460,92,552,0.68,3.22,0.94
Total (All-India),Total (All-India),Total (All-India),68945,11820,80765,100,7.69,4.54
