Sr. No.,Category,States/ UTs,Criminal Breach of Trust,Cheating,Counterfeiting,Total Economic Crimes,Percentage Share,Crime Rate,Percentage to Total Cog. Crimes
1,State,Andhra Pradesh,898,7928,175,9001,13.31,11.42,5.67
2,State,Arunachal Pradesh,26,34,1,61,0.09,5.33,2.7
3,State,Assam,586,865,57,1508,2.23,5.35,3.71
4,State,Bihar,1701,2764,57,4522,6.68,5.12,4.18
5,State,Chhattisgarh,101,424,42,567,0.84,2.56,1.35
6,State,Goa,49,61,0,110,0.16,7.51,5.17
7,State,Gujarat,1612,1726,122,3460,5.12,6.47,3.28
8,State,Haryana,534,1089,32,1655,2.45,7.38,4.23
9,State,Himachal Pradesh,97,174,6,277,0.41,4.39,2.25
10,State,Jammu & Kashmir,105,414,32,551,0.81,4.99,2.6
11,State,Jharkhand,333,441,6,780,1.15,2.74,2.48
12,State,Karnataka,423,2759,65,3247,4.8,5.9,2.84
13,State,Kerala,336,3755,99,4190,6.19,12.7,4.03
14,State,Madhya Pradesh,548,1287,36,1871,2.77,2.89,0.95
15,State,Maharashtra,1528,5167,218,6913,10.22,6.79,3.92
16,State,Manipur,25,142,4,171,0.25,6.82,6.75
17,State,Meghalaya,25,44,2,71,0.1,2.93,4.04
18,State,Mizoram,30,20,6,56,0.08,5.98,3.7
19,State,Nagaland,11,28,0,39,0.06,1.86,3.96
20,State,Orissa,271,805,14,1090,1.61,2.85,2.24
21,State,Punjab,313,2729,60,3102,4.59,12.19,12.1
22,State,Rajasthan,885,8333,65,9283,13.72,15.34,5.99
23,State,Sikkim,4,22,1,27,0.04,4.75,4.28
24,State,Tamil Nadu,268,2121,40,2429,3.59,3.78,1.46
25,State,Tripura,17,34,12,63,0.09,1.89,2.04
26,State,Uttar Pradesh,2377,4184,188,6749,9.98,3.79,5.18
27,State,Uttarakhand,157,372,13,542,0.8,6.04,6.28
28,State,West Bengal,425,1686,125,2236,3.31,2.66,3.22
State,State,Total (States),13685,49408,1478,64571,95.46,6.05,3.65
29,Union Territory,A & N Islands,0,12,0,12,0.02,3.17,1.6
30,Union Territory,Chandigarh,23,135,4,162,0.24,16.6,5.61
31,Union Territory,D & N Haveli,12,22,0,34,0.05,14.29,8.31
32,Union Territory,Daman & Diu,4,5,0,9,0.01,5.26,4.55
33,Union Territory,Delhi,445,2322,44,2811,4.16,18.4,5.24
34,Union Territory,Lakshadweep,0,0,1,1,0,1.56,1.43
35,Union Territory,Puducherry,7,35,2,44,0.07,4.33,0.95
Union Territory,Union Territory,Total (UTs),491,2531,51,3073,4.54,16.96,4.91
Total (All-India),Total (All-India),Total (All-India),14176,51939,1529,67644,100,6.23,3.69
