Sr. No.,Category,States/ UTs,Number of Police Personnel - SC,Number of Police Personnel - ST,Number of Police Personnel - Muslim,Number of Police Personnel - Others,Number of Police Personnel - Total
1,State,Andhra Pradesh,11322,4662,10312,51554,77850
2,State,Arunachal Pradesh,69,4295,63,1293,5720
3,State,Assam,2459,5061,5492,39037,52049
4,State,Bihar,5896,2045,2947,38702,49590
5,State,Chhattisgarh,1271,3700,199,15180,20350
6,State,Goa,117,72,64,3287,3540
7,State,Gujarat,7612,8592,3420,37973,57597
8,State,Haryana,4590,0,401,33435,38426
9,State,Himachal Pradesh,2700,708,182,7933,11523
10,State,Jammu & Kashmir,1592,1889,33274,22282,59037
11,State,Jharkhand,NA,NA,NA,NA,NA
12,State,Karnataka,8989,2407,3579,38344,53319
13,State,Kerala,6512,480,5628,30811,43431
14,State,Madhya Pradesh,6428,6364,2100,58124,73016
15,State,Maharashtra,16310,8921,6409,104466,136106
16,State,Manipur,185,3149,1318,8679,13331
17,State,Meghalaya,1425,6818,178,745,9166
18,State,Mizoram,182,6791,72,65,7110
19,State,Nagaland,289,11365,24,214,11892
20,State,Orissa,5134,6064,970,23097,35265
21,State,Punjab,14091,38,191,56660,70980
22,State,Rajasthan,9600,7711,1840,41363,60514
23,State,Sikkim,410,1052,3,1955,3420
24,State,Tamil Nadu,14603,704,99,73118,88524
25,State,Tripura,2400,4423,369,11177,18369
26,State,Uttar Pradesh,26548,1265,6671,122914,157398
27,State,Uttarakhand,3047,564,357,8205,12173
28,State,West Bengal,11557,3409,5982,60801,81749
State,State,Total (States),165338,102549,92144,891414,1251445
29,Union Territory,A & N Islands,0,290,226,2224,2740
30,Union Territory,Chandigarh,586,1,13,3323,3923
31,Union Territory,D & N Haveli,22,113,4,85,224
32,Union Territory,Daman & Diu,87,6,8,141,242
33,Union Territory,Delhi,8718,3561,1242,41548,55069
34,Union Territory,Lakshadweep,4,204,2,114,324
35,Union Territory,Puducherry,460,14,52,1698,2224
Union Territory,Union Territory,Total (UTs),9877,4189,1547,49133,64746
Total (All-India),Total (All-India),Total (All-India),175215,106738,93691,940547,1316191
