Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
Murder,61958,3543,65501,94.6,5.4
Attempt to Commit Murder,62635,2091,64726,96.8,3.2
C.H. Not Amounting to Murder,6675,151,6826,97.8,2.2
Rape - Total,22640,572,23212,97.5,2.5
Rape - (i) Custodial Rape,3,0,3,100,0
Rape - (ii) Other Rape,22637,572,23209,97.5,2.5
Kidnapping & Abduction - Total,30033,1757,31790,94.5,5.5
Kidnapping & Abduction - (i) of Women & Girls,17957,1369,19326,92.9,7.1
Kidnapping & Abduction - (ii) of Others,12076,388,12464,96.9,3.1
Dacoity,19414,202,19616,99,1
Preparation & Assembly for Dacoity,11029,17,11046,99.8,0.2
Robbery,27834,156,27990,99.4,0.6
Burglary,65642,1380,67022,97.9,2.1
Theft - Total,202560,6110,208670,97.1,2.9
Theft - (i) Auto Theft,43334,108,43442,99.8,0.2
Theft - (ii) Other Theft,159226,6002,165228,96.4,3.6
Riots,304991,15882,320873,95.1,4.9
Criminal Breach of Trust,15278,534,15812,96.6,3.4
Cheating,47415,2445,49860,95.1,4.9
Counterfeiting,2553,54,2607,97.9,2.1
Arson,11366,315,11681,97.3,2.7
Hurt,435829,29180,465009,93.7,6.3
Dowry Death,13325,3848,17173,77.6,22.4
Molestation,42705,719,43424,98.3,1.7
Sexual Harassment,13038,154,13192,98.8,1.2
Cruelty by Husband and Relatives,98815,28745,127560,77.5,22.5
Importation of Girls,190,22,212,89.6,10.4
Causing Death by Negligence,62726,258,62984,99.6,0.4
Other IPC Crimes,911587,53174,964761,94.5,5.5
Total Cognizable Crimes Under IPC,2470238,151309,2621547,94.2,5.8
