Crime Head,Total No. of Cases for Investigation Including Pending Cases from previous year,Cases withdrawn by Govt.,No. of Cases in which Investigation was Refused,No. of Cases in which Investigation was Completed - Charge Found False / Mistake of Fact or Law Etc.,No. of Cases in which Investigation was Completed - Final Report True Submitted,No. of Cases in which Investigation was Completed - Charge Sheets were Submitted,No. of Cases in which Investigation was Completed - Total,No. of Cases Pending Investigation at the end of the year
Murder,822,0,1,31,21,632,684,137
Rape,1413,0,0,102,38,1037,1177,236
Kidnapping & Abduction,314,1,0,31,24,200,255,58
Dacoity,35,2,0,2,3,19,24,9
Robbery,101,0,0,6,17,50,73,28
Arson,284,0,0,41,24,142,207,77
Hurt,4909,2,5,394,198,3350,3942,960
PCR Act,387,0,0,63,10,202,275,112
SC/ST Prev. of Atrocities Act,12319,3,19,1367,488,6242,8097,4200
Other Crimes Against SCs,13495,3,27,1618,488,9040,11146,2319
Total,34079,11,52,3655,1311,20914,25880,8136
