Crime Head (Col.1),Cases Withdrawn by Govt. (Col.2),Percentage of cases to Total cases for investigation in which Investigation was Refused (Col.3),Percentage of cases to Total cases for investigation in which Investigation was completed - Charge Found False / Mistake of Fact or Law Etc. (Col.4),Percentage of cases to Total cases for investigation in which Investigation was completed - Final Report True Submitted (Col.5),Percentage of cases to Total cases for investigation in which Investigation was completed - Charge Sheets were Submitted (Col.6),Percentage of cases to Total cases for investigation in which Investigation was completed - Total (Col.7) = {(Col.5) + (Col.6) + (Col.7)},No. of cases Pending Investigation at the end of the year (Col.8),Chargesheeting Rate(Col.9) = (Col.7 / Col. 6 + Col.7 × 100)
Murder,0,0,0.4,0.9,66.7,68,32,98.7
Rape,0.1,0,3.4,2,77,82.4,17.5,97.5
Kidnapping & Abduction,1.1,0,5.6,9,59.6,74.2,24.7,86.9
Dacoity,0,0,3.7,33.3,48.1,85.2,14.8,59.1
Robbery,0,0,1.9,40.7,37,79.6,20.4,47.6
Arson,0,0,2.2,10.9,60.9,73.9,26.1,84.8
Hurt,0,0,8.7,6.8,68.9,84.3,15.7,91
P.C.R. Act,0,0,1.1,2.2,8.9,12.2,87.8,80
SC/ST Prev. of Atrocities Act,0.5,0.4,9.2,4.2,54.6,68,31.1,92.8
Other Crime Against STs,0.1,0.2,12,6.8,65.9,84.7,15,90.6
Total,0.2,0.2,9,5.8,63,77.7,21.9,91.6
