Category,States/UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways Running Trains - Number,Railways Running Trains - Value,Others in Railways - Number,Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,Andhra Pradesh,5502,1731.7,2,2.1,0,0,0,0,0,0,0,0,21,131,1279,285.4,1150,251,7954,2401.3
State,Arunachal Pradesh,142,39.8,0,0,0,0,0,0,0,0,0,0,0,0,72,24,49,8.9,263,72.8
State,Assam,1145,148.3,24,6,0,0,2,0.1,0,0,2,0.1,1,0.2,501,57.5,582,82.5,2255,294.6
State,Bihar,2346,178.4,8,2.2,0,0,13,0.7,9,0.3,4,0.4,3,1.9,139,19.5,608,146,3117,348.7
State,Chhattisgarh,3098,378.3,4,3.3,0,0,10,2.1,0,0,10,2.1,26,9.6,263,59,220,65.1,3621,517.4
State,Goa,125,48.6,0,0,0,0,1,0.3,0,0,1,0.3,3,0,88,60.4,48,28.7,265,138
State,Gujarat,3306,1379.5,5,1.8,0,0,0,0,0,0,0,0,14,0.8,996,381.2,1011,780.5,5332,2543.7
State,Haryana,2416,539.5,0,0,0,0,3,0,0,0,3,0,21,4,589,159.7,408,115.7,3437,818.9
State,Himachal Pradesh,308,103.6,0,0,0,0,0,0,0,0,0,0,15,0.9,184,72.1,189,52.2,696,228.7
State,Jammu & Kashmir,636,210.6,0,0,0,0,0,0,0,0,0,0,1,0,311,86.7,449,63.5,1397,360.8
State,Jharkhand,1374,358.9,0,0,0,0,4,0.1,0,0,4,0.1,1,0.1,126,8.2,105,27.7,1610,395
State,Karnataka,3846,1330.3,1,0.5,0,0,5,0,0,0,5,0,28,10.3,970,455.2,1136,816.9,5986,2613.2
State,Kerala,2285,1083.8,0,0,0,0,1,0,1,0,0,0,6,1.1,773,497.9,1045,294.1,4110,1877
State,Madhya Pradesh,8020,1078.6,2,0.1,0,0,8,1.1,0,0,8,1.1,12,19.6,1312,245.2,1838,201.4,11192,1546
State,Maharashtra,9401,3584.4,45,29.7,0,0,3,0.2,0,0,3,0.2,75,7.6,2925,2091.7,3166,485.2,15615,6198.9
State,Manipur,15,3.6,1,0.3,0,0,0,0,0,0,0,0,0,0,31,23.5,15,3.4,62,30.8
State,Meghalaya,82,5.2,0,0,0,0,0,0,0,0,0,0,2,0.3,20,5.1,44,2.1,148,12.6
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,147.4,442,147.4
State,Nagaland,51,6.8,0,0,0,0,0,0,0,0,0,0,0,0,25,1.5,17,4.5,93,12.8
State,Orissa,1926,321.5,0,0,0,0,13,2.3,0,0,13,2.3,82,34.2,527,120.2,481,140.9,3029,619.2
State,Punjab,1048,506.6,0,0,0,0,0,0,0,0,0,0,28,0.4,483,256,374,226.9,1933,989.8
State,Rajasthan,3058,773.2,0,0,0,0,0,0,0,0,0,0,33,13.1,1247,284.1,889,99.4,5227,1169.8
State,Sikkim,47,7.1,0,0,0,0,0,0,0,0,0,0,0,0,15,3,23,5.1,85,15.2
State,Tamil Nadu,2353,659.1,1,0.3,0,0,5,0.1,0,0,5,0.1,17,1,451,113.9,911,167.9,3738,942.3
State,Tripura,110,18.7,0,0,0,0,0,0,0,0,0,0,0,0,41,17.3,19,11.3,170,47.3
State,Uttar Pradesh,3067,1362.7,0,0,0,0,4,0,0,0,4,0,1,0.3,299,80,1185,221.5,4556,1664.5
State,Uttaranchal,349,93.4,0,0,0,0,0,0,0,0,0,0,0,0,115,17.7,57,10,521,121.1
State,West Bengal,306,91.6,1,0.1,0,0,0,0,0,0,0,0,4,2.3,53,25.5,375,79.8,739,199.2
State,Total (States),56362,16043.8,94,46.3,0,0,72,7.1,10,0.3,62,6.8,394,238.7,13835,5451.4,16836,4539.6,87593,26326.9
Union Territory,A & N Islands,68,34.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,34.2
Union Territory,Chandigarh,134,34.1,0,0,0,0,0,0,0,0,0,0,3,0,86,37,0,0,223,71.1
Union Territory,D & N Haveli,11,5.9,0,0,0,0,0,0,0,0,0,0,0,0,11,55.4,3,1.2,25,62.6
Union Territory,Daman & Diu,18,11.1,0,0,0,0,0,0,0,0,0,0,1,0,13,13.7,5,0.4,37,25.1
Union Territory,Delhi,1485,920.7,0,0,0,0,0,0,0,0,0,0,0,0,394,198.5,214,861.1,2093,1980.2
Union Territory,Lakshadweep,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2
Union Territory,Pondicherry,38,16.1,0,0,0,0,0,0,0,0,0,0,0,0,15,2.3,14,2.6,67,21
Union Territory,Total (UTs),1756,1022.3,0,0,0,0,0,0,0,0,0,0,4,0,519,306.9,236,865.2,2515,2194.4
Total (All-India),Total (All-India),58118,17066.1,94,46.3,0,0,72,7.1,10,0.3,62,6.8,398,238.7,14354,5758.3,17072,5404.8,90108,28521.3
City,Agra,,,,,,,,,,,,,,,,,,,,
City,Ahmedabad,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways Running Trains - Number,Railways Running Trains - Value,Others in Railways - Number,Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
City,Allahabad,108,30.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4.5,127,35
City,Amritsar,602,296.1,0,0,0,0,0,0,0,0,0,0,1,0,149,75.8,73,93.2,825,465
City,Asansol,91,27.1,0,0,0,0,0,0,0,0,0,0,0,0,9,6.7,0,0,100,33.8
City,Bangalore,57,25,0,0,0,0,0,0,0,0,0,0,2,0,9,7.7,4,3.4,72,36
City,Bhopal,12,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,15,2.2
City,Chennai,1374,682.9,0,0,0,0,0,0,0,0,0,0,5,1.4,160,201.8,232,42.3,1771,928.4
City,Coimbatore,566,112,0,0,0,0,0,0,0,0,0,0,0,0,80,16.1,0,0,646,128.1
City,Delhi (city),448,142.2,0,0,0,0,0,0,0,0,0,0,2,0,56,21,91,12.5,597,175.7
City,Dhanbad,101,26.9,0,0,0,0,0,0,0,0,0,0,0,0,36,7.8,16,3.4,153,38.1
City,Faridabad,1311,878.1,0,0,0,0,0,0,0,0,0,0,0,0,360,184.1,155,852.6,1826,1914.8
City,Hyderabad,80,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.3,83,5
City,Indore,143,44.9,0,0,0,0,0,0,0,0,0,0,1,0,59,28.5,34,10.6,237,84
City,Jabalpur,895,554.5,0,0,0,0,0,0,0,0,0,0,0,0,257,69,9,1.8,1161,625.4
City,Jaipur,679,164.5,0,0,0,0,0,0,0,0,0,0,0,0,97,26.3,72,14,848,204.8
City,Jamshedpur,243,38.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,38.8
City,Kanpur,406,67.8,0,0,0,0,0,0,0,0,0,0,0,0,185,64.8,43,8.2,634,140.8
City,Kochi,106,10.5,0,0,0,0,0,0,0,0,0,0,0,0,13,5.3,25,1.7,144,17.4
City,Kolkata,119,39,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9,16,2.6,137,42.5
City,Lucknow,98,67.7,0,0,0,0,0,0,0,0,0,0,0,0,50,27.3,66,40.4,214,135.4
City,Ludhiana,65,28.5,0,0,0,0,0,0,0,0,0,0,0,0,36,21.3,29,19.5,130,69.3
City,Madurai,277,66.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,10.7,350,77.1
City,Meerut,83,36.3,0,0,0,0,0,0,0,0,0,0,1,0,95,86.5,13,0.3,192,123.1
City,Mumbai,31,19.8,0,0,0,0,0,0,0,0,0,0,0,0,28,8.8,42,11.6,101,40.2
City,Nagpur,128,28.9,0,0,0,0,0,0,0,0,0,0,0,0,2,1.1,6,2.2,136,32.1
City,Nasik,1166,1283.4,0,0,0,0,0,0,0,0,0,0,3,0.4,736,1134.2,1270,25.7,3175,2443.7
City,Patna,908,190.4,0,0,0,0,0,0,0,0,0,0,3,0,232,81.7,93,18.2,1236,290.3
City,Pune,215,69.1,0,0,0,0,0,0,0,0,0,0,3,0,71,29.7,98,32,387,130.8
City,Rajkot,203,2.1,0,0,0,0,0,0,0,0,0,0,0,0,19,0.9,193,0.3,415,3.2
City,Surat,842,354.4,0,0,0,0,0,0,0,0,0,0,8,1.7,275,178.7,76,28.4,1201,563.1
City,Vadodara,118,38,0,0,0,0,0,0,0,0,0,0,0,0,94,32.1,53,3.4,265,73.5
City,Varanasi,341,214.7,0,0,0,0,0,0,0,0,0,0,2,0.1,13,10.6,73,21.2,429,246.6
City,Vijayawada,310,125,0,0,0,0,0,0,0,0,0,0,2,0.3,53,56.2,27,15.1,392,196.6
City,Vishakhapatnam,0,0,52,9.1,0,0,0,0,0,0,0,0,0,0,0,0,22,3.7,74,12.8
City,VIJAYAWADA,113,90.9,0,0,0,0,0,0,0,0,0,0,0,0,343,27,0,0,456,117.9
City,VISHAKHAPATNAM,276,48.6,0,0,0,0,0,0,0,0,0,0,2,1.8,66,43,49,35,393,128.4
