Category,States/Uts/Cities,Estimated Mid-Year Population (In Lakhs)#,Rape - I,Rape - R,Rape - P,Kidnapping & Abduction - I,Kidnapping & Abduction - R,Kidnapping & Abduction - P,Dowry Deaths - I,Dowry Deaths - R,Dowry Deaths - P,Cruelty by Husband and Relatives - I,Cruelty by Husband and Relatives - R,Cruelty by Husband and Relatives - P,Molestation - I,Molestation - R,Molestation - P,Eveteasing (Sexual Harassment) - I,Eveteasing (Sexual Harassment) - R,Eveteasing (Sexual Harassment) - P,Importation of Girls - I,Importation of Girls - R,Importation of Girls - P,Sati PreventionAct - I,Sati PreventionAct - R,Sati PreventionAct - P,Immoral Traffic (P) Act - I,Immoral Traffic (P) Act - R,Immoral Traffic (P) Act - P,Indecent Representation of Women (P) Act - I,Indecent Representation of Women (P) Act - R,Indecent Representation of Women (P) Act - P,Dowry Prohibition Act - I,Dowry Prohibition Act - R,Dowry Prohibition Act - P,Total - I,Total - R,Total - P
State,Andhra Pradesh,798.09,935,1.2,5.1,995,1.2,6.3,443,0.6,6.5,8696,10.9,14.9,3595,4.5,10.5,2508,3.1,25.1,3,0,2,0,0,0,681,0.9,11.5,2657,3.3,91.1,306,0.4,9.6,20819,26.1,13.4
State,Arunachal Pradesh,11.59,35,3,0.2,39,3.4,0.2,0,0,0,9,0.8,0,67,5.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,12.9,0.1
State,Assam,286.92,1238,4.3,6.7,1456,5.1,9.2,99,0.3,1.5,2206,7.7,3.8,899,3.1,2.6,19,0.1,0.2,3,0,2,0,0,0,25,0.1,0.4,0,0,0,82,0.3,2.6,6027,21,3.9
State,Bihar,898.2,1147,1.3,6.2,929,1,5.9,1014,1.1,14.9,1574,1.8,2.7,451,0.5,1.3,13,0,0.1,74,0.1,49.7,0,0,0,28,0,0.5,0,0,0,789,0.9,24.6,6019,6.7,3.9
State,Chhattisgarh,225.82,990,4.4,5.4,184,0.8,1.2,100,0.4,1.5,732,3.2,1.3,1450,6.4,4.2,132,0.6,1.3,0,0,0,0,0,0,6,0,0.1,0,0,0,5,0,0.2,3599,15.9,2.3
State,Goa,15.07,20,1.3,0.1,12,0.8,0.1,2,0.1,0,11,0.7,0,30,2,0.1,8,0.5,0.1,0,0,0,0,0,0,38,2.5,0.6,0,0,0,0,0,0,121,8,0.1
State,Gujarat,542.74,324,0.6,1.8,916,1.7,5.8,48,0.1,0.7,4090,7.5,7,802,1.5,2.3,104,0.2,1,0,0,0,0,0,0,59,0.1,1,0,0,0,0,0,0,6343,11.7,4.1
State,Haryana,227.92,461,2,2.5,344,1.5,2.2,212,0.9,3.1,2075,9.1,3.6,380,1.7,1.1,597,2.6,6,0,0,0,0,0,0,85,0.4,1.4,0,0,0,7,0,0.2,4161,18.3,2.7
State,Himachal Pradesh,63.81,141,2.2,0.8,102,1.6,0.6,2,0,0,228,3.6,0.4,286,4.5,0.8,29,0.5,0.3,0,0,0,0,0,0,4,0.1,0.1,0,0,0,1,0,0,793,12.4,0.5
State,Jammu & Kashmir,113.71,201,1.8,1.1,658,5.8,4.2,5,0,0.1,76,0.7,0.1,830,7.3,2.4,371,3.3,3.7,0,0,0,0,0,0,3,0,0.1,0,0,0,0,0,0,2144,18.9,1.4
State,Jharkhand,288.85,753,2.6,4.1,283,1,1.8,257,0.9,3.8,590,2,1,293,1,0.9,36,0.1,0.4,4,0,2.7,0,0,0,13,0,0.2,2,0,0.1,313,1.1,9.8,2544,8.8,1.6
State,Karnataka,557.02,343,0.6,1.9,312,0.6,2,261,0.5,3.8,1883,3.4,3.2,1585,2.8,4.6,71,0.1,0.7,0,0,0,0,0,0,1241,2.2,21,0,0,0,361,0.6,11.3,6057,10.9,3.9
State,Kerala,333.38,478,1.4,2.6,129,0.4,0.8,21,0.1,0.3,3283,9.8,5.6,2339,7,6.8,175,0.5,1.8,0,0,0,0,0,0,225,0.7,3.8,108,0.3,3.7,4,0,0.1,6762,20.3,4.3
State,Madhya Pradesh,659.52,2921,4.4,15.9,604,0.9,3.8,739,1.1,10.9,2989,4.5,5.1,6426,9.7,18.8,792,1.2,7.9,3,0,2,0,0,0,19,0,0.3,0,0,0,36,0.1,1.1,14529,22,9.3
State,Maharashtra,1031.59,1545,1.5,8.4,851,0.8,5.4,341,0.3,5,6233,6,10.7,3228,3.1,9.4,919,0.9,9.2,0,0,0,0,0,0,222,0.2,3.8,8,0,0.3,23,0,0.7,13370,13,8.6
State,Manipur,25.39,25,1,0.1,69,2.7,0.4,0,0,0,20,0.8,0,25,1,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,140,5.5,0.1
