Category,States/UTs/ Cities,Estimated Mid-Year Population#,Infanticide - I,Infanticide - R,Infanticide - P,Murder - I,Murder - R,Murder - P,Rape - I,Rape - R,Rape - P,Kidnapping & Abduction - I,Kidnapping & Abduction - R,Kidnapping & Abduction - P,Foeticide - I,Foeticide - R,Foeticide - P,Abetment to Suicide - I,Abetment to Suicide - R,Abetment to Suicide - P,Exposure and Abandonment - I,Exposure and Abandonment - R,Exposure and Abandonment - P,Procuration of Minor Girl - I,Procuration of Minor Girl - R,Procuration of Minor Girl - P,Buying of Girls for Prostitution - I,Buying of Girls for Prostitution - R,Buying of Girls for Prostitution - P,Selling of Girls for Prostitution - I,Selling of Girls for Prostitution - R,Selling of Girls for Prostitution - P,Child Marriage Restraint Act - I,Child Marriage Restraint Act - R,Child Marriage Restraint Act - P,Other Crimes - I,Other Crimes - R,Other Crimes - P,Total - I,Total - R,Total - P
State,Andhra Pradesh,798.09,1,0,0.9,56,0.1,4.6,315,0.4,7.8,332,0.4,9.4,1,0,1.2,4,0,9.3,99,0.1,10.6,48,0.1,33.1,9,0,32.1,2,0,4,9,0,7.4,74,0.1,1.6,950,1.2,6.3
State,Arunachal Pradesh,11.59,0,0,0,0,0,0,10,0.9,0.2,12,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1.9,0.1
State,Assam,286.92,1,0,0.9,12,0,1,90,0.3,2.2,18,0.1,0.5,1,0,1.2,5,0,11.6,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,70,0.2,1.5,199,0.7,1.3
State,Bihar,898.2,1,0,0.9,25,0,2.1,8,0,0.2,72,0.1,2,0,0,0,0,0,0,0,0,0,5,0,3.4,0,0,0,0,0,0,4,0,3.3,0,0,0,115,0.1,0.8
State,Chhattisgarh,225.82,9,0,8.3,28,0.1,2.3,382,1.7,9.5,110,0.5,3.1,21,0.1,24.4,8,0,18.6,6,0,0.6,0,0,0,0,0,0,0,0,0,3,0,2.5,430,1.9,9.2,997,4.4,6.7
State,Goa,15.07,0,0,0,4,0.3,0.3,15,1,0.4,11,0.7,0.3,0,0,0,0,0,0,2,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,21,1.4,0.4,53,3.5,0.4
State,Gujarat,542.74,2,0,1.9,74,0.1,6.1,90,0.2,2.2,285,0.5,8.1,4,0,4.7,1,0,2.3,141,0.3,15.1,12,0,8.3,0,0,0,0,0,0,25,0,20.5,202,0.4,4.3,836,1.5,5.6
State,Haryana,227.92,0,0,0,38,0.2,3.1,131,0.6,3.3,101,0.4,2.9,8,0,9.3,0,0,0,32,0.1,3.4,0,0,0,0,0,0,0,0,0,7,0,5.7,57,0.3,1.2,374,1.6,2.5
State,Himachal Pradesh,63.81,0,0,0,6,0.1,0.5,58,0.9,1.4,37,0.6,1.1,1,0,1.2,0,0,0,12,0.2,1.3,0,0,0,0,0,0,0,0,0,3,0,2.5,14,0.2,0.3,131,2.1,0.9
State,Jammu & Kashmir,113.71,0,0,0,4,0,0.3,4,0,0.1,48,0.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,57,0.5,0.4
