Category,States/UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways Running Trains - Number,Railways Running Trains - Value,Others in Railways - Number,Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,Andhra Pradesh,262,100.4,165,72.3,0,0,9,2.1,4,1.2,5,0.9,0,0,27,6.7,331,116.5,794,298.1
State,Arunachal Pradesh,18,3.8,5,2.1,0,0,0,0,0,0,0,0,0,0,13,2.9,41,7.9,77,16.7
State,Assam,128,35.4,76,23.3,5,2.9,16,2.5,3,0.7,13,1.8,0,0,29,12.4,197,54.1,451,130.5
State,Bihar,258,59.9,1032,274.2,1,0.1,68,15.6,48,12,20,3.6,7,21.7,67,31.8,941,249,2374,652.3
State,Chhattisgarh,59,9.7,42,18.6,1,0,20,1.5,2,0,18,1.5,3,1.8,12,5.9,264,63,401,100.5
State,Goa,3,0.2,7,19.1,0,0,0,0,0,0,0,0,2,0,5,4.1,11,10.4,28,33.8
State,Gujarat,175,56.4,104,159.2,1,0.1,47,4.3,25,3.3,22,1,1,0.1,71,66.6,567,314.3,966,601
State,Haryana,49,45,67,201.8,0,0,5,0.2,2,0,3,0.2,9,20.9,28,18.4,232,319.2,390,605.4
State,Himachal Pradesh,7,4.6,4,4.4,0,0,0,0,0,0,0,0,0,0,4,3.8,7,3.1,22,15.8
State,Jammu & Kashmir,40,14.4,0,0,0,0,0,0,0,0,0,0,8,34.3,8,0.6,60,20.8,116,70.1
State,Jharkhand,118,37.8,430,91.2,0,0,7,2.6,3,0.4,4,2.2,8,60.5,21,7.3,148,13.5,732,212.9
State,Karnataka,160,71.6,31,15.1,0,0,8,2.8,5,0.9,3,1.9,1,0.4,67,45.2,935,291.5,1202,426.6
State,Kerala,155,39.9,32,18.7,0,0,3,0.4,3,0.4,0,0,1,0,55,13.7,375,182.4,621,255.2
State,Madhya Pradesh,154,64.6,214,193.8,1,0.2,34,8.1,15,5.9,19,2.2,3,4,65,25.7,1086,389.7,1557,686.1
State,Maharashtra,328,123.4,252,230.6,2,0.1,50,8.1,21,5.3,29,2.7,9,33,178,202.7,1592,708.9,2411,1306.8
State,Manipur,1,0.6,2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,5,3.9,8,5.2
