Category,States/ UTs/ Cities,Arms Act - Incidence,Arms Act - Rate of Crime,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate of Crime,Gambling Act - Incidence,Gambling Act - Rate of Crime,Excise Act - Incidence,Excise Act - Rate of Crime,Prohibition Act - Incidence,Prohibition Act - Rate of Crime,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate of Crime,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate of Crime,Railways Act - Incidence,Railways Act - Rate of Crime,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate of Crime,Protection of Civil Rights Act (Total) - Incidence,Protection of Civil Rights Act (Total) - Rate of Crime,PCR Act for SCs - Incidence,PCR Act for SCs - Rate of Crime,PCR Act for STs - Incidence,PCR Act for STs - Rate of Crime,Indian Passport Act - Incidence,Indian Passport Act - Rate of Crime,Essential Commodities Act - Incidence,Essential Commodities Act - Rate of Crime,Terrorist & Disruptive Activities Act - Incidence,Terrorist & Disruptive Activities Act - Rate of Crime,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate of Crime,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate of Crime,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate of Crime,Indecent Representation of Women (P) Act - Incidence,Indecent Representation of Women (P) Act - Rate of Crime,Copyright Act - Incidence,Copyright Act - Rate of Crime,Sati Prevention Act - Incidence,Sati Prevention Act - Rate of Crime,SC/ST (Prev.) of Atrocities) Act (Total) - Incidence,SC/ST (Prev.) of Atrocities) Act (Total) - Rate of Crime,SC/ST (Prev) of Attrocities Act for SCs - Incidence,SC/ST (Prev) of Attrocities Act for SCs - Rate of Crime,SC/ST (Prev) of Attrocities Act for STs - Incidence,SC/ST (Prev) of Attrocities Act for STs - Rate of Crime,Forest Act - Incidence,Forest Act - Rate of Crime,Other SLL Crimes - Incidence,Other SLL Crimes - Rate of Crime,Total Cognizable Crimes under SLL - Incidence,Total Cognizable Crimes under SLL - Rate of Crime
State,Andhra Pradesh,240,0.3,563,0.7,37022,46.4,758,0.9,1084,1.4,369,0.5,681,0.9,20,0,2,0,61,0.1,61,0.1,0,0,149,0.2,124,0.2,0,0,28,0,306,0.4,9,0,2657,3.3,1412,1.8,0,0,1440,1.8,1244,1.6,196,0.2,43,0.1,462122,579,509090,637.9
State,Arunachal Pradesh,12,1,39,3.4,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1.7,73,6.3
State,Assam,254,0.9,125,0.4,135,0.5,78,0.3,0,0,117,0.4,25,0.1,5,0,3,0,0,0,0,0,0,0,23,0.1,28,0.1,0,0,0,0,82,0.3,0,0,0,0,34,0.1,0,0,0,0,0,0,0,0,21,0.1,1137,4,2067,7.2
State,Bihar,2982,3.3,319,0.4,222,0.2,2209,2.5,0,0,388,0.4,28,0,16,0,0,0,95,0.1,95,0.1,0,0,0,0,353,0.4,0,0,0,0,789,0.9,4,0,0,0,8,0,0,0,1200,1.3,1141,1.3,59,0.1,109,0.1,1092,1.2,9814,10.9
State,Chhattisgarh,1191,5.3,344,1.5,11063,49,10877,48.2,0,0,280,1.2,6,0,2,0,0,0,1,0,1,0,0,0,0,0,140,0.6,0,0,2,0,5,0,3,0,0,0,24,0.1,0,0,208,0.9,115,0.5,93,0.4,5,0,211651,937.3,235802,1044.2
State,Goa,5,0.3,31,2.1,1365,90.6,0,0,0,0,0,0,38,2.5,0,0,52,3.5,0,0,0,0,0,0,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,9,0.6,0,0,2,0.1,1,0.1,1,0.1,0,0,2491,165.3,3995,265.1
State,Gujarat,305,0.6,101,0.2,8849,16.3,5,0,126356,232.8,146,0.3,59,0.1,4,0,5,0,6,0,6,0,0,0,10,0,281,0.5,0,0,0,0,0,0,25,0,0,0,458,0.8,0,0,507,0.9,434,0.8,73,0.1,0,0,37219,68.6,174336,321.2
State,Haryana,1428,6.3,1427,6.3,6862,30.1,10361,45.5,0,0,37,0.2,85,0.4,8,0,13,0.1,0,0,0,0,0,0,2,0,216,0.9,0,0,0,0,7,0,7,0,0,0,181,0.8,0,0,73,0.3,73,0.3,0,0,3,0,1890,8.3,22600,99.2
State,Himachal Pradesh,14,0.2,242,3.8,566,8.9,3220,50.5,0,0,6,0.1,4,0.1,0,0,4,0.1,5,0.1,3,0,2,0,0,0,12,0.2,0,0,0,0,1,0,3,0,0,0,59,0.9,0,0,20,0.3,18,0.3,2,0,197,3.1,138,2.2,4491,70.4
State,Jammu & Kashmir,880,7.7,192,1.7,149,1.3,368,3.2,0,0,228,2,3,0,0,0,20,0.2,1,0,1,0,0,0,5,0,683,6,0,0,0,0,0,0,0,0,0,0,18,0.2,0,0,0,0,0,0,0,0,4,0,184,1.6,2735,24.1
