Category,States/UTs/Cities,Murder - 2004,Murder - 2005,Murder - % Variation,Attempt to Commit Murder - 2004,Attempt to Commit Murder - 2005,Attempt to Commit Murder - % Variation,C.H. Not Amounting to Murder - 2004,C.H. Not Amounting to Murder - 2005,C.H. Not Amounting to Murder - % Variation,Rape Total - 2004,Rape Total - 2005,Rape Total - % Variation,Rape Custodial - 2004,Rape Custodial - 2005,Rape Custodial - % Variation,Rape Other - 2004,Rape Other - 2005,Rape Other - % Variation,Kidnapping & Abduction Total - 2004,Kidnapping & Abduction Total - 2005,Kidnapping & Abduction Total - % Variation,Kidnapping & Abduction of Women & Girls - 2004,Kidnapping & Abduction of Women & Girls - 2005,Kidnapping & Abduction of Women & Girls - % Variation,Kidnapping & Abduction of Others - 2004,Kidnapping & Abduction of Others - 2005,Kidnapping & Abduction of Others - % Variation,Dacoity - 2004,Dacoity - 2005,Dacoity - % Variation,Preparation & Assembly for Dacoity - 2004,Preparation & Assembly for Dacoity - 2005,Preparation & Assembly for Dacoity - % Variation,Robbery - 2004,Robbery - 2005,Robbery - % Variation,Burglary - 2004,Burglary - 2005,Burglary - % Variation,Theft Total - 2004,Theft Total - 2005,Theft Total - % Variation,Auto Theft - 2004,Auto Theft - 2005,Auto Theft - % Variation,Other Theft - 2004,Other Theft - 2005,Other Theft - % Variation,Riots - 2004,Riots - 2005,Riots - % Variation,Criminal Breach of Trust - 2004,Criminal Breach of Trust - 2005,Criminal Breach of Trust - % Variation,Cheating - 2004,Cheating - 2005,Cheating - % Variation,Counterfeiting - 2004,Counterfeiting - 2005,Counterfeiting - % Variation,Arson - 2004,Arson - 2005,Arson - % Variation,Hurt - 2004,Hurt - 2005,Hurt - % Variation,Dowry Deaths - 2004,Dowry Deaths - 2005,Dowry Deaths - % Variation,Molestation - 2004,Molestation - 2005,Molestation - % Variation,Sexual Harassment - 2004,Sexual Harassment - 2005,Sexual Harassment - % Variation,Cruelty by Husband and Relatives - 2004,Cruelty by Husband and Relatives - 2005,Cruelty by Husband and Relatives - % Variation,Importation of Girls - 2004,Importation of Girls - 2005,Importation of Girls - % Variation,Causing Death by Negligence - 2004,Causing Death by Negligence - 2005,Causing Death by Negligence - % Variation,Other IPC Crimes - 2004,Other IPC Crimes - 2005,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2004,Total Cognizable Crimes Under IPC - 2005,Total Cognizable Crimes Under IPC - % Variation
State,Andhra Pradesh,2579,2750,6.6,1908,1724,-9.6,163,111,-31.9,1016,935,-8,0,1,NA,1016,934,-8.1,1526,1612,5.6,1030,995,-3.4,496,617,24.4,199,250,25.6,2,4,100,596,794,33.2,8457,7954,-5.9,23578,23778,0.8,5042,5465,8.4,18536,18313,-1.2,2540,2026,-20.2,898,948,5.6,7928,7909,-0.2,175,257,46.9,915,967,5.7,43335,42179,-2.7,512,443,-13.5,3817,3595,-5.8,2310,2508,8.6,8388,8696,3.7,2,3,50,11452,9973,-12.9,36460,37707,3.4,158756,157123,-1
State,Arunachal Pradesh,67,81,20.9,45,37,-17.8,1,5,400,42,35,-16.7,0,0,0,42,35,-16.7,65,58,-10.8,41,39,-4.9,24,19,-20.8,30,23,-23.3,2,0,-100,45,77,71.1,215,263,22.3,388,531,36.9,75,119,58.7,313,412,31.6,65,23,-64.6,26,36,38.5,34,28,-17.6,1,4,300,19,13,-31.6,429,383,-10.7,0,0,0,61,67,9.8,0,0,0,4,9,125,0,0,0,0,69,NA,717,562,-21.6,2256,2304,2.1
State,Assam,1214,1194,-1.6,410,503,22.7,63,117,85.7,1171,1238,5.7,0,0,0,1171,1238,5.7,1906,1751,-8.1,1552,1456,-6.2,354,295,-16.7,360,334,-7.2,31,22,-29,505,451,-10.7,2544,2255,-11.4,5866,6369,8.6,685,955,39.4,5181,5414,4.5,3615,2760,-23.7,586,487,-16.9,865,873,0.9,57,103,80.7,379,423,11.6,5911,5906,-0.1,74,99,33.8,883,899,1.8,11,19,72.7,1945,2206,13.4,0,3,NA,2239,2695,20.4,10040,11299,12.5,40675,42006,3.3
State,Bihar,3948,3471,-12.1,2995,3307,10.4,280,259,-7.5,1390,1147,-17.5,1,0,-100,1389,1147,-17.4,3413,2693,-21.1,997,929,-6.8,2416,1764,-27,1319,1212,-8.1,145,165,13.8,2986,2374,-20.5,3175,3117,-1.8,11113,10812,-2.7,2083,2134,2.4,9030,8678,-3.9,9793,7671,-21.7,1701,1181,-30.6,2764,1829,-33.8,57,50,-12.3,707,760,7.5,11231,11939,6.3,1029,1014,-1.5,704,451,-35.9,13,13,0,2679,1574,-41.2,35,74,111.4,2405,2680,11.4,44178,40057,-9.3,108060,97850,-9.4
State,Chhattisgarh,927,1013,9.3,619,660,6.6,25,41,64,969,990,2.2,0,0,0,969,990,2.2,214,246,15,174,184,5.7,40,62,55,106,204,92.5,8,25,212.5,363,401,10.5,3720,3621,-2.7,5014,5600,11.7,1316,1619,23,3698,3981,7.7,790,893,13,101,110,8.9,424,431,1.7,42,73,73.8,242,214,-11.6,3899,3734,-4.2,71,100,40.8,1661,1450,-12.7,131,132,0.8,741,732,-1.2,0,0,0,1717,2004,16.7,20143,20959,4.1,41927,43633,4.1
State,Goa,40,45,12.5,6,15,150,5,5,0,37,20,-45.9,0,0,0,37,20,-45.9,13,17,30.8,10,12,20,3,5,66.7,5,2,-60,0,0,0,18,28,55.6,261,265,1.5,503,495,-1.6,120,185,54.2,383,310,-19.1,33,45,36.4,49,50,2,61,58,-4.9,0,6,NA,7,12,71.4,170,155,-8.8,2,2,0,23,30,30.4,15,8,-46.7,17,11,-35.3,0,0,0,216,209,-3.2,646,641,-0.8,2127,2119,-0.4
State,Gujarat,1113,1033,-7.2,469,452,-3.6,27,27,0,339,324,-4.4,0,0,0,339,324,-4.4,1133,1164,2.7,905,916,1.2,228,248,8.8,360,282,-21.7,15,15,0,1136,966,-15,5828,5332,-8.5,18551,17964,-3.2,6931,7083,2.2,11620,10881,-6.4,1599,1628,1.8,1612,1370,-15,1726,1541,-10.7,122,447,266.4,388,320,-17.5,12262,10503,-14.3,58,48,-17.2,757,802,5.9,164,104,-36.6,3955,4090,3.4,0,0,0,3958,4120,4.1,49897,60882,22,105469,113414,7.5
State,Haryana,733,784,7,441,513,16.3,65,57,-12.3,386,461,19.4,0,0,0,386,461,19.4,423,492,16.3,292,344,17.8,131,148,13,52,88,69.2,145,138,-4.8,244,390,59.8,2786,3437,23.4,6558,8694,32.6,3735,5034,34.8,2823,3660,29.6,699,899,28.6,534,562,5.2,1089,1204,10.6,32,31,-3.1,95,119,25.3,4194,4569,8.9,251,212,-15.5,403,380,-5.7,850,597,-29.8,2026,2075,2.4,0,0,0,981,1083,10.4,16109,15879,-1.4,39096,42664,9.1
State,Himachal Pradesh,110,110,0,77,79,2.6,12,22,83.3,153,141,-7.8,0,0,0,153,141,-7.8,123,118,-4.1,99,102,3,24,16,-33.3,1,6,500,0,0,0,25,22,-12,766,696,-9.1,643,696,8.2,192,166,-13.5,451,530,17.5,562,558,-0.7,97,82,-15.5,174,163,-6.3,6,6,0,112,97,-13.4,1421,1359,-4.4,8,2,-75,284,286,0.7,16,29,81.3,252,228,-9.5,0,0,0,469,480,2.3,7015,7165,2.1,12326,12345,0.2
State,Jammu & Kashmir,816,647,-20.7,1112,905,-18.6,29,37,27.6,218,201,-7.8,0,0,0,218,201,-7.8,735,748,1.8,632,658,4.1,103,90,-12.6,28,13,-53.6,0,0,0,129,116,-10.1,1420,1397,-1.6,1939,1901,-2,573,504,-12,1366,1397,2.3,1116,1222,9.5,105,117,11.4,414,403,-2.7,32,29,-9.4,320,240,-25,334,355,6.3,9,5,-44.4,990,830,-16.2,264,371,40.5,82,76,-7.3,0,0,0,422,462,9.5,10677,10040,-6,21191,20115,-5.1
State,Jharkhand,1488,1523,2.4,1143,1084,-5.2,115,87,-24.3,797,753,-5.5,0,5,NA,797,748,-6.1,468,621,32.7,178,283,59,290,338,16.6,580,592,2.1,55,49,-10.9,780,732,-6.2,1419,1610,13.5,4374,6195,41.6,560,1181,110.9,3814,5014,31.5,2281,2524,10.7,333,243,-27,441,643,45.8,6,19,216.7,167,202,21,2294,3078,34.2,275,257,-6.5,411,293,-28.7,3,36,1100,588,590,0.3,36,4,-88.9,416,1490,258.2,12969,12550,-3.2,31439,35175,11.9
State,Karnataka,1519,1609,5.9,1387,1406,1.4,57,80,40.4,291,343,17.9,1,0,-100,290,343,18.3,592,589,-0.5,286,312,9.1,306,277,-9.5,177,208,17.5,109,119,9.2,1024,1202,17.4,6093,5986,-1.8,16093,17008,5.7,5185,5920,14.2,10908,11088,1.7,6237,6151,-1.4,423,434,2.6,2759,2909,5.4,65,133,104.6,248,238,-4,21232,20883,-1.6,259,261,0.8,1435,1585,10.5,57,71,24.6,1588,1883,18.6,0,0,0,277,243,-12.3,52518,54239,3.3,114440,117580,2.7
State,Kerala,417,388,-7,391,341,-12.8,473,88,-81.4,480,478,-0.4,0,0,0,480,478,-0.4,232,226,-2.6,142,129,-9.2,90,97,7.8,129,110,-14.7,15,158,953.3,639,621,-2.8,4580,4110,-10.3,5240,5454,4.1,1717,1969,14.7,3523,3485,-1.1,6461,6535,1.1,336,361,7.4,3755,3261,-13.2,99,79,-20.2,374,456,21.9,20610,18302,-11.2,31,21,-32.3,2260,2339,3.5,133,175,31.6,3222,3283,1.9,0,0,0,42,34,-19,54106,57530,6.3,104025,104350,0.3
State,Madhya Pradesh,2379,2405,1.1,2563,2512,-2,188,134,-28.7,2875,2921,1.6,0,0,0,2875,2921,1.6,832,847,1.8,584,604,3.4,248,243,-2,147,147,0,134,130,-3,1526,1557,2,12308,11192,-9.1,22586,20685,-8.4,6148,6390,3.9,16438,14295,-13,2479,2573,3.8,548,613,11.9,1287,1292,0.4,36,51,41.7,893,817,-8.5,33285,33803,1.6,751,739,-1.6,6690,6426,-3.9,804,792,-1.5,3436,2989,-13,0,3,NA,4209,4593,9.1,96911,91951,-5.1,196867,189172,-3.9
State,Maharashtra,2696,2621,-2.8,1463,1614,10.3,115,98,-14.8,1388,1545,11.3,0,0,0,1388,1545,11.3,1045,1194,14.3,787,851,8.1,258,343,32.9,629,641,1.9,315,307,-2.5,2229,2411,8.2,14659,15615,6.5,43952,46851,6.6,11307,12189,7.8,32645,34662,6.2,5980,6779,13.4,1528,1720,12.6,5167,6391,23.7,218,385,76.6,1149,1123,-2.3,30122,30017,-0.3,314,341,8.6,2831,3228,14,862,919,6.6,5646,6233,10.4,0,0,0,9574,9608,0.4,44420,47386,6.7,176302,187027,6.1
State,Manipur,159,256,61,227,252,11,3,4,33.3,31,25,-19.4,0,0,0,31,25,-19.4,128,106,-17.2,71,69,-2.8,57,37,-35.1,2,4,100,2,0,-100,3,8,166.7,66,62,-6.1,244,243,-0.4,108,92,-14.8,136,151,11,115,35,-69.6,25,52,108,142,122,-14.1,4,10,150,85,155,82.4,233,295,26.6,0,0,0,30,25,-16.7,0,0,0,2,20,900,0,0,0,35,5,-85.7,999,1234,23.5,2535,2913,14.9
State,Meghalaya,124,134,8.1,42,35,-16.7,7,2,-71.4,54,63,16.7,0,0,0,54,63,16.7,54,48,-11.1,18,19,5.6,36,29,-19.4,91,81,-11,2,1,-50,81,95,17.3,142,148,4.2,418,476,13.9,138,116,-15.9,280,360,28.6,2,42,2000,25,18,-28,44,39,-11.4,2,3,50,15,70,366.7,123,135,9.8,2,1,-50,34,44,29.4,0,0,0,5,3,-40,0,0,0,51,61,19.6,439,381,-13.2,1757,1880,7
