Category,States/ UTs,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Others,Kidnapping and Abduction - Total,Kidnapping and Abduction of Women,Kidnapping and Abduction of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Auto Theft,Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes Under IPC
State,ANDHRA PRADESH,87.5,93.9,95.4,98.2,100,98.2,89.1,91,85.3,85.2,100,81.3,55.4,67.9,63.4,69.2,93.1,84.3,76.3,62,75.5,93.2,98.5,98.8,98.1,97.1,100,87.9,92.5,86.1
State,ARUNACHAL PRADESH,65.1,67.6,100,78,NA,78,63.5,69,52.4,35.1,NA,70.3,32.4,39.2,26,43.7,40.4,45.9,42.4,0,33.3,74,NA,73,NA,77.8,NA,67.9,74.5,59.4
State,ASSAM,77.1,66,78.9,84.2,NA,84.2,62.5,64,56.6,45,76,45.3,30,39.1,37.1,39.3,71.8,58.7,62.4,84.8,48.4,69.9,83.6,71.8,63.6,74.7,100,80.5,66.6,62.6
State,BIHAR,82.2,91.4,82.7,90.5,0,90.6,84.8,84.6,84.9,77,97.7,63.5,45.4,46.5,35.1,48.9,88.5,87.9,83.6,96,76.6,89.9,92.8,92.6,92.3,89.9,91.3,82,80.7,77.9
State,CHHATTISGARH,89.9,90.2,97.6,98.6,NA,98.6,88.3,89.7,83.9,76.5,100,67.5,34.6,39,35.5,40.5,92.2,76,79.1,44.6,61.3,95.9,98.9,98.7,96.2,97.5,NA,74.4,91.1,79.2
State,GOA,76.5,57.1,37.5,81.8,NA,81.8,69.2,75,60,33.3,NA,54.5,29,35.2,28.3,38.1,83,52.9,59.2,40,42.9,78.3,100,75,64.3,83.3,NA,61.7,81.4,58.8
State,GUJARAT,81.3,92.4,92.3,93.8,NA,93.8,78.5,77.3,83.2,69.6,100,60.9,32.9,30.9,24.7,35.1,96,85.6,80.3,8.8,72.5,97.1,100,97.8,92.7,99.4,NA,78.6,93.3,79.6
State,HARYANA,82.1,92,89.6,98.9,NA,98.9,88.6,90.6,85,91.7,100,79.8,48.5,42.5,33.8,54.7,96.7,84.1,91.8,86.2,80.7,96.9,98.4,98.5,99.7,85,NA,76.9,88.9,76.8
State,HIMACHAL PRADESH,75.2,96.3,92.3,98.4,NA,98.4,82.6,90.7,53.3,100,NA,75,37.2,43.5,29,48.9,98,85.4,88,75,67.1,96.6,100,98.4,96.4,99.5,NA,60.2,96.2,88.4
State,JAMMU & KASHMIR,35.2,40.9,72.7,96.1,NA,96.1,89.6,96,44.8,68.8,NA,63.4,21.6,59.3,30.2,70.1,93.5,85.9,87.8,95.2,29,96.4,100,99.2,99.1,100,NA,79.3,92.1,78.6
State,JHARKHAND,72,87.6,74.7,87.9,66.7,88,67.1,78.4,58.7,44.7,83,44.1,27.9,35.3,27.6,36.5,85.1,68.3,84.6,72.7,61,94.2,90.2,86.3,77.4,88.4,25,55.3,78.1,68.5
State,KARNATAKA,89,93.7,88.1,97.7,NA,97.7,84.3,80.7,88,73.7,97.2,61.1,38.6,37.2,26.3,42.4,93.6,67.4,61,8.1,62.1,96.6,96.7,97.3,97.5,96,NA,89.3,94.8,81.3
State,KERALA,90.8,95.4,95.9,97.8,NA,97.8,88.3,91.3,84.4,89.8,100,75.2,35.3,52.8,35.6,61.9,95.1,82.3,80.1,73.3,53.7,98.4,100,99,99.4,97.8,NA,100,96.6,91.6
State,MADHYA PRADESH,89.9,95,90.6,98.6,NA,98.6,85,85,85.1,70.1,100,65.8,34.8,38.4,26,43.9,94.9,88.1,83.4,74.5,80.2,98.5,99,99.4,99.6,99.2,100,86,94.7,85.3
State,MAHARASHTRA,85.7,94,95.8,98.1,NA,98.1,82.4,83.7,79,77,100,62.5,37.7,35.7,25.8,39.1,96.2,79.3,69.4,34.9,75.5,96.2,99.4,98.1,98.4,99.6,NA,75.9,89,71.4
State,MANIPUR,9,4.1,0,50,NA,50,1.9,4,0,0,NA,0,11.8,7.8,3.5,9.6,1.3,0,5.5,75,0,2.4,NA,4.3,NA,12.5,NA,4.5,6,5.7
State,MEGHALAYA,50,39,66.7,75.5,NA,75.5,46.4,42.9,47.6,33.3,0,38.4,22.7,31.6,7.1,38.8,0,42.9,57.6,100,25.8,57,NA,80,NA,40,NA,60,70.6,47
State,MIZORAM,79.3,91.7,100,94.3,NA,94.3,62.5,100,57.1,NA,NA,100,76.7,87.3,NA,87.3,96.6,85.7,93.1,100,82.4,97.3,100,100,100,NA,NA,66.7,97.5,89
State,NAGALAND,38.6,46.4,27.8,52.9,NA,52.9,45,58.8,39.5,40.9,NA,37.8,48,55.1,40.6,64.6,11.5,48.8,51.8,42.9,0,55.2,NA,100,0,NA,NA,45,50.4,47.6
State,ORISSA,94.5,96.6,100,98.8,NA,98.8,92.8,93.1,91.5,93.1,86.7,83.9,51.2,65.1,41.1,71.7,96.6,91.7,95.5,87.5,75.5,97.3,98.5,98.8,99.4,98,NA,90.8,95.7,88.8
State,PUNJAB,87.8,88.5,75.5,92.4,NA,92.4,77,78.7,73.5,95.7,94.3,91.4,62.6,64.9,59.3,68.8,66.7,82,89.5,92.9,65,87,95.7,89.6,66.7,81.3,NA,77.4,76.1,78.7
State,RAJASTHAN,90,97.6,97.8,99.4,NA,99.4,70.7,69.2,75.1,83.7,100,70,34.3,29.1,22,33.6,98,84.5,73.3,46.6,70.8,98.7,98.9,99.5,100,99,NA,87.3,92.9,81.4
State,SIKKIM,100,100,66.7,86.7,NA,86.7,100,100,NA,100,NA,100,29.4,56.7,0,59.6,81.8,NA,80,NA,100,75.3,NA,64.7,NA,0,NA,50,62.6,63.9
State,TAMIL NADU,94.4,96.2,94.7,97.7,NA,97.7,71.9,69.4,80.9,97.3,100,94,82,90,82.7,92.2,96.2,81.4,79.4,87.8,77.4,96,99.1,98.5,99.7,95.2,NA,91.3,96.2,94.5
State,TRIPURA,70.1,65.3,100,89.4,NA,89.4,65.2,61.7,69.2,54.5,100,45.5,45.8,43.5,30.6,45.6,75,75,76.2,84.2,68.4,76.3,75.7,80.2,100,90.3,NA,88.6,60.9,69.4
State,UTTAR PRADESH,91.3,89.1,91.1,94,NA,94,80,78.4,84.7,96,100,73.9,40.5,38.6,25.8,48.1,86.7,65.6,69.6,70.3,73.6,91.5,91.5,97.3,99.9,80.1,NA,83.8,85.2,76.8
State,UTTARANCHAL,86.1,84.1,88.9,93.7,NA,93.7,68.7,64.4,75.4,66.7,NA,61.7,25.9,42.8,27.3,51.1,77.5,56.3,61.2,87.5,47.1,86.1,77.4,96,100,79.4,NA,78.6,81.5,68.9
State,WEST BENGAL,77.1,82.4,80.8,95.6,NA,95.6,80.4,81.9,73.2,77.2,95.7,61.9,45.7,31.6,12.4,38.5,89.2,66.2,46,75,83.8,85.8,96.3,92.7,82.5,97.3,66.7,81.8,83.8,74.3
State,TOTAL (STATES),84.4,89.4,87.4,95.4,60,95.4,78.8,79.2,78,72.3,96.9,66.5,41.7,44.5,32.5,49.7,91.4,76.7,74.6,45.2,68.9,94.9,95.2,97.1,98.6,94.6,86.9,83,91.1,81.1
Union Territory,A & N ISLANDS,100,NA,66.7,100,NA,100,NA,NA,NA,NA,NA,100,27.4,54.8,81.8,50.7,60,0,57.1,NA,50,83.8,NA,66.7,100,25,NA,60,89.5,76.2
Union Territory,CHANDIGARH,84.6,63.6,60,100,NA,100,65,70.6,33.3,NA,100,80,45.9,42.2,25.1,56,100,62.1,81.1,100,NA,93.8,100,100,83.3,97.1,NA,100,78.3,60.1
Union Territory,D & N HAVELI,62.5,100,NA,100,NA,100,87.5,100,80,100,NA,75,47.6,50,23.5,59.6,100,88.9,71.4,NA,100,100,NA,100,NA,100,NA,83.3,87,79.8
Union Territory,DAMAN & DIU,100,100,NA,NA,NA,NA,100,100,100,100,NA,NA,17.9,25.6,16.7,36.8,92.3,71.4,75,0,50,88.9,100,50,NA,100,NA,72.2,83.6,60.8
Union Territory,DELHI,95.2,97.4,94.4,97.1,NA,97.1,43.7,47.3,35.5,96.3,99.3,83.7,30.8,24.7,14.9,33.6,98.4,56.8,81,86.7,78.3,92.9,97.9,95.6,97.8,95.1,NA,63.9,88.2,69.3
Union Territory,LAKSHADWEEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,50,100,NA,NA,NA,50,NA,NA,NA,NA,100,NA,NA,50,81.5
Union Territory,PONDICHERRY,100,100,100,100,NA,100,88.9,100,66.7,100,NA,66.7,78,76.9,69.5,82.7,100,100,90.3,NA,66.7,99.9,100,100,100,100,NA,97.4,99.3,96.6
Union Territory,TOTAL (UTs),94.9,97,91.7,97.3,0,97.3,45.2,48.8,37.1,97.2,99.3,83.5,33.4,27.6,17.1,37,98.7,59,81,77.4,72.6,95,98.1,95.7,97.3,95,0,76.8,88.7,70.9
