Category,States/ UTs,For Officers - Sanctioned Strength,For Officers - Built in Houses Provided by Government,"For Officers - Houses Provided on Lease, Rent/ General Pool by Govt.",Upper Subordinates - Sanctioned Strength,Upper Subordinates - Builtin Houses Provided by Government,"Upper Subordinates - Houses Provided on Lease, Rent/General Pool by Govt.",Lower Subordinates - Sanctioned Strength,Lower Subordinates - Builtin Houses Provided by Government,"Lower Subordinates - Houses Provided on Lease, Rent/ General Pool by Govt."
State,Andhra Pradesh,630,64,566,8543,5390,3153,76100,73332,2768
State,Arunachal Pradesh,95,90,5,624,411,213,5556,2176,3388
State,Assam,531,6,0,6008,64,0,49408,64,0
State,Bihar,493,141,352,12127,2214,9913,59790,4146,55644
State,Chhattisgarh,438,17,74,3138,532,636,25612,5589,3035
State,Goa,33,12,7,350,247,2,3457,970,0
State,Gujarat,376,107,36,11647,5734,636,53519,31644,3696
State,Haryana,245,203,31,5613,564,3782,40334,9573,22038
State,Himachal Pradesh,208,43,21,1578,256,0,12914,2327,0
State,Jammu & Kashmir,601,73,0,6169,377,0,54349,3292,0
State,Jharkhand,58,19,18,2257,328,255,14984,443,1340
State,Karnataka,275,112,26,5989,2659,536,56168,26527,3078
State,Kerala,427,60,2,4033,451,0,41595,6763,0
State,Madhya Pradesh,809,443,302,8704,2076,1463,64694,17035,8398
State,Maharashtra,963,0,0,25180,4666,0,125821,70841,0
State,Manipur,234,32,1,1536,134,3,15355,249,2
State,Meghalaya,111,45,66,1161,843,318,8954,2113,6841
State,Mizoram,136,24,0,1224,126,0,6732,1012,0
State,Nagaland,127,72,11,635,226,78,11402,1461,666
State,Orissa,443,174,2,6201,2504,26,32345,8127,120
State,Punjab,618,47,0,7146,1505,0,63216,11012,0
State,Rajasthan,863,50,0,9800,1836,0,60697,13691,0
State,Sikkim,102,8,9,364,190,0,3430,394,0
State,Tamil Nadu,1046,309,0,10286,3369,0,87890,38148,0
State,Tripura,291,79,0,1855,326,0,20683,1938,0
State,Uttar Pradesh,1632,1211,403,14614,6775,1375,150729,43247,10315
State,Uttaranchal,126,39,0,774,538,0,11840,3720,0
State,West Bengal,737,523,10,21779,4471,237,71361,9484,991
State,Total (States),12648,4003,1942,179335,48812,22626,1228935,389318,122320
Union Territory,A & N Islands,17,9,0,428,426,0,2455,629,0
Union Territory,Chandigarh,17,10,0,487,487,0,3705,1637,0
Union Territory,D & N Haveli,2,0,2,17,0,18,222,0,200
Union Territory,Daman & Diu,5,1,0,23,12,0,216,114,0
Union Territory,Delhi,408,410,0,11199,6604,0,48293,5133,0
Union Territory,Lakshadweep,2,1,1,53,40,0,294,179,0
Union Territory,Pondicherry,25,13,1,310,73,0,2129,748,0
Union Territory,Total (UTs),476,444,4,12517,7642,18,57314,8440,200
Total (All-India),Total (All-India),13124,4447,1946,191852,56454,22644,1286249,397758,122520
