Category,States/UTs,Unidentified Bodies Recovered and Inquest Conducted
State,Andhra Pradesh,6461
State,Arunachal Pradesh,13
State,Assam,121
State,Bihar,1902
State,Chhattisgarh,105
State,Goa,185
State,Gujarat,1619
State,Haryana,602
State,Himachal Pradesh,170
State,Jammu & Kashmir,114
State,Jharkhand,0
State,Karnataka,2387
State,Kerala,430
State,Madhya Pradesh,923
State,Maharashtra,6800
State,Manipur,2
State,Meghalaya,115
State,Mizoram,0
State,Nagaland,1
State,Orissa,129
State,Punjab,475
State,Rajasthan,1094
State,Sikkim,11
State,Tamil Nadu,5125
State,Tripura,0
State,Uttar Pradesh,3580
State,Uttaranchal,234
State,West Bengal,4418
State,Total (States),37016
Union Territory,A & N Islands,0
Union Territory,Chandigarh,25
Union Territory,D & N Haveli,1
Union Territory,Daman & Diu,15
Union Territory,Delhi,1996
Union Territory,Lakshadweep,0
Union Territory,Pondicherry,104
Union Territory,Total (UTs),2141
Total (All-India),Total (All-India),39157
