Sr. No. (Col. 1),Crime Head (Col. 2),Total No. Persons Under Arrest Including those from Previous Year,Persons Released Before Trial - No.,Persons Released Before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons Under Investigation at the end of the Year - No.,Persons Under Investigation at the end of the Year - Percentage to Total
1,"Murder (Sec. 302,303 IPC)",2151,96,4.5,1749,81.3,306,14.2
2,Rape (Sec.376 IPC,1756,28,1.6,1497,85.3,231,13.2
3,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",559,34,6.1,436,78,89,15.9
4,Dacoity (Sec.395-398 IPC),224,3,1.3,198,88.4,23,10.3
5,"Robbery (392-394, 397,398 IPC)",160,7,4.4,107,66.9,46,28.8
6,"Arson (Sec.435, 436, 438 IPC)",580,26,4.5,464,80,90,15.5
7,"Hurt (Sec.323-333, 335-338 IPC)",8626,375,4.3,6510,75.5,1741,20.2
8,"Pcr Act, 1955 for STs",869,12,1.4,723,83.2,134,15.4
9,"SC/ST Prev. of Atrocities Act, 1989 for Scs",18768,797,4.2,14191,75.6,3780,20.1
10,Other Crime Against STs,22799,799,3.5,19141,84,2859,12.5
Total,Total,56492,2177,3.9,45016,79.7,9299,16.5
