Sr. No.,Crime Head,2002,2003,2004,2005,2006
1,Arms Act,1.7,1.9,1.8,2.3,2.4
2,Narcotic Drugs & Psychotropic Substances Act,0.7,0.7,0.7,0.9,1
3,Gambling Act,4.7,4.6,4.5,5.9,5.4
4,Excise Act,3.3,3.6,3.5,4.7,4.6
5,Prohibition Act,13,12.4,9,10.2,9.8
6,Explosive & Explosive Substances Act,0.1,0.1,0.1,0.1,0.1
7,Immoral Traffic (P) Act,0.2,0.1,0.1,0.2,0.1
8,Indian Railways Act,1.5,1.1,0.5,0,0
9,Registration of foreigners Act,0,0,0,0.1,0.1
10,Protection of Civil Rights Act - Total,0,0,0,0,0
10,Protection of Civil Rights Act - (i) PCR Act for SCs,0,0,0,0,0
10,Protection of Civil Rights Act - (ii) PCR Act for STs,0,0,0,0,0
11,Indian Passport Act,0,0,0,0,0
12,Essential Commodities Act,0.1,0.1,0.1,0.2,0.3
13,Terrorist & Disruptive Activities Act,0,0,0,0,0
14,Antiquity & Art Treasure Act,0,0,0,0,0
15,Dowry Prohibition Act,0.1,0.1,0.1,0.1,0.1
16,Child Marriage Restraint Act,0,0,0,0,0
17,Indecent Representation of Women (P) Act,0.1,0,0,0.1,0
18,Copyrights Act,0.1,0.1,0.1,0.2,0.2
19,Sati Prevention Act,0,0,0,0,0
20,SC/ST (prevention of Atrocities) Act - Total,0.3,0.2,0.2,0.3,0.3
20,SC/ST (prevention of Atrocities) Act - (i) Prevention of Attrocities Act For SCs,0.3,0.2,0.2,0.3,0.3
20,SC/ST (prevention of Atrocities) Act - (ii) Prevention of Attrocities Act For STs,0,0,0,0,0
21,Forest Act,0.1,0.1,0.1,0.1,0.1
22,Other SLL Crimes,73.9,74.6,78.9,74.5,75.4
23,Total Cognizable Crimes Under SLL,100,100,100,100,100
