Sr. No.,Category,States/ UTs,Total Cognizable Crimes under SLL - Male,Total Cognizable Crimes under SLL - Female,Total Cognizable Crimes under SLL - Total,Percentage of Females to Total
1,State,Andhra Pradesh,594876,9166,604042,1.5
2,State,Arunachal Pradesh,41,0,41,0
3,State,Assam,3430,375,3805,9.9
4,State,Bihar,13936,331,14267,2.3
5,State,Chhattisgarh,128641,1461,130102,1.1
6,State,Goa,3987,250,4237,5.9
7,State,Gujarat,157901,48623,206524,23.5
8,State,Haryana,27062,385,27447,1.4
9,State,Himachal Pradesh,5269,694,5963,11.6
10,State,Jammu & Kashmir,3917,86,4003,2.1
11,State,Jharkhand,4117,329,4446,7.4
12,State,Karnataka,38051,2717,40768,6.7
13,State,Kerala,67974,508,68482,0.7
14,State,Madhya Pradesh,228917,1706,230623,0.7
15,State,Maharashtra,161416,13964,175380,8
16,State,Manipur,550,30,580,5.2
17,State,Meghalaya,134,14,148,9.5
18,State,Mizoram,1148,391,1539,25.4
19,State,Nagaland,405,53,458,11.6
20,State,Orissa,16877,1009,17886,5.6
21,State,Punjab,22828,1103,23931,4.6
22,State,Rajasthan,47097,791,47888,1.7
23,State,Sikkim,171,6,177,3.4
24,State,Tamil Nadu,477391,45015,522406,8.6
25,State,Tripura,158,0,158,0
26,State,Uttar Pradesh,1239433,2244,1241677,0.2
27,State,Uttarakhand,119024,2251,121275,1.9
28,State,West Bengal,10524,738,11262,6.6
State,State,Total (States),3375275,134240,3509515,3.8
29,Union Territory,A & N Islands,6420,842,7262,11.6
30,Union Territory,Chandigarh,1146,52,1198,4.3
31,Union Territory,D & N Haveli,17,0,17,0
32,Union Territory,Daman & Diu,2,4,6,66.7
33,Union Territory,Delhi,32021,2804,34825,8.1
34,Union Territory,Lakshadweep,11,1,12,8.3
35,Union Territory,Puducherry,1344,43,1387,3.1
Union Territory,Union Territory,Total (UTs),40961,3746,44707,8.4
Total (All-India),Total (All-India),Total (All-India),3416236,137986,3554222,3.9
