Sr. No.,Category,States/ UTs,Number of Police Stations (Sanctioned Strength) - below 10,Number of Police Stations (Sanctioned Strength) - 11 - 20,Number of Police Stations (Sanctioned Strength) - 21 to 30,Number of Police Stations (Sanctioned Strength) - 31 to 40,Number of Police Stations (Sanctioned Strength) - 41 to 50,Number of Police Stations (Sanctioned Strength) - 51 and above
1,State,Andhra Pradesh,68,829,263,167,81,148
2,State,Arunachal Pradesh,0,56,13,0,0,0
3,State,Assam,41,86,52,45,34,0
4,State,Bihar,289,341,76,19,10,22
5,State,Chhattisgarh,8,207,53,50,10,19
6,State,Goa,0,0,0,2,3,20
7,State,Gujarat,1,8,54,79,83,245
8,State,Haryana,42,58,46,20,43,2
9,State,Himachal Pradesh,0,2,18,26,15,26
10,State,Jammu & Kashmir,1,15,27,40,32,58
11,State,Jharkhand,81,143,50,24,9,22
12,State,Karnataka,16,12,143,230,160,253
13,State,Kerala,1,15,84,195,82,76
14,State,Madhya Pradesh,35,282,294,112,82,125
15,State,Maharashtra,4,64,146,158,125,445
16,State,Manipur,0,43,7,1,2,5
17,State,Meghalaya,3,21,0,2,1,0
18,State,Mizoram,2,16,12,2,1,2
19,State,Nagaland,2,2,3,9,7,21
20,State,Orissa,120,254,43,13,20,9
21,State,Punjab,9,13,30,50,37,131
22,State,Rajasthan,3,290,220,121,39,38
23,State,Sikkim,0,0,0,0,25,2
24,State,Tamil Nadu,0,0,853,0,155,228
25,State,Tripura,0,3,22,20,6,4
26,State,Uttar Pradesh,21,195,426,281,193,330
27,State,Uttarakhand,17,32,33,14,6,18
28,State,West Bengal,21,151,118,68,30,77
State,State,Total (States),785,3138,3086,1748,1291,2326
29,Union Territory,A & N Islands,17,3,0,0,0,1
30,Union Territory,Chandigarh,0,0,0,0,0,11
31,Union Territory,D & N Haveli,0,0,1,0,0,1
32,Union Territory,Daman & Diu,0,0,1,0,0,2
33,Union Territory,Delhi,0,0,0,1,2,127
34,Union Territory,Lakshadweep,0,1,4,3,0,1
35,Union Territory,Puducherry,11,13,12,3,1,1
Union Territory,Union Territory,Total (UTs),28,17,18,7,3,144
Total (All-India),Total (All-India),Total (All-India),813,3155,3104,1755,1294,2470
