Category,States/UTs,Total No. of Persons under Arrest Including those from Previous Year,Number of - Persons Released Before Trial,Number of - Persons Charge Sheeted,Number of - Persons under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All-India Total
State,Andhra Pradesh,2094,36,1402,656,31.3,14.8
State,Arunachal Pradesh,25,6,12,7,28,0.2
State,Assam,327,37,126,164,50.2,3.7
State,Bihar,200,0,90,110,55,2.5
State,Chhattisgarh,1422,2,1414,6,0.4,0.1
State,Goa,112,5,64,43,38.4,1
State,Gujarat,1046,0,975,71,6.8,1.6
State,Haryana,484,1,458,25,5.2,0.6
State,Himachal Pradesh,176,13,131,32,18.2,0.7
State,Jammu & Kashmir,65,0,65,0,0,0
State,Jharkhand,143,2,123,18,12.6,0.4
State,Karnataka,218,0,193,25,11.5,0.6
State,Kerala,1079,1,630,448,41.5,10.1
State,Madhya Pradesh,5100,0,4891,209,4.1,4.7
State,Maharashtra,3646,26,2909,711,19.5,16.1
State,Manipur,63,6,0,57,90.5,1.3
State,Meghalaya,46,2,13,31,67.4,0.7
State,Mizoram,35,0,35,0,0,0
State,Nagaland,5,0,2,3,60,0.1
State,Orissa,152,0,138,14,9.2,0.3
State,Punjab,308,25,183,100,32.5,2.3
State,Rajasthan,647,0,639,8,1.2,0.2
State,Sikkim,41,0,0,41,100,0.9
State,Tamil Nadu,460,13,312,135,29.3,3
State,Tripura,36,0,11,25,69.4,0.6
State,Uttar Pradesh,3042,81,2641,320,10.5,7.2
State,Uttaranchal,119,3,112,4,3.4,0.1
State,West Bengal,799,115,336,348,43.6,7.9
State,Total (States),21890,374,17905,3611,16.5,81.5
Union Territory,A & N Islands,23,0,8,15,65.2,0.3
Union Territory,Chandigarh,50,3,39,8,16,0.2
Union Territory,D & N Haveli,13,0,12,1,7.7,0
Union Territory,Daman & Diu,3,0,3,0,0,0
Union Territory,Delhi,1518,13,736,769,50.7,17.4
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Pondicherry,49,0,25,24,49,0.5
Union Territory,Total (UTs),1656,16,823,817,49.3,18.5
Total (All-India),Total (All-India),23546,390,18728,4428,18.8,100
