Sr. No.,Category,States/ UTs,No. of Officers (Dy. SP & Above) - Sanctioned,No. of Officers (Dy. SP & Above) - Actual,No. of Upper Subordinates (ASI to Inspectors) - Sanctioned,No. of Upper Subordinates (ASI to Inspectors) - Actual,No. of Lower Subordinates and Supporting Staff - Sanctioned,No. of Lower Subordinates and Supporting Staff - Actual
1,State,Andhra Pradesh,16,14,44,36,180,161
2,State,Arunachal Pradesh,0,0,0,0,0,0
3,State,Assam,67,32,2596,2127,393,363
4,State,Bihar,49,23,349,129,1398,593
5,State,Chhattisgarh,24,16,325,211,7345,5195
6,State,Goa,2,2,18,12,482,428
7,State,Gujarat,153,67,1610,955,43517,40214
8,State,Haryana,45,24,176,144,315,197
9,State,Himachal Pradesh,19,9,310,212,240,180
10,State,Jammu & Kashmir,35,22,70,29,1496,1153
11,State,Jharkhand,34,17,1416,1168,4503,3064
12,State,Karnataka,3346,2717,4095,3407,19569,16717
13,State,Kerala,0,0,0,0,0,0
14,State,Madhya Pradesh,70,52,659,494,16005,15715
15,State,Maharashtra,30,16,4,2,636,527
16,State,Manipur,13,13,96,96,2233,2231
17,State,Meghalaya,18,17,63,61,433,410
18,State,Mizoram,5,4,13,4,60,52
19,State,Nagaland,7,4,10,7,129,115
20,State,Orissa,37,35,275,275,123,113
21,State,Punjab,5,4,98,68,16529,11945
22,State,Rajasthan,50,36,236,161,431,343
23,State,Sikkim,7,10,2,2,548,550
24,State,Tamil Nadu,0,0,0,0,11605,10438
25,State,Tripura,10,5,30,33,3036,2136
26,State,Uttar Pradesh,89,59,262,214,3004,2091
27,State,Uttarakhand,20,5,241,106,6411,5795
28,State,West Bengal,315,44,93,67,19703,16632
State,State,Total (States),4466,3247,13091,10020,160324,137358
29,Union Territory,A & N Islands,1,1,6,2,17,11
30,Union Territory,Chandigarh,1,1,2,1,1132,1116
31,Union Territory,D & N Haveli,0,0,0,0,300,285
32,Union Territory,Daman & Diu,2,2,17,17,230,217
33,Union Territory,Delhi,3,3,12,8,0,0
34,Union Territory,Lakshadweep,0,0,0,0,55,49
35,Union Territory,Puducherry,1,1,2,0,775,735
Union Territory,Union Territory,Total (UTs),8,8,39,28,2509,2413
Total (All-India),Total (All-India),Total (All-India),4474,3255,13130,10048,162833,139771
