Crime Head (Col.1),Total No. of Cases For Investigation Including Pending Cases from previous year (Col.2),Cases Withdrawn By Govt. (Col.3),No. of Cases in which Investigation Refused (Col.4),No. of Cases in which Investigation Completed - Charge Found False / MiSTake of Fact or Law Etc. (Col.5),No. of Cases in which Investigation Completed - Final Report True Submitted (Col.6),No. of Cases in which Investigation Completed - Charge Sheets Submitted (Col.7),No. of Cases in which Investigation Completed - Total (Col.8) = Col.{(5)+(6)+(7)},No. of Cases Pending Investigation at the end of the year (Col.9)
"Murder (Sec. 302,303 IPC)",828,0,0,37,37,600,671,157
Rape (Sec.376 IPC),1626,0,0,138,39,1174,1351,272
"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",388,0,0,35,44,237,316,72
Dacoity (Sec.395-398 IPC),37,0,0,5,4,19,28,9
"Robbery (392-394, 397,398 IPC)",135,0,0,7,26,68,101,34
"Arson (Sec.435, 436, 438 IPC)",313,0,0,38,25,159,222,91
"Hurt (Sec.323-333, 335-338 IPC)",4816,1,3,578,195,2934,3707,1105
"PCR Act, 1955 For SCs",328,0,0,58,36,180,274,54
"SC/ST Prev. of Atrocities Act, 1989 For SCs",14177,10,25,1996,921,6660,9577,4565
Other Crime,15766,1,21,3288,888,9324,13500,2244
Total,38411,12,49,6180,2212,21355,29747,8603
