Category,States/ UTs/ Cities,Below 18 years,Between 18 - 30 years,Between 30 - 45 years,Between 45 - 60 years,Above 60 years,Total
State,Andhra Pradesh,0,7,5,1,0,13
State,Arunachal Pradesh,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0
State,Chhattisgarh,0,1,3,0,0,4
State,Goa,0,0,0,0,0,0
State,Gujarat,0,1,0,0,0,1
State,Haryana,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0
State,Karnataka,0,10,6,0,0,16
State,Kerala,0,10,4,1,0,15
State,Madhya Pradesh,0,8,6,2,0,16
State,Maharashtra,0,31,11,4,0,46
State,Manipur,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0
State,Orissa,0,0,0,0,0,0
State,Punjab,0,9,5,0,0,14
State,Rajasthan,0,12,1,0,0,13
State,Sikkim,0,0,0,0,0,0
State,Tamil Nadu,2,2,3,1,0,8
State,Tripura,0,0,0,0,0,0
State,Uttar Pradesh,0,0,1,0,0,1
State,Uttarakhand,0,5,0,0,0,5
State,West Bengal,0,0,0,0,0,0
State,Total (states),2,96,45,9,0,152
Union Territory,A & N Islands,0,0,0,0,0,0
Union Territory,Chandigarh,0,1,0,0,0,1
Union Territory,D & N Haveli,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0
Union Territory,Delhi,0,0,1,0,0,1
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0
Union Territory,Total (uts),0,1,1,0,0,2
Total (All-India),Total (All-India),2,97,46,9,0,154
City,Agra,0,0,0,0,0,0
City,Ahmedabad,0,1,0,0,0,1
City,Allahabad,0,0,0,0,0,0
City,Amritsar,0,7,4,0,0,11
City,Asansol,0,0,0,0,0,0
City,Bengaluru,0,10,6,0,0,16
City,Bhopal,0,8,5,2,0,15
City,Chennai,2,1,0,1,0,4
City,Coimbatore,0,0,0,0,0,0
City,Delhi (City),0,0,1,0,0,1
City,Dhanbad,0,0,0,0,0,0
City,Faridabad,0,0,0,0,0,0
City,Hyderabad,0,0,0,0,0,0
City,Indore,0,0,1,0,0,1
City,Jabalpur,0,0,0,0,0,0
City,Jaipur,0,0,0,0,0,0
City,Jamshedpur,0,0,0,0,0,0
City,Kanpur,0,0,1,0,0,1
City,Kochi,0,7,3,0,0,10
City,Kolkata,0,0,0,0,0,0
City,Lucknow,0,0,1,0,0,1
City,Ludhiana,0,0,0,0,0,0
City,Madurai,0,0,0,0,0,0
City,Meerut,0,0,0,0,0,0
City,Mumbai,0,5,2,1,0,8
City,Nagpur,0,0,1,0,0,1
City,Nasik,0,0,0,0,0,0
City,Patna,0,0,0,0,0,0
City,Pune,0,9,3,0,0,12
City,Rajkot,0,0,0,0,0,0
City,Surat,0,0,0,0,0,0
City,Vadodara,0,0,0,0,0,0
City,Varanasi,0,0,0,0,0,0
City,Vijayawada,0,4,0,1,0,5
City,Visakhapatnam,0,0,0,0,0,0
Total (Cities),Total (Cities),2,52,28,5,0,87
