Category,States/ UTs,Number of Police Stations (Sanctioned Strength) - Below 10,Number of Police Stations (Sanctioned Strength) - 11 - 20,Number of Police Stations (Sanctioned Strength) - 21 - 30,Number of Police Stations (Sanctioned Strength) - 31 - 40,Number of Police Stations (Sanctioned Strength) - 41 - 50,Number of Police Stations (Sanctioned Strength) - 51 and Above
State,Andhra Pradesh,77,773,294,177,97,143
State,Arunachal Pradesh,0,54,15,0,0,0
State,Assam,41,85,46,49,35,0
State,Bihar,306,339,108,28,10,11
State,Chhattisgarh,132,67,8,6,29,105
State,Goa,0,0,0,2,3,20
State,Gujarat,1,15,59,79,90,238
State,Haryana,12,54,58,39,38,44
State,Himachal Pradesh,0,3,21,33,14,17
State,Jammu & Kashmir,1,15,27,40,32,58
State,Jharkhand,81,143,50,24,9,22
State,Karnataka,0,6,142,274,144,254
State,Kerala,1,12,48,239,67,88
State,Madhya Pradesh,39,326,235,123,94,125
State,Maharashtra,4,50,142,168,128,471
State,Manipur,0,0,9,0,0,60
State,Meghalaya,10,26,0,2,1,0
State,Mizoram,1,16,14,2,1,1
State,Nagaland,3,2,1,11,10,18
State,Orissa,148,286,16,8,1,0
State,Punjab,9,13,30,50,37,131
State,Rajasthan,3,287,226,118,40,42
State,Sikkim,0,0,0,0,26,2
State,Tamil Nadu,0,0,870,0,155,231
State,Tripura,0,3,28,23,6,4
State,Uttar Pradesh,21,195,426,281,193,330
State,Uttarakhand,4,30,36,20,1,34
State,West Bengal,5,197,114,47,27,88
State,Total (States),899,2997,3023,1843,1288,2537
Union Territory,A & N Islands,17,3,0,0,0,1
Union Territory,Chandigarh,0,0,0,0,0,11
Union Territory,D & N Haveli,0,0,0,1,0,1
Union Territory,Daman & Diu,0,0,0,1,1,1
Union Territory,Delhi,0,0,1,1,3,130
Union Territory,Lakshadweep,0,1,4,3,0,1
Union Territory,Puducherry,11,13,12,3,1,1
Union Territory,Total (UTs),28,17,17,9,5,146
Total (All-India),Total (All-India),927,3014,3040,1852,1293,2683
