Category,States/ UTs,Total No. of Persons Under Trial Including those from Previous Year,Number of Persons Whose - Cases Compounded or Withdrawn,Number of Persons Whose - Trial Completed,Number of Persons Whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,589440,44370,162456,382614,54944,64.9,3.1
State,Arunachal Pradesh,20149,172,612,19365,370,96.1,0.2
State,Assam,155412,3011,37869,114532,8967,73.7,0.9
State,Bihar,1533062,11174,149839,1372049,18070,89.5,11.2
State,Chhattisgarh,245393,7593,38135,199665,19830,81.4,1.6
State,Goa,13802,129,1683,11990,364,86.9,0.1
State,Gujarat,1495276,7201,99258,1388817,31244,92.9,11.3
State,Haryana,310762,994,54809,254959,17711,82,2.1
State,Himachal Pradesh,110250,3164,9653,97433,1893,88.4,0.8
State,Jammu & Kashmir,165885,4268,15533,146084,4793,88.1,1.2
State,Jharkhand,133313,2700,46797,83816,8949,62.9,0.7
State,Karnataka,426934,16645,120442,289847,28392,67.9,2.4
State,Kerala,667158,16990,141295,508873,50910,76.3,4.1
State,Madhya Pradesh,1515314,93094,201248,1220972,93703,80.6,9.9
State,Maharashtra,2649947,14826,139846,2495275,12084,94.2,20.3
State,Manipur,3025,6,70,2949,35,97.5,0
State,Meghalaya,11721,30,531,11160,297,95.2,0.1
State,Mizoram,4126,4,2181,1941,1889,47,0
State,Nagaland,2478,55,955,1468,869,59.2,0
State,Orissa,555962,0,51521,504441,8638,90.7,4.1
State,Punjab,161717,188,31421,130108,10728,80.5,1.1
State,Rajasthan,995631,31989,131200,832442,76689,83.6,6.8
State,Sikkim,1183,58,246,879,125,74.3,0
State,Tamil Nadu,469826,1034,178479,290313,95524,61.8,2.4
State,Tripura,7538,150,3766,3622,656,48,0
State,Uttar Pradesh,1150480,14291,189578,946611,101010,82.3,7.7
State,Uttarakhand,58729,1785,10835,46109,7312,78.5,0.4
State,West Bengal,763646,4064,57684,701898,5590,91.9,5.7
State,Total (States),14218159,279985,1877942,12060232,661586,84.8,98.2
Union Territory,A & N Islands,7239,6,376,6857,147,94.7,0.1
Union Territory,Chandigarh,13708,0,2549,11159,1253,81.4,0.1
Union Territory,D & N Haveli,3822,0,385,3437,26,89.9,0
Union Territory,Daman & Diu,1772,113,230,1429,38,80.6,0
Union Territory,Delhi,238191,0,47271,190920,24572,80.2,1.6
Union Territory,Lakshadweep,659,0,1,658,1,99.8,0
Union Territory,Puducherry,13576,269,5061,8246,3846,60.7,0.1
Union Territory,Total (UTs),278967,388,55873,222706,29883,79.8,1.8
Total (All-India),Total (All-India),14497126,280373,1933815,12282938,691469,84.7,100
